comment_text,comment_speed,comment_service,comment_taste,comment_time
Yediğim en iyi köfte ekmekti. Elinize emeğinize sağlık. Köfte ekmekte tek adresimsiniz artık.,10.0,10.0,10.0,1606441185
Sadece geç geldi.,7.0,10.0,10.0,1605922785
İyi.,8.0,8.0,9.0,1605836385
Servis lezzet hız gerçekten muazzam gelen kurye arkadaşda güleryüzlü bol kazançlar.,10.0,10.0,10.0,1605577185
Biraz gecikti ama kuryeniz kibar biri olduğu için hız da 10. Ellerinize sağlık çok iyiydi tadı.,10.0,10.0,10.0,1605404385
Bu fiyata bu kalite gercekten muhtesem ellerinize sahlik icndeki puding cok guzel fikir olmus ve kurye cidden hizli gldi ve kibardi artik favorimsiniz boyle dewam edin lutfen kaliteyi bozmayin.,10.0,10.0,10.0,1605145185
Hayatımda yediğim en güzel köfte ekmekti.,10.0,10.0,10.0,1604885985
Elleriniz dert görmesin inşaallah. Su ve puding için ayrıca teşekkür ederiz bu kaliteyi bozmayın aynen devam :).,10.0,10.0,10.0,1604713185
Ellerinize saglik hersey cok guzeldi.,10.0,10.0,10.0,1604713185
Hayatımda yediğim en iyi koftelerdendi diyebilirim içinizde en ufak bir şüphe kalmasın gönül rahatlığıyla sipariş edebilirsiniz.,10.0,10.0,10.0,1604713185
Köfte ekmek ve patates kızartması bir harikaydı ellerinize sağlık.,10.0,10.0,10.0,1604540385
Oncelikle cook begendigimi soyleywbilirim ve kurye cok kibar ve guler yuzluydu siparisler dolu dolu geldi ya indaki puding supriz oldu cok gzel hizmet veriyorsunuz cok begendim artik favorimsiniz bol kazanclar.,10.0,10.0,10.0,1604453985
Gayet kaliteli ve lezzetli.,10.0,10.0,10.0,1604453985
Çok güzel.,10.0,10.0,10.0,1604281185
Köfte çok güzeldi acılı söylemiştim acılı geldi ama istediğim düzeyde değildi birde sütlü ekmek değilde karafirin ekmeği daha güzel olur sütlü ekmeğe pek yakışmamış köfte.,10.0,10.0,10.0,1604021985
Köfte biraz acıydı ama çok lezzetliydi.,10.0,10.0,10.0,1603811439
İsmi yeter.,10.0,10.0,10.0,1603811439
Gayet güzeldi.,10.0,9.0,10.0,1603811439
Kurye çok guleryuzlu teşekkürler.,10.0,10.0,10.0,1603811439
Aşırı küçük geldi ama tadı fena değil.,8.0,6.0,8.0,1603811439
Köfte ekmek 15 lira olsun ekmeği büyük olsun malzemesi bol olsun köftede sorun yok. Ama ekmek ve malzeme ne kadar az.,10.0,5.0,5.0,1603811439
Süpeerrr.,10.0,10.0,10.0,1603811439
İyi.,6.0,9.0,8.0,1603811439
"Aga allah için baharat kullanın şu patateste, köfte ekmeğin de yarısı boş.",7.0,5.0,3.0,1603811439
Hep iyi yapiyordunuz ama bu kez cok aci geldi oncekiler kadar da lezzetli olmamisti :(.,9.0,8.0,7.0,1603811439
Güzeldi.,10.0,10.0,10.0,1603811439
Başarılı adamım.,10.0,10.0,10.0,1603811439
Güzel ama fiyat cok pahalı malesef.,9.0,8.0,9.0,1601181693
"Ete tuz banyosu yaptırılmış, sütlü ekmekle köfte olmaz ve biraz daha pişmeliydi. Sadece hızlı gelmesi sevindirici, yemek sepeti yorumlarına ve puanlarına aldandım birazcık dikkat ve özen ile daha iyi olabilir.",9.0,6.0,4.0,1601181693
Çok iyiydi.,10.0,10.0,10.0,1601181694
Bu restoranın kazandığı paranın yüzde yüzü helal minumum kar ile en iyi işi yapıyorlar. Ürünleri kaliteli ve temiz. İnşallah rsstotanonız çok daha iyi yerlere gelecektir. Eleştirilecek nokta değil 1 tl maliyet artsın ürün başı ama bu ürünleri giydirin görün bakalım neler oluyor. Hayırlı kazançlar..,10.0,10.0,10.0,1601181694
"Gayet güzel, anne eli değmiş gibi.",9.0,9.0,9.0,1601181694
"Çok lezzetli, hızlı ve dolu bir porsiyon olarak geldi. Bayıldııııım.",10.0,10.0,10.0,1601181694
Çok güzeldi elinize sağlık.,10.0,10.0,10.0,1601181694
Mükemmel.,10.0,10.0,10.0,1601181694
Gec geldi ama degdi.,10.0,10.0,10.0,1601181694
İlk defa siparis verdim hizli geldi ve tadi fena degildi. Ama baharatta bir eksiklik var sanki cözemedim ama çözersem diger sipariste bunu belirtcem kolay gelsin.,10.0,9.0,8.0,1601181694
Gec saatte köfte ve sucuk söylemiştim hic fena değildi gayet güzel gitti o saatte.,9.0,8.0,9.0,1601181694
Hamburger siparis ettim. Ekmekleri çok güzel köftesi de anne köftesi. Mutlaka denemenizi tavsiye ederim. Her zamanki gibi yine bir numarasınız. Hastasıyız.,10.0,10.0,10.0,1601181694
Elinize sağlık.,10.0,10.0,10.0,1601181694
Ömrümde yediğim en güzel köfte ekmekti elinize sağlık teşekkürler.,10.0,10.0,10.0,1601181694
Fena değildi.,8.0,8.0,8.0,1601181694
Sıcak ve güzel geldi.,9.0,9.0,9.0,1601181694
Kaliteli lezzetli. Çok muthiş bi işletme.,10.0,10.0,10.0,1601181694
Hamburgeri çok güzeldi patatesleri de öyle. Sürpriz hediye pudingi de çok mutlu etti başarılar dilerim.,10.0,10.0,10.0,1601181694
Muhteşem lezzet.,10.0,10.0,10.0,1601181694
Kaliteli işletme herşey için teşekkür ederim.,10.0,10.0,10.0,1601181694
Malzeme bol. Ekmeği biraz büyütün veya melzemeyi az tutun ellerinize sağlık.,9.0,9.0,9.0,1601181694
"Bi işletmenin kalitesini bence kurye belirler. Adanada gördüğüm en kibar, en güler yuzlu kuryeydi.",10.0,10.0,10.0,1601181694
İlk kez begenmedim...,7.0,7.0,7.0,1601181694
İlk defa çok kötü geldi hep sinir vardı ve tatsız tuzsuz kup kuruydu et yakışmadı.,5.0,1.0,1.0,1601181694
"Ilk siparisimizdi ve ef sa ney di hic bozmayin sonradan bozulanlar gibi! Ustelik tursu bol olsun dedik fazla fazla gondermisler, bir de cikolatali puding gondermisler cok tesekkur ederiz:).",10.0,10.0,10.0,1601181694
Servis ve lezzet kötüydü.,1.0,1.0,1.0,1601181694
Köfte ekmek güzeldi ama patatesler fazla yanmıştı normal.,9.0,10.0,8.0,1601181694
Krallar. Söyleceklerim bu kadar.,10.0,10.0,10.0,1601181694
Elinize sağlık.,10.0,10.0,10.0,1601181694
İşini iyi ve hakkıyla yapanlara saygım sonsuz. Her şey harikaydı lezzete ve servise 11 verilebilse verirdim. İkram için ayrıyetten teşekkür ederim.,10.0,10.0,10.0,1601181694
Köfte ekmek muazzam..,10.0,10.0,10.0,1601181694
Her zamanki gibi 10/10.,10.0,10.0,10.0,1601181694
Kilo alıyorum bura yüzünden ama olsun çok güzeel.,10.0,10.0,10.0,1601181694
Hızlı ve lezzetli. Notum dikkate alınmıştı. Getiren arkadaş da iyi biriydi. Böyle devam ederseniz iyi yerlere gelirsiniz diye düşünüyorum.,10.0,10.0,10.0,1598551948
Çok kötü köfte çok az çok tuz basmışlar geç geldi servisncok kötü.,3.0,1.0,1.0,1598551948
Ellerinize sağlık.,10.0,10.0,10.0,1598551948
Güzeldi.,10.0,10.0,10.0,1598551948
Efsanesiniz.,10.0,10.0,10.0,1598551948
Abartısız her gece söylüyoruz gündüz açık olsa gündüz de sipariş vericez öyle sevmek..,10.0,10.0,10.0,1598551948
Evin uzak olmasına ragmen sıcacık geldi ve herşey gerçekten çok güzeldi ikramınız için teşekkürler.,10.0,10.0,10.0,1598551948
