comment_text,comment_speed,comment_service,comment_taste,comment_time
Teşekkürler.,10.0,10.0,10.0,1606351314
Hızlı çok hızlı.,10.0,10.0,10.0,1606092114
Börekler yine lezzetliydi..,10.0,10.0,10.0,1606092114
Her zaman sipariş verdiğim bir işletme. Tavsiye ederim.,10.0,10.0,10.0,1606005714
Domatesler yenilmeyecek kadar kötü...,10.0,10.0,7.0,1606005714
330 ml pepsiyi seciyorum bana 250 ml geliyor her yerden kar gütme amaci.,4.0,1.0,4.0,1606005714
On numara.,10.0,10.0,10.0,1605919314
Domatesi az.,10.0,1.0,10.0,1605832914
Hizli.,10.0,10.0,10.0,1605746514
Guzeldi.,10.0,10.0,10.0,1605746514
Börekler çok lezzetli hiç rahatsız etmiyor.,10.0,10.0,10.0,1605573714
Ellerine sağlık ustanın çok lezzetliydi. Teşekkürler her şey için.,10.0,10.0,10.0,1605487314
Börekler yine lezzetliydi..,10.0,10.0,10.0,1605400914
"Bi garip geldi kıvamı tadı bu defa nedense ama olsun, ellerinize sağlık yine de.",10.0,10.0,10.0,1605228114
Super.,10.0,10.0,10.0,1605228114
Kıymalısı üzdü.,10.0,10.0,6.0,1605228114
Herşey yolunda gidiyorum kıymalı i soğan dolayı birazcık ağır geldi ondan dolayı herşey güzel elinize sağlık.,8.0,8.0,8.0,1605055314
Güzel.,10.0,9.0,10.0,1605055314
Super.,10.0,10.0,10.0,1604882514
Muhteşem tat harika güleryüz.,10.0,10.0,10.0,1604882514
Hız lezzet hepsi harika.,10.0,10.0,10.0,1604882514
İçinde kıyma çok azdı nerdeyse yok denebilecek kadardı.,8.0,9.0,5.0,1604796114
Süperdi herşey.,10.0,10.0,10.0,1604623314
Güzeldi beğendim biraz daha sıcak olabilirdi sadece.,10.0,9.0,9.0,1604191314
Çok lezzetli gerçekten teşekkürler.,10.0,10.0,10.0,1604018514
Yanına gönderdiğiniz dilimlenmiş domatesin dışında kir var insan bir yıkar.,1.0,1.0,1.0,1603932114
Ziyapaşa çevresinde en iyi börekçi sizsiniz bana göre ellerinize sağlık.,10.0,10.0,10.0,1603932114
10/10.,10.0,10.0,10.0,1603807968
Sicacik efsane güzel bir börek.,10.0,10.0,10.0,1603807968
Teşekkür ederim. Sipariş vermemin 15 dakika ardından hemen geldi. Sabahın erken saatinde ya da akşamın geç saatinde özenle getiriyorsunuz. Tadı çok güzel. İşinizi hakkıyla yapıyorsunuz. Tebrik ederim.,10.0,10.0,10.0,1603807968
Harikaydı 10 numara.,10.0,10.0,10.0,1603807969
Super.,10.0,10.0,10.0,1603807969
Çok iyiydi teşekkürler.,10.0,10.0,10.0,1603807969
5 dakika içinde getirdiler.,10.0,10.0,10.0,1603807969
Hızlı ve güzel.,10.0,8.0,8.0,1603807969
Bomba.,10.0,10.0,10.0,1603807969
Harika tat ve harika güler yüzlü bir kurye.,10.0,10.0,10.0,1603807969
Taze değildi.,9.0,1.0,1.0,1603807969
"Catal, kolonyali mendil ve pecete yoktu. Cok hizli geldi, lezzeti guzeldi. Tesekkurler.",10.0,7.0,9.0,1603807969
Gzl.,10.0,10.0,10.0,1603807969
Kıymalı börek lezzet olarak hayal ettiğimin çok altında kaldı ama çok ilgili bir mekan kuryeniz de çok nazik bir insan ıyi çalışmalar.,10.0,10.0,7.0,1603807969
Turşu çok az geldi yetersiz.,8.0,6.0,8.0,1603807969
Güzeldi.,10.0,8.0,7.0,1603807969
İki kere üst üste yazdım sıcsk gelsin çıtır çıtır olsun diye ikisinde de bayat geldi bildiğin ya hiç yakışmadı.,10.0,10.0,1.0,1603807969
Çok güzel çok hızlı.,10.0,10.0,10.0,1603807969
Hem hızlı getiriyorlarhemde lezzetli.,10.0,10.0,10.0,1603807969
Mükemmel.,10.0,10.0,10.0,1603807969
Dağıtıcıya birkaç gün izin verin dinlensin ).,10.0,10.0,10.0,1603807969
