comment_text,comment_speed,comment_service,comment_taste,comment_time
Gece saat 4:00te sipariş verdim sıcak ve yeni çanları da gönderdiler gerçekten böreklerinız çok güzel ve lezzetli.,10.0,10.0,10.0,1606438648
Peynirli böreği sürekli siparişlerimde söylüyorum. On numara. Beş yıldız..,10.0,10.0,10.0,1606438648
Adamsınız.,10.0,10.0,10.0,1606438648
Sipariş zamanında ve sicak olarak geldi teşekkür ederim.,8.0,8.0,8.0,1606438648
Elinize sağlık güzel bir kahvaltıydı.,10.0,10.0,10.0,1606352248
Efsane lezzet.,10.0,10.0,10.0,1606352248
Mükemmel lezzet emeginize saglık.,10.0,10.0,10.0,1606265848
Biraz geç geldi ama gayet güzel ve sıcaktı ellerinize sağlık.,10.0,10.0,10.0,1606265848
50 dakikada geldi yakın olmasına rağmen ama lezzetliydi.,2.0,7.0,6.0,1606265848
Bu karantidana siz olmasaniz biz napardik iyi lale borekcilik var tesekkurler.. :)).,10.0,10.0,10.0,1606179448
"Lezzet, hız, sıcaklık. Her şey 10 numara.",10.0,10.0,10.0,1606179448
Güzel.,10.0,10.0,10.0,1606179448
Super.,10.0,10.0,10.0,1606093048
İyi.,8.0,8.0,8.0,1606093048
Süperrr.,10.0,10.0,10.0,1606006648
Patatesli boreginiz enfesti ellerinize saglik hiz olayina diyecek birsey bulamiyorum siparisi vermemle kapiya gelmesi 5 dakika surdu diye bilirim tesekkur ederim hassasiyetiniz icin.,10.0,10.0,10.0,1606006648
Çok güzeldi.,10.0,10.0,10.0,1606006648
Her zamanki gibi.,10.0,10.0,10.0,1605920248
Tuz nerdeyse yok gibiydi bari yanına katsaydınız.,10.0,7.0,5.0,1605920248
Lezzet çok iyi ama domatesler çok sert ve yeşildi.,10.0,10.0,10.0,1605920248
Elinize sağlık.,10.0,10.0,10.0,1605920248
Harika.,10.0,10.0,10.0,1605920248
Gece istememe rağmen hızlı servis yaptılar. Ellerinize sağlık.,10.0,10.0,10.0,1605833848
Bu sogukda bile sicak geldi.,10.0,10.0,10.0,1605833848
Peynirli börek efsaneydi.,10.0,10.0,10.0,1605747448
Tşklrrrrrrrrrr.,10.0,10.0,10.0,1605747448
Tavsiye etmiyorum lezzetli değil.,8.0,8.0,1.0,1605661048
Yemek çok geç geldi ve soğuktu. Yediğimden zevk almadım.,1.0,7.0,4.0,1605661048
Güzeldi.,8.0,8.0,8.0,1605661048
Teşekkürler.,10.0,10.0,10.0,1605661048
"Harika lezzeti, sıcaklığı, evimize geliş hızı. 2. Siparişim ve hafta sonları artık rutinimiz oldu. Ellerinize sağlık.",10.0,10.0,10.0,1605661048
Nice. D.,10.0,10.0,10.0,1605661048
Güzel.,9.0,9.0,9.0,1605661048
Çok güzeldi.,10.0,10.0,10.0,1605574648
Cok güzel sıcak geliyor.,10.0,10.0,10.0,1605574648
