comment_text,comment_speed,comment_service,comment_taste,comment_time
Teşekkürler.,10.0,10.0,10.0,1606355205
Hızlı çok hızlı.,10.0,10.0,10.0,1606096005
Börekler yine lezzetliydi..,10.0,10.0,10.0,1606096005
Her zaman sipariş verdiğim bir işletme. Tavsiye ederim.,10.0,10.0,10.0,1606009605
Domatesler yenilmeyecek kadar kötü...,10.0,10.0,7.0,1606009605
330 ml pepsiyi seciyorum bana 250 ml geliyor her yerden kar gütme amaci.,4.0,1.0,4.0,1606009605
On numara.,10.0,10.0,10.0,1605923205
Domatesi az.,10.0,1.0,10.0,1605836805
Hizli.,10.0,10.0,10.0,1605750405
Guzeldi.,10.0,10.0,10.0,1605750405
Börekler çok lezzetli hiç rahatsız etmiyor.,10.0,10.0,10.0,1605577605
Ellerine sağlık ustanın çok lezzetliydi. Teşekkürler her şey için.,10.0,10.0,10.0,1605491205
Börekler yine lezzetliydi..,10.0,10.0,10.0,1605404805
"Bi garip geldi kıvamı tadı bu defa nedense ama olsun, ellerinize sağlık yine de.",10.0,10.0,10.0,1605232005
Super.,10.0,10.0,10.0,1605232005
Kıymalısı üzdü.,10.0,10.0,6.0,1605232005
Herşey yolunda gidiyorum kıymalı i soğan dolayı birazcık ağır geldi ondan dolayı herşey güzel elinize sağlık.,8.0,8.0,8.0,1605059205
Güzel.,10.0,9.0,10.0,1605059205
Super.,10.0,10.0,10.0,1604886405
Muhteşem tat harika güleryüz.,10.0,10.0,10.0,1604886405
Hız lezzet hepsi harika.,10.0,10.0,10.0,1604886405
İçinde kıyma çok azdı nerdeyse yok denebilecek kadardı.,8.0,9.0,5.0,1604800005
Süperdi herşey.,10.0,10.0,10.0,1604627205
Güzeldi beğendim biraz daha sıcak olabilirdi sadece.,10.0,9.0,9.0,1604195205
Çok lezzetli gerçekten teşekkürler.,10.0,10.0,10.0,1604022405
Yanına gönderdiğiniz dilimlenmiş domatesin dışında kir var insan bir yıkar.,1.0,1.0,1.0,1603936005
Ziyapaşa çevresinde en iyi börekçi sizsiniz bana göre ellerinize sağlık.,10.0,10.0,10.0,1603936005
10/10.,10.0,10.0,10.0,1603811859
Sicacik efsane güzel bir börek.,10.0,10.0,10.0,1603811859
Teşekkür ederim. Sipariş vermemin 15 dakika ardından hemen geldi. Sabahın erken saatinde ya da akşamın geç saatinde özenle getiriyorsunuz. Tadı çok güzel. İşinizi hakkıyla yapıyorsunuz. Tebrik ederim.,10.0,10.0,10.0,1603811859
Harikaydı 10 numara.,10.0,10.0,10.0,1603811860
Super.,10.0,10.0,10.0,1603811860
Çok iyiydi teşekkürler.,10.0,10.0,10.0,1603811860
5 dakika içinde getirdiler.,10.0,10.0,10.0,1603811860
Hızlı ve güzel.,10.0,8.0,8.0,1603811860
Bomba.,10.0,10.0,10.0,1603811860
Harika tat ve harika güler yüzlü bir kurye.,10.0,10.0,10.0,1603811860
Taze değildi.,9.0,1.0,1.0,1603811860
"Catal, kolonyali mendil ve pecete yoktu. Cok hizli geldi, lezzeti guzeldi. Tesekkurler.",10.0,7.0,9.0,1603811860
Gzl.,10.0,10.0,10.0,1603811860
Kıymalı börek lezzet olarak hayal ettiğimin çok altında kaldı ama çok ilgili bir mekan kuryeniz de çok nazik bir insan ıyi çalışmalar.,10.0,10.0,7.0,1603811860
Turşu çok az geldi yetersiz.,8.0,6.0,8.0,1603811860
Güzeldi.,10.0,8.0,7.0,1603811860
İki kere üst üste yazdım sıcsk gelsin çıtır çıtır olsun diye ikisinde de bayat geldi bildiğin ya hiç yakışmadı.,10.0,10.0,1.0,1603811860
Çok güzel çok hızlı.,10.0,10.0,10.0,1603811860
Hem hızlı getiriyorlarhemde lezzetli.,10.0,10.0,10.0,1603811860
Mükemmel.,10.0,10.0,10.0,1603811860
Dağıtıcıya birkaç gün izin verin dinlensin ).,10.0,10.0,10.0,1603811860
Bi tık geç geldi ama fena değildi.,8.0,9.0,9.0,1601182114
Klasik.,8.0,8.0,7.0,1601182114
Gayet iyi herşey.,10.0,10.0,10.0,1601182114
İnsan çatal bıçak peçete ıslak mendil vs. Birşey koyar gerçekten beğenmedim özellikle pos cihazı yok rezalet daha da yemem vede önermem.,9.0,1.0,4.0,1601182114
Aşırı hızlı.,10.0,10.0,10.0,1601182114
Elinize sağlık.,10.0,10.0,10.0,1601182114
Hızlı ve güzel hizmet son derece kibarlar.,10.0,10.0,10.0,1601182114
Normalde soğanı çiğ de yerim ama içindeki soğanı çok rahatsız etti bütün gün..,8.0,7.0,6.0,1601182114
Yanına tuz peçete hiç bir şey yok patetesli böregin tadı degişmiş gibi.,9.0,6.0,5.0,1601182114
İdare eder.,7.0,7.0,7.0,1601182114
"Gayet güzel, başarılı.",10.0,10.0,10.0,1601182114
Güzell neredeyse haftanın 3 günü börek yiyoruz yanliz domatesler vs renkirebilirsinjz.,10.0,5.0,8.0,1601182114
Kötü.,1.0,1.0,1.0,1601182115
