comment_text,comment_speed,comment_service,comment_taste,comment_time
İsotu doldurmuş ama haricinde fena değildi.,10.0,10.0,10.0,1606431425
Çok çok iyi.,10.0,10.0,10.0,1606431425
Mükemmeldı.,10.0,10.0,10.0,1606258625
2 yıldır hep aynı yerden yiyorum. Çok güzel çiğ köfteleri bence.,9.0,10.0,10.0,1606085825
Bekliyoruz.,10.0,10.0,10.0,1605999425
Temiz lezzetli ve hızlı geldi teşekkürler.,10.0,10.0,10.0,1605913025
Yorumları biraz okumanızı tavsiye ediyoruz.,10.0,2.0,3.0,1605826625
Fena değildi.,9.0,6.0,8.0,1605826625
Teşekkürler.,10.0,10.0,10.0,1605567425
Güzel.,8.0,8.0,8.0,1605567425
Pek güzel değildi.,3.0,6.0,4.0,1605567425
Çok hızlı ve lezzetli çok teşekkür ederm.,10.0,10.0,10.0,1605481025
İyiydi.,10.0,10.0,10.0,1605481025
"Gayet lezzetli ve hızlı, teşekkürler.",10.0,10.0,10.0,1605308225
Geç geldi diye sinirlenmistim ama sonra pişman oldum haklilar gecenin bi saati tek calişan varsa napsin adamlar uçsunlar mi servis lezzet gayet güzeldi.,5.0,10.0,10.0,1605221825
Saat aksam 9 da verdigim sipariş gece 12 de geldi baska yorum yapmak istemiyorum cigkofte kuruydu.,1.0,1.0,2.0,1605049025
Fena değil sadece geç geliyor.,2.0,5.0,6.0,1604962625
Sipariş 1 buçuk saatte geldi.,1.0,10.0,10.0,1604962625
Mükemmel.,10.0,10.0,10.0,1604876225
Kurye çok nazikti. Notta yanında sos istemiştim sağ olsunlar ücretli olmasına rağmen koymuşlar. Tadı da gayet güzeldi.,10.0,10.0,9.0,1604444225
Arayıp yarım saat sonra gelecek dediler önemli değil aksilikler olur ama verdikleri zamanıda aştılar. Çiğköfteleri üst üste koymuşlardı hep yapışmıştı. Lezzet iyiydi.,1.0,3.0,7.0,1604185025
İi.,8.0,8.0,8.0,1604185025
Hızlı geldi. Garnitür biraz daha fazla olabilirdi. İceberg ucu ucuna yetti.,10.0,7.0,8.0,1604185025
Biraz kuru geldi yani bol nar eskili dememe rağmen.,8.0,10.0,5.0,1604098625
Elinize saglık çok güzeldi ve kurye çok kibardı ama 2 porsiyon söyledik turşu biraz az geldi elinize saglık genel olarak iyiydi.,10.0,9.0,10.0,1603839425
Ben tadını seviyorum. Hızlıydı.,10.0,10.0,10.0,1603839425
Ellerinize sağlık.,8.0,8.0,8.0,1603801679
Normalde severdim ama 1 saatte geldi ve çok ufaktı çok kötüydü hiç beğenmedim.,1.0,1.0,1.0,1603801679
Süperdi teşekkürler.,10.0,10.0,10.0,1603801679
İi.,9.0,9.0,9.0,1603801679
"Siparişi iki gün önce söylemiştim, 5 dakikada geldi ve tadı hala damağımda başarılı bir mekan.",10.0,8.0,9.0,1603801679
Harikaaa.,10.0,10.0,10.0,1603801679
Güzeldii.,10.0,10.0,8.0,1603801679
Lezzetli tavsiye ederim.,9.0,8.0,8.0,1603801679
Hızlı geldi tadı güzrldi bol malzemeli tavsiye ederim.,10.0,10.0,10.0,1603801679
Gayet iyi.,8.0,8.0,8.0,1603801679
Çok leziz!,10.0,10.0,10.0,1603801679
Herşeyiyle çok iyi ya.,10.0,10.0,10.0,1603801679
45 dkda geldi.,3.0,10.0,10.0,1603801679
Servis çok kötüydü çiğ köfteler birbirine girmişti çünkü kutuya koymak yerine şeffaf plastiğin içine üst üste koymuşlardı. Çiğ köfte sosu berbattı.,9.0,7.0,6.0,1603801679
Hic kllezzektli degildi.,8.0,7.0,3.0,1603801679
Adamsınız.,10.0,10.0,10.0,1601171933
Muazzam lezzet.,10.0,10.0,10.0,1601171933
Gerçekten güzeldi.,10.0,10.0,10.0,1601171933
Her şey 10 numara fakat notlarda zili çalmayın yazmama rağmen 2 seferdir zili çalmanız biraz rahatsız edici lütfen daha dikkat edelim.,10.0,10.0,10.0,1601171933
Herşeyiyle idare eder.,5.0,5.0,5.0,1601171933
Yavaş.,1.0,1.0,1.0,1601171933
Kuryeci arkadaşınız gerçekten çok kötü. Sürekli sipariş veririm aynı evin adresi kayıtlıdır hiç bir kuryeci arkadaşta bu sorunu yaşamadım a blok yazdığı halde beni arayıp b blok yazmışsınız diye şikayetleniyor ve her zaman 10 dk da gelen spariş 40 dk da geldi. Rezıllık.,1.0,10.0,10.0,1601171933
Ögrenci dostu bir işletme paramız eksik çıkmıştı rica ettik bizleri kırmayıp gönderdiler ögrenci olduğumuz içinde jest yapıp ikram olarak tatlı gönderdiler çok sagolun iyiki sizler gibi insanlar var iyi çalışmalar.,10.0,10.0,10.0,1601171933
Neni istiyosan ne bekliyosan o geliyor.,10.0,10.0,10.0,1601171933
Tadında biraz değişiklik vardı ama hız servisi güzel.,10.0,10.0,8.0,1601171933
Güzeldi her şey.,8.0,9.0,9.0,1601171933
