food_id,food_name,food_price,food_category,food_score
7B4657E8-FEE3-4141-871D-2958FEB6F46D,Kavurmalı Bazlama Tost,"20,00 TL",Bazlama Tostlar,8.0
16f5f2d2-7819-4e1d-b58f-0e15b9fcd5d8,Zeytinli Bazlama Tost,"13,00 TL",Bazlama Tostlar,8.0
35953905-f7d4-43e8-9817-467384926a69,Tavuklu Bazlama Tost,"16,00 TL",Bazlama Tostlar,8.0
69cf8bf7-1b1a-4040-b2b0-bbc04869ab21,Karışık Bazlama Tost,"15,00 TL",Bazlama Tostlar,13.0
6f82ed6b-4da8-472f-b422-eb32ea72c0cc,Pastırmalı Bazlama Tost,"16,00 TL",Bazlama Tostlar,9.0
6fa162a6-45a6-47e2-be70-50959fdfaef9,Atomix Bazlama Tost,"16,00 TL",Bazlama Tostlar,17.0
d62f6681-0e5f-4671-b5b9-ed89790c3a30,Sosisli Bazlama Tost,"16,00 TL",Bazlama Tostlar,13.0
BB033296-EBD3-422A-9822-BA133EDCA96A,Sebzeli Bazlama Tost,"14,00 TL",Bazlama Tostlar,8.0
2E0B5445-B12D-492A-9BD7-D73D9703098E,Bazlama Ekmeğine Tavuk Döner,"17,00 TL",Tavuk Dönerler,7.0
9494cc86-ce92-49bb-8f2c-a26b61324333,Poşet,"0,25 TL",Poşet,5.0
