food_id,food_name,food_price,food_category,food_score
c5fb5c46-cef6-49a1-a2d8-7751bc2712b9,Aile Menüsü,"60,00 TL",Menüler,5.0
4f14c46f-5ff0-4108-b757-61025799f35d,Kanka Menü,"50,00 TL",Menüler,5.0
dddc0ee9-3cc2-4d4b-a809-571cba945836,Cheeseburger Menü,"30,00 TL",Menüler,5.0
4ff8d116-533a-4cf3-8208-b705983ff5af,Ekmek Arası Köfte Menü,"25,00 TL",Menüler,3.0
ee90d077-8595-43a7-b0e2-e20800e810ec,Hamburger Menü,"25,00 TL",Menüler,5.0
cf96fbc1-9b1e-4148-a4b0-5b64352657e1,İzmir Kumru Menü,"25,00 TL",Menüler,7.0
8e7204f6-62f4-48dc-9d7a-e488149b6a05,Kavurmalı Tost Menü,"25,00 TL",Menüler,5.0
e4ff00d8-842f-41df-8319-754b334d1b04,Tavuk Sandviç Menü,"20,00 TL",Menüler,4.0
b306c6d4-c055-4223-b6a7-34f585efa847,Avyalık Ekmeğine Kavurmalı Kaşarlı Tost,"18,00 TL",Tostlar,3.0
b7f5f3e4-3835-46f7-8d01-a1480984fa5f,Ayvalık Ekmeğine Beyaz Peynirli Tost,"10,00 TL",Tostlar,4.0
86f7efb9-ba35-4b37-9aba-071d7115bba8,Ayvalık Ekmeğine Kaşarlı Sucuklu Tost,"12,00 TL",Tostlar,2.0
757bf824-fa90-4943-b8ff-e3a1c3bd5949,Ayvalık Ekmeğine Kaşarlı Tost,"10,00 TL",Tostlar,2.0
d4a66333-2d68-422f-853c-79c92a2c55c3,Ayvalık Ekmeğine Sucuklu Tost,"10,00 TL",Tostlar,4.0
29dee088-b0a5-4d34-968a-4050090e1b5d,Ayvalık Ekmeğine Yengen Tost,"14,00 TL",Tostlar,2.0
c3aeda62-fa2f-4b24-8d71-1802701b7ef2,Ayvalık Tostu,"18,00 TL",Tostlar,4.0
41ced98a-3025-485a-877e-31fd5cf724b1,Beyaz Peynirli Tost,"8,00 TL",Tostlar,5.0
890f3023-a7f7-4e60-a89a-81c62a45dd5b,İmamoğlu Sucuklu Tost,"8,00 TL",Tostlar,5.0
5d5ec251-a57f-4cdb-8997-8e23c347c3c9,Kaşarlı Sucuklu Tost,"10,00 TL",Tostlar,8.0
f7654817-b02f-4bfd-ae1e-7577ec1bd4dd,Kaşarlı Tost,"8,00 TL",Tostlar,8.0
02117078-a3f6-43ad-ae5c-d9bd2200c8d6,Kepek Ekmeğine Beyaz Peynirli Tost,"8,00 TL",Tostlar,6.0
90865ce1-b766-4f4c-a2d8-13d215168b89,Kepek Ekmeğine Kaşarlı Sucuklu Tost,"10,00 TL",Tostlar,4.0
be539ae3-e0de-47e2-bffa-89fd92c018e4,Kepek Ekmeğine Kaşarlı Tost,"8,00 TL",Tostlar,4.0
a2fb0922-7335-4efe-9da4-5adafbda3961,Kepek Ekmeğine Sucuklu Tost,"8,00 TL",Tostlar,6.0
e437b5ae-fa0a-4213-bb91-d66a9231f62a,Kepek Ekmeğine Yengen Tost,"12,00 TL",Tostlar,4.0
43093c81-658b-4f7f-a8f9-2e1ff5bc6de4,Yengen Tost,"12,00 TL",Tostlar,8.0
