comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzetli dönerleri var ama et dönere isteğe göre soğan domates cips gibi detaylar koyarlarsa daha iyi olur.,10.0,10.0,10.0,1606299055
Döneri ne kadar güzelse diğer aparatifleri o kadar kötü.,7.0,5.0,7.0,1606299055
Paketçi davut bey çok hızlı her defasında onun sayesinde söylüyorum köşemden döner. Paketçilerinize iyi bakın.,10.0,10.0,10.0,1606299055
Notlara bakmadılar. Döner ufacıktı. Rezalet..,1.0,1.0,1.0,1606299055
Salata bildiğiniz ot sadece dogranmıs sebzeler var onun haricinde bir şey yok yani normal salata beklemeyın. Salatalık turşuları çok tuzlu yenılmeyecek kadar. Biber turşuları gayet güzel ama dönerleri efsaneee. Ekmek lokum gibiydi dönerin lezzetide çok güzel. Eksileriniz var ama döner kapattı.,10.0,10.0,10.0,1606212655
Çok lezzetli ellerinize sağlık.,10.0,10.0,10.0,1606212655
Harikaydı.,10.0,10.0,10.0,1606212655
Yine efsane şasırtmadi.,10.0,10.0,10.0,1606126255
Hızı çok yeterli değildi. Salata çok azdı. Kızarrtma az ve bayattı. Döner gerçekten küçüktü yediğim en küçük dönerdi. Eskiden çok daha memnun kalırdım burdan.,5.0,4.0,8.0,1606039855
Kupkuru döner yedik resmen.,10.0,1.0,1.0,1606039855
Tadı efsane çok beğendim paket hızlı ve düzgün bir şekilde geldi döner deyince akla köşem gelir tesekkurler.,10.0,10.0,10.0,1605953455
Cok güzeldi sağolun.,10.0,10.0,10.0,1605953455
Köşem seviliyorsun.,10.0,10.0,10.0,1605953455
Harikaydi.,10.0,10.0,10.0,1605953455
Lezzetli.,10.0,10.0,10.0,1605953455
İsik hiziyla geldi ve lezzetli doyurucuydu.,10.0,10.0,10.0,1605953455
Ellerinize sağlık çok lezzetli ve kuyreniz davut beye teşekkür ediyorum çok güler yüzlü.,10.0,10.0,10.0,1605867055
Gecerli.,10.0,10.0,10.0,1605867055
Harikaydı herşey için teşekkürler.,10.0,10.0,10.0,1605867055
Cık lezzetli.,10.0,10.0,10.0,1605867055
Oturup yediğimizde çok güzel olan döner siparişte çok basit bi dönerdi soğuk ve tatsız beğenmedim bu defa.,9.0,8.0,4.0,1605867055
Çok beklentiye girmeye gerek yok varsa öyle beklentiniz tabi normal bir döner tabi bir emek var onun teşekkürü ayrı.,6.0,6.0,6.0,1605867055
Porsiyon çok küçük. Çok açsanız doymazsınız. Onun dışında iyi. Paketçi arkadaşa ayrıca teşekkürler 5 kat yordum kusura bakmasın.,10.0,9.0,8.0,1605780655
Kurye beyefendinin maskesi yoktu.,9.0,7.0,6.0,1605780655
