comment_text,comment_speed,comment_service,comment_taste,comment_time
Rezaletti.,1.0,1.0,1.0,1606345333
Sucuk ekmeğin içinde anlamsız bir sürü garnitür vardı. Kokoreç gayet lezzetliydi. Siparişi getiren amca çok tatlıydı.,10.0,8.0,6.0,1606258933
Yediğim en kötü en soğuk en tatsız en büyük kokoreç ti ince kiyim 1 cm kalınlığında yiyemedik bile bu kadar kötü kokorec hic yememistim.,1.0,1.0,1.0,1606258933
"Kokoreç ve midye lezzet olarak iyi değildi, siz bence bu işi bırakın çanak çömlek işine başlayın abicim.",1.0,1.0,1.0,1606172533
"Midyeler güzeldi kokoreç harika özellikle ekmeği çok güzel, hızlı geldi siparişi getiren amca harika bir insan çok tatlıydı teşekkürler.",10.0,10.0,10.0,1606086133
Hız lezzet güzel.,10.0,10.0,10.0,1605826933
Çok iyi.,10.0,10.0,10.0,1605740533
Midye çok lezzetli.,10.0,10.0,10.0,1605567733
Kokoreç bir diyet yemeği değil neden tuzsuz gönderiyorsunuz sadece tuzunuda koysaydınız azda olsa mükemmel olacaktı.,10.0,9.0,7.0,1605481333
Servisçi amcamız aşırı tatlı teşekkürler.,10.0,10.0,10.0,1605481333
Midye istedim midyecik geldi.,8.0,4.0,3.0,1605222133
Böylesine güzel midyeler yememistim tşkler bozmayın taze sıcak.,10.0,10.0,10.0,1605222133
Her zamanki gibi efsane teşekkürler.,10.0,10.0,10.0,1605049333
Şırdan güzel.,10.0,10.0,10.0,1604876533
Midyenin tadı yoktu midyeden soguma sebebi.,8.0,7.0,4.0,1604876533
Kokoreç çok lezzetli bozmayın lütfen.,10.0,10.0,10.0,1604790133
Süperdi tşkler.,10.0,10.0,10.0,1604703733
Ellerinize sağlık harika.,10.0,10.0,10.0,1604617333
Paketi getiren amcamız o kadar tatlıki.,10.0,10.0,10.0,1604530933
Yorumları dikkatli okuyun.,3.0,3.0,3.0,1604444533
Güzel midye.,10.0,10.0,10.0,1604271733
Hız 10 numara servis güzel ama kokoreç kokoreç değildi.,10.0,10.0,1.0,1604271733
"Midyeler taze değildi, sıcak istediğim halde buz gibi de geldi, sucuk ekmegin içinin alınmasını istedim o da olmamıştı. Sınıfta kaldı.",7.0,8.0,5.0,1604185333
Kilo güzeldi azcik soğuk geldi.,10.0,10.0,10.0,1604098933
"Midye kumlu attım çöpe, kokoreç vasat ve yağlı.",8.0,7.0,1.0,1603926133
