comment_text,comment_speed,comment_service,comment_taste,comment_time
Sipariş tam zamanında geldi ve ayrıca ilginiz için de çok teşekkür ederim. Lezzet olarak da harikaydı.,10.0,10.0,10.0,1606433701
Domatesi hariç her şeyi güzel. Ama lütfen artık şu domatesleri düzeltin size yakışmıyor.,10.0,10.0,10.0,1606347301
Gökhan beyin hızı ve samimiyeti çok iyiydi çok memnun kaldık tşkler.,10.0,9.0,9.0,1606260901
Soğanlar biraz ciğdi.,9.0,10.0,9.0,1606174501
Harika.,10.0,9.0,10.0,1606174501
Biber biraz azdı.,10.0,8.0,10.0,1606174501
Hız kötü domates daha olmamış.,1.0,1.0,2.0,1606174501
Domates harici herşey güzeldi :).,8.0,10.0,10.0,1606088101
On numara-allah razı olsun.,10.0,10.0,10.0,1606001701
Çok yağlı oluyor bazen.,7.0,10.0,10.0,1605915301
Güzel.,10.0,10.0,10.0,1605828901
Domatesiniz küflü ve çürüktü yine.,8.0,3.0,3.0,1605742501
Çok hızlı bir şekilde servis edildi... Tşk ederim... Şiddetle tavsiye ederim...,10.0,10.0,10.0,1605742501
Domatesleriniz çürük ve küflüydü.,10.0,5.0,5.0,1605742501
Beklediğimden çok daha iyiydi mükemmeldi yazarken bile tekrar canım çekti :(.,10.0,10.0,10.0,1605742501
Sinan beye teşekkürler.,10.0,10.0,10.0,1605656101
Kötü.,1.0,1.0,1.0,1605656101
"Her şey olması gerektiği gibiydi. Kurye kibar, börekler çok lezzetliydi.",10.0,10.0,10.0,1605569701
Adananın en iyi böreği net.,10.0,10.0,10.0,1605483301
Tşklrrrrrrrrrrr.,10.0,10.0,10.0,1605483301
Harika enfes bir borekti tavsiye ederim.,10.0,10.0,10.0,1605310501
Telefonunuza neden ulaşılamıyor?,6.0,6.0,7.0,1605310501
Lezzetli ve sicak geldi ellerinize saglik.,10.0,10.0,10.0,1605137701
Cok lezzetliydi ellerinize saglik bolgenin en iyi yeriiiii benceeee hayirli isler dilerim.,10.0,10.0,10.0,1605137701
Harika.,10.0,10.0,10.0,1604878501
Ellerinize saglik cok guzeldi.,10.0,10.0,10.0,1604878501
Her zamanki gibi çok güzeldi. Notuma bakılsa daha iyi olurdu:).,10.0,9.0,10.0,1604792101
Ayran ve 1lt şalgam istedim. Aradılar şuan elimizde 1lt şalgam yok dediler 3 tane 330 ml gönderiyorum dediler. Kabul ettim ama 2 tane göndermişler. Hem ilgililer hem ilgisizler.,10.0,1.0,10.0,1604705701
Hataları var...,1.0,1.0,1.0,1604532901
Güzel.,10.0,10.0,10.0,1604187302
Güzel.,10.0,10.0,10.0,1604100902
Herşey çok güzeldi elinize sağlık.,10.0,10.0,10.0,1604014502
Gökhan önlemini almış 10 10 sipariş hayırlı cumalar.,10.0,10.0,10.0,1604014502
10dkda geldi ben şok.,10.0,10.0,7.0,1604014502
"Elinize saglik, kiymali ve peynirli yedim ikisi de guzeldi.",10.0,10.0,10.0,1603928102
Taze değildi ısıtıp göndermişsiniz direk beğenmedik.,1.0,1.0,1.0,1603841702
Kullanılan yağ kötüydü biraz. Porsiyon da küçüktü açıkçası.,9.0,7.0,3.0,1603841702
Güzel.,10.0,10.0,10.0,1603841702
On numara.,10.0,10.0,10.0,1603803956
Mükemmel tek kelimeyle kaçıncı siparişim bilmiyorum ama notlarımı dikkate alıyorlar ve aşırı hızlı geliyor. Sıcacık nefis bir su böreği.,10.0,10.0,10.0,1603803956
Su böreği lezzetli ancak peynir oranı standarttan az.,10.0,8.0,8.0,1603803956
"Su böreği o kadar güzeldi ki, ellerinize sağlık.",10.0,10.0,10.0,1603803956
Hızlı servis ve güler yüzlü kurye isa kardeşime teşekkür ederim. Maske takıp özen göstermende çok güzel.,9.0,9.0,9.0,1603803956
Ya ortada bi emek var saygısızlık yaomak istemem ama lezzet berbatti sogan resmen bide okadar ağır yağ kokuyordu allah affetsin yeminle yiyemedim okadar ağırdı ki anlatamam bence çok kaliteli bi borekci olmak için su soğanı ve yagi terk edin adana da hic adam akilli yapan yok kol böreğini hiccc.,8.0,7.0,2.0,1603803956
Tşklrrrrrrrrrrrrrr.,10.0,10.0,10.0,1603803956
Su börekleri tam bir harika.,10.0,10.0,10.0,1603803956
Kıymalı börek çok güzel ve sıcacık olarak çok çabuk geldi. Yılmaz adındaki kurye de çok güler yüzlüydü.,9.0,9.0,9.0,1603803956
Elinize sağlık. Su böreğiniz güzel beğenerek yiyoruz. İnsallah hep böyle devam eder.,8.0,10.0,10.0,1603803956
Fazla yağlı.,8.0,9.0,1.0,1603803956
Her zaman çok lezzetliydi fakat en sonki siparişim hamur gibiydi.,9.0,10.0,6.0,1603803956
Çok iyiydi ilk zamanlar sanırım sizde değiştiniz. Bir şeyler değişti.,10.0,10.0,10.0,1603803956
Başarılı.,10.0,10.0,10.0,1603803956
Ellerine sağlık her zamanki gibi çabuk ve servisi düzgün bir şekilde geldi.,10.0,10.0,10.0,1603803956
What is this omenn tanrimmm mikeyemellllll yeme yaninda yat kibapp kibappp.,10.0,10.0,10.0,1603803956
Kurye kibardı.,8.0,10.0,10.0,1603803956
Süper.,10.0,10.0,10.0,1603803956
Borekler lezzetli fakat biraz yagi fazla idi.,9.0,9.0,8.0,1603803956
Herşey güzeldi.,8.0,10.0,9.0,1603803956
Teslimat çok hızlı lezzet mükemmel.,10.0,10.0,10.0,1603803957
Çok iyi ve tazeydi.,10.0,10.0,10.0,1603803957
Tesekkurler.,7.0,10.0,7.0,1603803957
İngiri bordsss mikemmelllll lezzettt what is this.,10.0,10.0,10.0,1603803957
10 numara.,10.0,10.0,10.0,1603803957
Canpolata selam.,10.0,10.0,10.0,1603803957
Tşklrrrrrrrrrrrrrrrrrr.,10.0,10.0,10.0,1603803957
Gayet başarılı.,10.0,10.0,10.0,1603803957
O nasıl bir su böreği hocam mest olduk.,10.0,10.0,10.0,1603803957
Servis gayet hızlıydı börekler de sıcacıktı teşekkürler.,10.0,10.0,10.0,1603803957
Her şey çok güzeldi sıcacıktı elinize sağlık.,10.0,10.0,10.0,1603803957
Her zmanki gibi mükemmeldi :).,10.0,10.0,10.0,1603803957
İyi.,10.0,9.0,9.0,1603803957
Valla lale börekle kapışır hatta bir tık geçer bile bayıldım hem de ekonomik.,9.0,9.0,10.0,1603803957
Hıngıl bıngıl cıngıl mıngıl lezzet iyi servis iyi ammaa lakin kıymali boregin soganini azaltin tessekkurlerooo.,10.0,10.0,10.0,1603803957
İyiydi.,8.0,8.0,8.0,1603803957
"Abi su boreginiz efsane, asiri derecede iyi.. Fiyat-porsiyon ideal.. Patatesli boreginizde donem donem sikinti olabiliyor.. Sebebi de hava kosullari patatesli icin cabucak eksimeye bozulmasina sebep oluyor.. Buna diklat etmeniz dilegiyle..",10.0,10.0,10.0,1603803957
Harika.,10.0,10.0,10.0,1603803957
Ellerinize sağlık güzeldi.,9.0,9.0,9.0,1603803957
Güzel.,10.0,10.0,10.0,1603803957
Herşey çok güzeldi hızlı teslimat 10 numara tat.,10.0,10.0,10.0,1603803957
"Servis hızlı, ürünleri lezzetli. Bu sentteki en iyi börekçi bence. Tavsiye ederim.",10.0,10.0,9.0,1603803957
"Yorunlarda yazan kadar lezzetli değildi, normal bir börekti.",7.0,9.0,7.0,1603803957
Standart börekçi ne kötü ne iyi.,9.0,8.0,7.0,1601174211
