comment_text,comment_speed,comment_service,comment_taste,comment_time
Kurye guler yuzluydu. Hizli ve lezzetli teslimat.,10.0,10.0,10.0,1606433756
Süperdi.,10.0,10.0,10.0,1606433756
Supersiniz.,10.0,10.0,10.0,1606347356
Turşu domates olmalıydı.,9.0,4.0,8.0,1606347356
Doritos yerine patos koymuşsunuz..,10.0,10.0,8.0,1606347356
"Hız oranı bir öncekine göre daha iyiydi, beğendim.",10.0,8.0,8.0,1606347356
Cok ıslanmıştı ekmeği ama içinde sanki hiç sos yok gibiydi değişikti. Genel anlamda çoğu yere göre güzel ama.,8.0,9.0,7.0,1606347356
Adananın en iyisi.,10.0,10.0,10.0,1606347356
On numara beş yıldız.,10.0,10.0,10.0,1606260956
Harika.,10.0,10.0,10.0,1606260956
Çok uzun süren bir süreç oldu.,1.0,10.0,10.0,1606260956
Lezizz.,10.0,10.0,10.0,1606260956
Kuryeniz mehmet beyin kibarlığının hatrına tüm puanları fulledim dewam.,10.0,10.0,10.0,1606174556
Her sey guzeldi ama yerken bulgurlar agiza geliyordu.,8.0,10.0,8.0,1606174556
Orta acılı dedim acı hiç yok turşu istemedim turşu var domates istedim içinde konulmamış geç geldi bunu yapan arkadaş okuma bilmiyor galiba.,1.0,1.0,1.0,1606088156
İstemediğim şeylerin hepsini katmışsınız.,1.0,1.0,1.0,1606088156
Vazgeçilmezim bu kadar ilgili bir isletme daha önce karşılaşmadım kuryeniz mehmete ayriyeten teşekkürler.,10.0,10.0,10.0,1606088156
Biraz geç geldi tadı daha iyiyiydi eskiden.,7.0,7.0,7.0,1606088156
Patlamış ürünü getirmişler heryer battı hiç memnun kalmadım helvada hamur gibiydi.,1.0,1.0,1.0,1606088156
Mükemmel.,10.0,10.0,10.0,1606088156
Koşullar ne olursa olsun olsun geliyorlar.,10.0,10.0,10.0,1606088156
Tam zamanında hizmet teşekkürler.,10.0,10.0,10.0,1606001756
Teşekkür ederiz hem hızlı hem lezzetli olduğu için.,10.0,10.0,10.0,1606001756
Mükemmel hız ve lezzet başarılı kesinlikle tavsiye ederim.,10.0,10.0,10.0,1606001756
Guzel.,10.0,10.0,10.0,1605915356
Herşey mükemmeldi.,10.0,10.0,10.0,1605915356
Çok güzel burger sos harikaaa.,10.0,10.0,10.0,1605828956
Her şey mükemmeldi hemen geldi.,10.0,10.0,10.0,1605828956
"Kuryeleri kibar, çiğ köfteleri harika.",10.0,10.0,10.0,1605828956
