comment_text,comment_speed,comment_service,comment_taste,comment_time
Lahmacun lar hiç güzel değildi dürümde soğan yoktu.,1.0,1.0,1.0,1606347779
Teşekkürler.,10.0,10.0,10.0,1606261379
Dana ciğerinden kebap olmaz kalite yerle bir olmuş böyle bir yer değildi eski günlerine dönmesi dileğiyle.,8.0,3.0,1.0,1606088579
Kötü.,1.0,1.0,1.0,1606002179
Kalite sıfır ilgi alaka sıfır lezzet sıfır.,1.0,1.0,1.0,1605656579
Tad çok iyi servis klasik olması gerektiği gibi begendim.,9.0,9.0,10.0,1605570179
Teşekkürler.,9.0,10.0,10.0,1605483779
Baya iyi lezzetli eliniz saglık.,10.0,10.0,10.0,1605397379
Tavuk kıymada çok lezzetlisiniz ama adana kebabınız kötü az bişey et koymuşsunuz 75-80 gr bile yoktur kıyma.,8.0,1.0,1.0,1605397379
Geçen gece ciğer sipariş verdim pişman oldum soğansız diye belirtmeme rağmen soğanlı geldi ve çok kuruydu ciğer hız iyi lezzet için aynı şeyi söyleyemem.,10.0,5.0,1.0,1605310979
Teşekkürler.,10.0,10.0,10.0,1605310979
Kızarmış piliç söyledim 20-30 dk diyor du teslimat 2 saatte geldi. Salata kötü tavuk fena değil. Tercih etmem bi daha.,1.0,5.0,5.0,1605051779
Tadi hl damağımda.,8.0,9.0,10.0,1604878979
K. B ama bu sefer begenmedık yemegınızı iyi degildi.,10.0,10.0,2.0,1604792579
Ben tavuk döneri domastessiz istemiştim bir tanesini domatesli göndermişsiniz alarjim var yiyemedim.,10.0,4.0,1.0,1604792579
Emeğinize sağlık ama hamur gibiydi.,10.0,1.0,1.0,1603804433
Güzel ötesi.,10.0,10.0,10.0,1603804433
Beyti süper elinize sağlık.,10.0,10.0,10.0,1603804433
Harika servis yani hem doyurucu hem mükemmel pişirim paketci güleryüzlü.,10.0,10.0,10.0,1603804433
İçeceğimiz gelmemişti ama bizden tam para alındı üstüne o kadar geç geldi ki sipariş verdiğimizi bile unutmuştuk hiç memnun kalmadık kusura bakmayın.,2.0,1.0,5.0,1603804433
Sipariş notlarına daha dikkat etmelisiniz onun dışında yıllardır yemek yedigim bi restoran ailecek beğeniyoruz.,9.0,8.0,9.0,1603804433
Hız ve servis çok iyi lezzet de biraz arttımı çok daha iyi olur.,10.0,10.0,7.0,1601174687
Hsisksks.,8.0,8.0,8.0,1601174687
Şalgam sipariş ettim koymamışlar parasını verdiler 1 lira eksik. Yemek iyiydi birazdaha dikkatli olun.,10.0,5.0,10.0,1601174687
Kurye çok hızlıydı harikasınız dürüm müthişti.,10.0,10.0,10.0,1601174687
Çok kötü.,1.0,1.0,1.0,1601174687
Pismemis ekmek bayat.,1.0,1.0,1.0,1601174687
Notları dikkate alıyorlat.,10.0,10.0,10.0,1601174687
Daha önce restoranta gidip bizzat yemek yediğim bir yer ilgi alaka servis ve hizmetten çok memnun kalmıştım umarım işiniz hep rast gider :).,10.0,10.0,10.0,1601174687
Servis gayet özenli ve lezzet harika.,10.0,10.0,10.0,1598544941
Mahallenin en fiyakalı kebapçısı.,10.0,9.0,9.0,1598544941
Yemekleri getirirken keşke salatalar dökülmemiş bir şekilde gelseydi.,10.0,1.0,8.0,1598544941
Tavuk kıyma dürüm ve sucuklu kaşarli pide lezzetli hiz kötü.,1.0,10.0,10.0,1598544941
Berbat eve gelen salatalar hersey corba olmustu paketci sanki sallamis getirmis yazik.,1.0,1.0,1.0,1595915195
Harika gerçekten.,10.0,10.0,10.0,1595915195
Pişmanlık.,4.0,3.0,1.0,1595915195
Sadece kuyruk yagi yedim ve gecegi acilde gecirdim tesekkuerler.,10.0,5.0,1.0,1595915195
Tavukta değişik bir koku vardi.,8.0,9.0,4.0,1595915195
Bir daha sipariş vermicen çok kötü.,1.0,1.0,1.0,1595915195
Sözde 1. 5 beyti ama sade ekmek yedim resmen yinede elinize sağlık.,7.0,7.0,7.0,1595915195
Kebap çok güzeldi ama pişmiş domatesler pişmemişti :(.,10.0,10.0,10.0,1595915195
Tavuğun sadece ustu pişmiş ici daha pişmemişdi ve tavuğun tabagi su doluydu umarım bir daha böyle olmaz.,10.0,8.0,1.0,1595915195
Salatalara baharat ve nar ekşisi koyulsun dedim sade yollanmış. 2. Si kıyma kokuyordu büyüksaatte ki memet ustanın kıyması buna 1000 çeker. Yani kısaca hız konusunda çok iyi lezzet konusunda vasat.,10.0,2.0,1.0,1595915195
Abicim patlıcan kebabı bildiğimiz kemer patlıcandan olur hele bir de bir işletmeci isen( lezzet açısından) daha iyilerini seçer alırsın size zahmet içinden kötülerini çıkartın ama lütfen sizin gibi bizde emek vererek kazanıyoruz çöpten süpürmüyoruz kendimizin yemediği bir şeyi başkasına yedirmiyorz.,10.0,5.0,1.0,1595915195
Kaliteli.,10.0,10.0,10.0,1595915195
Rezalettt.,1.0,1.0,1.0,1595915195
Elinize sağlık.,10.0,10.0,9.0,1595915195
Geç geldi ve içek unutulmuş parası ödendi hlde..,1.0,1.0,1.0,1595915195
Mükemmel.,10.0,10.0,10.0,1595915195
Memnun kaldım fakat fiyatlar daha uygun olabilir.,10.0,8.0,10.0,1593285449
Cok güzeldi ellerine sağlık ustam.,10.0,10.0,10.0,1593285449
Ürün gayet başarılı ucuz yollu karın doyurmak için tüm piliç yiyin.,10.0,10.0,8.0,1593285449
Servis ve lezzet mükemmel.,10.0,10.0,10.0,1593285449
100 metrelik yere 35 dakikada getiren ilk kişisiniz turşu yok full yeşillik ben ne yapayım yeşilliğe.,1.0,4.0,7.0,1593285449
Bence yıldızoğlu künefe satışını bian once bırakmalı çünkü hayatim boyunca böyle bı künefe yemedim we yemeyi de düşünmüyorum.,7.0,7.0,3.0,1593285449
Kızarmış bütün tavuk siparişimden çok memnun kaldık ailecek. Beklediğimden hızlı geldi tavuk boyutu pişme seviyesi lezzeti 10numaraydı gerçekten soğanları yerken aşk yaşadım resmen acı tat yoktu ellerinize sağlık.,10.0,10.0,10.0,1593285449
Öncelikle lezzeti çok güzeldi adana kebap ın sadece sıkıntı yaşadıgım tek nokta künefe siparişide vermiştim peynir erimemişti topak şeklindeydi.,10.0,8.0,10.0,1593285449
Siparişim beklediğimden çok kısa sürede geldi. Geldiginde sicakti ve lezzeti mükemmeldi bundan sonra favori restorantım burası..,10.0,10.0,10.0,1593285449
Temassız teslimat istedim zilime çalmadan kapıma asıldı ben 40 dk sonra farkettim buz gibi yemek yedim. Dışardan kornaya basmakla olmuyor ayıp yahu.,1.0,1.0,1.0,1593285449
On numara beş yıldız.,10.0,10.0,10.0,1593285450
Hızı gayet iyiydi ama fındık lahmacun yazıldığı halde alamıyorum 3gündür. Bilerek vermediğiniz bir şeyi sipariş ettirmeniz doğru değil.,9.0,1.0,1.0,1590655704
8.,10.0,10.0,10.0,1590655704
Dürümümden soğan kabuğu çıkmasaydı iyiydi.,5.0,5.0,8.0,1590655704
