comment_text,comment_speed,comment_service,comment_taste,comment_time
Normal.,8.0,8.0,8.0,1606349065
Bazen börekler tam iyi pişmıyor biraz dikkat ederseniz sevinirim.,8.0,8.0,8.0,1606349065
Soğanı biraz fazlaydı ama yine de güzeldi. Elinize sağlık.,10.0,9.0,8.0,1606262665
Aşırı hızlı geldi siparişim çok teşekkürler.,10.0,10.0,10.0,1606176265
Fena değil.,9.0,8.0,8.0,1606176265
Patatesin o eski lezzetli baharatlı akışkan tadı yok malesef.,9.0,10.0,7.0,1606176265
"Kıymalı böreğin soğanı çok fazla, yanında gelen domates küflüydü ve çok yağlıydı.",6.0,1.0,1.0,1606089865
Börekler sulanmıştı hamurlaşmıştı daha dikkatli paketlenebilir.,9.0,6.0,6.0,1606089865
Güzel.,10.0,10.0,10.0,1606089865
6 dk da geldi..,10.0,10.0,10.0,1606089865
"Lezzeti çok güzeldi yalnız küçük tavsiyede bulunacak olursak, patatesli harcınızı baharatlandırıp lezzeti daha da artırabilrisniz, peynriiniz de biraz tuzlu ama yenilemeyecek kadar değildi. Börekler temiz ve güzel paketlenmiş geldi elinize sağlık. Bol kazançlar.",10.0,10.0,9.0,1606003465
Bu sefer domates vardı.,9.0,9.0,9.0,1606003465
İç peynir biraz azdı ona rağmen gayet iyi.,10.0,10.0,10.0,1606003465
Aşırı yağlı geldi diğer siparişler böyle değildi.,9.0,8.0,7.0,1605917065
Domates koymayı unutmuşlar.,7.0,2.0,7.0,1605917065
Patatesli peynirli siparisim patatesli kıymalı geldi. Kıymayı kokusundan dolayı hiç sevmiyorum kıyma yerine patates gelse hiç dert etmezdim. Ek olarak domateste gelmedi :/ iyi çalışmalar.,10.0,5.0,5.0,1605830665
Goood.,10.0,10.0,10.0,1605830665
Kurye mermiden daha hızlı.,10.0,10.0,8.0,1605744265
1 kıymalı 1 tane karısık istedim karısık yerine sadece peynirli geldi.,8.0,6.0,8.0,1605657865
"Peynirlisi güzel fakat kıymalı olanı mide sorunu olanlara tavsiye etmem, soğanı çok fazla.",10.0,9.0,7.0,1605657865
Çürük domatesin çürük tarafını kesip koymuşsunuz ama bazı yerlerinde kalmış ayıptır ya valla.. Soğanı biraz azaltıp kiymasini cogaltirsaniz çok daha güzel olur.,10.0,6.0,6.0,1605657865
Güzel.,10.0,10.0,10.0,1605657865
İlginç kuryeler.,1.0,1.0,1.0,1605657865
Gecenin bir yarısı sıcacık börek getirdiniz elinize sağlık.,10.0,10.0,10.0,1605571465
Kıymalı börek kıymalı değil soğanlıydı. Yani tek tük görünen minik kahverengi kıymalar vardı içi sırf soğandı. Keşke menüde soğanlı börek ayrı kıymalı börek ayrı satılsa kurtarmıyorsa da ona göre fiyatlandırılsa. Eski kaliteyi bulamadım. Peyniri de sertti peynirlinin.,8.0,8.0,2.0,1605485065
Güzel.,10.0,10.0,10.0,1605312265
Baya hızlı geldi servis çok iyi lezzet mükemmel.,10.0,10.0,10.0,1605312265
"Sipariş notuna zili basmayın dememe rağmen zile basıldı ve aile üyeleri uyandı, onun dışında ortalama bir servis ve lezzet.",7.0,7.0,7.0,1605225865
Çok yağlıydı.,10.0,10.0,7.0,1605139465
Nice.,10.0,10.0,10.0,1604966665
Peynirli börek biraz fazla tuzlu geldi düzeltirseniz çok güzel olur.,10.0,10.0,10.0,1604880265
Her zamanki gibi güzeldi.,10.0,10.0,10.0,1604880265
Börek soğuk ve bayattı.,7.0,7.0,6.0,1604880265
Goood.,10.0,10.0,10.0,1604880265
Hizmet süper.,10.0,10.0,10.0,1604880265
Mükemmel.,10.0,10.0,10.0,1604880265
Hız ve ilgi süper. Teşekkürler.,10.0,10.0,10.0,1604880265
"Börek sanki kıymalı değil, soğanlı börekti yıllardır yediğim yer iki seferdir içerisinde sanki kıyma yok soğan var, soğanlı börek yiyorum iki seferdir önceden böyle değildi.",3.0,1.0,1.0,1604707465
"Börek, 10/10/10.",10.0,10.0,10.0,1604707465
Çok iyiler.,10.0,10.0,10.0,1604707465
Hızı ve lezzeti gayet iyiydi fakat keşke domates ve biberi biraz fazla koysaniz..,10.0,9.0,10.0,1604621065
Goood.,10.0,10.0,10.0,1604621065
Peynirli mukemmel.,10.0,10.0,10.0,1604534665
Paketci sıkıntılı.,6.0,9.0,9.0,1604448265
Teşekkürler.,8.0,8.0,8.0,1604448265
Teşekkürler.,10.0,9.0,9.0,1604448265
Peynir kötü.,1.0,1.0,1.0,1604361865
Güzel.,10.0,10.0,10.0,1604361865
Goood.,10.0,10.0,10.0,1604275465
Turşuya alerjim olduğumu belirtip koyulmamasını nazikçe ilettim. Fakat hiç oralı olmamışlar.,1.0,1.0,1.0,1604189065
Lezzetli.,10.0,10.0,10.0,1604189065
Kıymalı börek bayattı.,6.0,6.0,6.0,1604102665
