comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızlı ve lezzetli.,10.0,10.0,10.0,1606445742
Peynirli börek harbiden de güzelmiş mutlaka deneyiniz elinize sağlık ustam.,10.0,10.0,10.0,1606186542
Daha önce lale börekçilikten sipariş vermiştim çok hoşuma gitmemişti açıkçası tadı. Farklı biryer deniyim diye burdan sipariş verdim fakat bana gelen siparişin lale börekçiliğin böreği olması tuhaf oldu.,10.0,10.0,8.0,1606186542
Muhteşem ötesi çalişanlarida cana yakin ve ılımlı yediginizden tat alabileceğiniz bir yer şiddetle tavsiye ederim. Ellerinize saglik herşey icin teşekkurler iyi calismalar. İşin hakkini veren tek börekçi.,10.0,10.0,10.0,1606100142
İlaveden ayran bile konuslmus superdi tadi.,10.0,10.0,10.0,1606013742
Her şeyiyle mükemmel.,9.0,9.0,9.0,1605840942
Elinize saglik.,10.0,10.0,10.0,1605840942
Lezzetliydi.,9.0,10.0,9.0,1605754542
Cok güzeldi elinize sağlık hızı da çok iyiydi.,10.0,10.0,10.0,1605754542
Kurye arkadaş çok iyi biri. Börek lezzetli.,9.0,9.0,9.0,1605668142
Hayatımda gördüğüm en kaba kuriyeydi sürekli telefonla konuştu ve kartımda şebeke sorunu yaşadık 2 dakika bekledi diye dünyanın söylenmesini gerçekleştirdi.,9.0,1.0,7.0,1605668142
Verdiğiniz hizmet ve lezzetinin dolaysiyla çok teşekkür ederim.,10.0,10.0,10.0,1605668142
Nice.,10.0,10.0,10.0,1605581742
Pos cihazi arizaliysa getirmeyin kardesim yol parami verdim.,1.0,1.0,1.0,1605581742
Mükkemmel lezzet.,10.0,10.0,10.0,1605495342
Güzeldi.,8.0,8.0,8.0,1605495342
Mükemmel.,10.0,10.0,10.0,1605322542
Börekler lezzetliydi biraz fazla yağlı gibi geldi ama memnun kaldık...,10.0,10.0,10.0,1605322542
Baya iyi.,10.0,10.0,10.0,1605322542
Yok böyle bir lezzet enfes enfes.,10.0,10.0,10.0,1605236142
Kıymalı börek güzeldi su böreği damak zevkime uymadı bu kötü olduğunu göstermez iyi restoran.,10.0,10.0,9.0,1605149742
Sadexs 5 dakika geç kaldıkları için ayran yollamışlar kuryede çok nazikti gösterdiğiniz davranış hizmet için sağolun yemekte mükemmeldi.,10.0,10.0,10.0,1605063342
Kıymalı böreği efsane kötü diyende damak tadı aramam ben. Hızları servisleri çok güzel.,10.0,10.0,10.0,1604976942
Denemeyen varsa denesin yoksa pişman olursunuz bu enfes tadı hiç bir zaman unutmayacağım hayırlı işler :).,10.0,10.0,10.0,1604976942
Çok güzel olmuş ellerinize sağlık birde fazladan ayran koymuşsunuz teşekkür ederim.,10.0,10.0,10.0,1604890542
Güzel ve hızlı yanlışlıkla ayran koymuşsunuz içtim hakkınızı helal edin.,10.0,10.0,10.0,1604890542
Böregin ne kadar yanan yeri varsa yollamissiniz sağolun bir daha asla.,6.0,1.0,1.0,1604890542
İçeçek ılıktı su böreğide aynı şekilde tadıda kötüydü sipariş verirken 2 kez düşünmenizi öneririm.,1.0,1.0,1.0,1604890542
Mükemmelin ötesi.,10.0,10.0,10.0,1604804142
Tskler.,10.0,10.0,10.0,1604804142
Herşey çok güzeldi teşekkürler iyi çalışmalar.,10.0,10.0,10.0,1604717743
"Taze, sıcak, lezzetli. Ayran için teşekkürler.",10.0,10.0,10.0,1604717743
Mükemmel.,10.0,10.0,10.0,1604631343
Yediğim en lezzetli sıcak ve hızlı gelen börekti teşekkürler.,10.0,10.0,10.0,1604631343
Elinize sağlık hem sıcak gelmiş hem lezzetli.,10.0,10.0,10.0,1604458543
İnanılmaz kötü.,1.0,1.0,1.0,1604458543
Yanmış ve bayattı artı kutu açılmış sevmedim.,1.0,1.0,1.0,1604372143
Mükemmeldi tavsiye ederim herkese.,10.0,10.0,10.0,1604372143
Nerdeyse hepsi yanık olan börekleri neden bana gönderdiniz.,10.0,5.0,1.0,1604372143
Gayet lezzetli ikram için teşekürler.,10.0,10.0,10.0,1604372143
Servus ve hiz guzel gelen kuruye icin tesekur ederim gosterdigi sevgi saygidan dolayi borek guzel ve tati gayet lezzetli ustamizin ellerine saglik hayirli calismalar dilerim.,10.0,10.0,10.0,1604285743
Çok hızlı ve gayet güzeldi ayranlar için teşekkürler.,10.0,10.0,10.0,1604199343
10/10.,10.0,10.0,10.0,1604199343
Mükemmel.,10.0,10.0,10.0,1604112943
Ayran ikramınız için teşekkürler.,10.0,10.0,8.0,1604112943
Güzel.,10.0,10.0,10.0,1604112943
Börek yemek isteyenlere tavsiye edilir börek yediğinizi anlayacaksınız.,10.0,10.0,10.0,1604026543
