food_id,food_name,food_price,food_category,food_score
E247EBD3-6F4A-46DE-9AD4-D6AA21D49B1F,Mood İzmir Dürüm Menü 1,"16,50 TL",Menüler,26.0
D4AF834E-0C93-438D-856E-EE88A24C2B5E,Mood İzmir Dürüm Menü 2,"19,00 TL",Menüler,11.0
22434d8a-9ae4-4f42-bd57-f118e4e7d29d,Mood Mançurya Menü 1,"16,50 TL",Menüler,32.0
395f9ca7-99b3-4797-9ac3-dadabffe1c12,Mood Mançurya Menü 2,"18,50 TL",Menüler,17.0
765e15a2-8aac-44a6-ba32-9a60fb70f8d4,Mood Takoreç Menü 1,"16,50 TL",Menüler,30.0
71eb4b9d-0eee-4c6c-98e5-a1c1f82a2086,Mood Takoreç Menü 2,"18,50 TL",Menüler,15.0
CBED575D-DB0C-4C26-930C-E8E08A382914,Mood Patso Dürüm Menü 1,"13,00 TL",Menüler,28.0
C29BD9BA-0A9E-413A-B810-BBA4F3564ABC,Mood Patso Dürüm Menü 2,"15,00 TL",Menüler,13.0
050b5be0-fa26-414d-adbb-23632e48ad38,Anne Tostu,"9,50 TL",Tostlar,5.0
1c17199e-252d-4a50-9ec1-e6e07c3dabc7,Karışık Tost,"10,00 TL",Tostlar,11.0
6e992ef4-9aac-498c-8942-83d6ab178960,Kaşarlı Tost,"8,00 TL",Tostlar,8.0
2a9afc23-c676-40e9-8c67-19ca225c672d,Sucuklu Tost,"9,00 TL",Tostlar,6.0
77382239-448d-4006-b944-e79901392eff,Tırnak Pide Arası Anne Tostu,"9,50 TL",Tostlar,5.0
60325262-590D-4027-8AC3-C61ECA7B89F6,Tırnak Pide Arası Karışık Tost,"10,00 TL",Tostlar,6.0
451F1459-9B3C-4149-841F-FC7C05B3C3BD,Tırnak Pide Arası Kaşarlı Tost,"8,00 TL",Tostlar,8.0
943E19CD-0CBA-4494-9D7D-F4DF3A4163B0,Tırnak Pide Arası Sucuklu Tost,"9,00 TL",Tostlar,6.0
4fc5fd70-bb17-4233-97a6-037e176bd870,Tavuk Fajita,"16,00 TL",Ana Yemekler,9.0
7941f9f4-972a-45eb-ae88-6cf03881e7f2,Kasap Köfte,"23,50 TL",Ana Yemekler,5.0
7e35252f-c392-45cb-b1b8-bbbe6cf5040f,Ciğer Tava,"23,00 TL",Ana Yemekler,5.0
a0bbf30f-683c-4130-ab1d-9e2df7571a7c,Kaşarlı Kasap Köfte,"25,00 TL",Ana Yemekler,7.0
f54a5d6f-4e2b-4cb3-b21b-deb25f45abe7,Mantarlı Tavuk,"14,50 TL",Ana Yemekler,9.0
70624D90-F60B-43DF-B843-2384986DA052,Köri Soslu Tavuk,"18,00 TL",Ana Yemekler,9.0
a5e6c02f-6426-4e59-956a-80d670bab252,Barbekü Soslu Tavuk,"18,50 TL",Ana Yemekler,9.0
ffd90329-d72c-49be-9051-ac3b0740cbf8,Izgara Tavuk,"13,50 TL",Ana Yemekler,9.0
63E6140C-F90D-4F19-81BF-1570E2657BDC,Et Döner,"22,00 TL",Et Dönerler,8.0
90BEB8AB-D6EF-4F69-B85B-49005498E1B6,Et Döner Dürüm,"15,00 TL",Et Dönerler,6.0
856EA1BA-3BCE-4295-83DE-39C170D1DF97,Ekmek Arası Et Döner,"15,00 TL",Et Dönerler,8.0
FF1EC660-302C-45AE-AAD6-61F070CA0143,Jumbo Et Döner,"17,50 TL",Et Dönerler,8.0
14098870-b37d-48f3-b68d-f41369607577,Ekmek Arası Takoreç,"12,00 TL",Takoreçler,5.0
