comment_text,comment_speed,comment_service,comment_taste,comment_time
Berbat.,1.0,1.0,1.0,1606402200
İyi.,10.0,10.0,10.0,1606229400
"Sosu, patatesi her şeyi mükemmel.",10.0,10.0,10.0,1606143000
Çok soğuktu.,8.0,6.0,3.0,1605970200
Güzel.,9.0,9.0,9.0,1605970200
Hızlı olmasına rağmen çok soğuk geldi keşke yavaş gelip sıcak gelseydi :d.,9.0,9.0,6.0,1605970200
10 dk içinde geldi siparişim tadı da çok güzeldi çok beğendim elinize sağlık. Kurye de çok kibardı ona da ayrıca teşekkürler.,10.0,10.0,10.0,1605970200
Hamburger söyledim zar zor yedim köftesinin bi kısmını yiyemedim zaten yağ deri ne varsa çektirmişler köftemi yapmışlar napmışlar köfteyi elimle bölüyom arasından sert sert kıkırdağımsı et vs.,1.0,1.0,1.0,1605883800
Iyi.,8.0,9.0,9.0,1605883800
Sıcacıktı ve lezzetliydi notlar dikkate alınmış ellerinize sağlık.,6.0,8.0,8.0,1605883800
Çok hizlı geldi lezzet harika.,10.0,10.0,10.0,1605883800
 başarılı doyurucu ve lezzetli.,10.0,10.0,10.0,1605797400
Biber turşusunda bonkör davrandığınız için teşekkürler.,10.0,10.0,10.0,1605711000
Güzeldi.,10.0,10.0,10.0,1605624600
Harika.,10.0,10.0,10.0,1605624600
Bu fiyata bu kalite... Burgerleri deneyin.,10.0,10.0,10.0,1605538200
Mükemmmellll.,10.0,10.0,10.0,1605538200
Güzeldi.,10.0,10.0,10.0,1605538200
Hız mükemmel lezzet efsane özellikle döner.,10.0,10.0,10.0,1605538200
7 dakikada geldi kuryeniz helal olsun lezzetde mükemmeldi.,10.0,10.0,10.0,1605451800
Güzeldi.,9.0,9.0,9.0,1605365400
Paket içeriği zayıftı. Ne ketçap ne mayonez ne başka bir şey. Çok yakın mesafede bile yarım saatten fazla bekledik.,7.0,9.0,9.0,1605365400
Güzel.,9.0,9.0,9.0,1605279000
Gayet iyi.,8.0,8.0,8.0,1605279000
Güzeldi.,10.0,10.0,10.0,1605192600
8 dk da geldi.,10.0,10.0,10.0,1605106200
Güzel.,9.0,9.0,9.0,1605019800
Guzeldi.,10.0,10.0,10.0,1604847000
Önceye göre bir tık daha özensiz gibi geldi.,10.0,9.0,7.0,1604847000
Öncü ve best of dan iyi.,9.0,9.0,9.0,1604328600
8 dakikada geldi 8 dakika kuryeniz murat abiye selamlar :).,10.0,10.0,10.0,1604242201
"Online ödeyerek temassız teslimat istedim, görevli siparişi karşı komşunun kapısına asmış giderken komşu kapıyı açıp sipariş vermediğini söyleyince hatasını fark ediyor. Kapı numarası fişte açık bir şekilde yazılı olmasına rağmen siparişin yanlış kapıya asılması hiç şık olmadı.",3.0,5.0,8.0,1603983001
Klasik.,9.0,8.0,8.0,1603858855
Hamburger ekmeği kötüydü et mükemmeldi.,10.0,9.0,8.0,1603858855
Soğuktu.,8.0,8.0,7.0,1603858855
Güzeldi.,10.0,10.0,10.0,1603858855
Lavaş yumuşak olsun diye belirtmeme rağmen aşırı derecede sertti. Ve 100 gr. Et olan dürümden söylememe rağmen tavuk sayılı idi.,7.0,6.0,1.0,1603858855
Yeni kuryeniz çok kaba.,10.0,10.0,10.0,1603858855
İki kez tombik döner sipariş vermiştim ikisinde de soğuk geldi ama lezzeti güzel.,8.0,8.0,8.0,1603858855
Mükemmel.,10.0,10.0,10.0,1603858855
Kurye cok kibardi.. Lezzeti gayet iyiyfi.,10.0,8.0,8.0,1603858855
Güzel.,9.0,9.0,9.0,1603858855
Guzeldi.,9.0,9.0,9.0,1603858855
7 dk sürdü gelmesi.,10.0,10.0,9.0,1603858855
Ellerinize sağlık.,10.0,10.0,10.0,1603858855
Notları okumadan sipariş getiriyosunuz... Ayrıca dürümün içine de patates basıyosunuz.,10.0,5.0,5.0,1603858855
Soguk ce geç geliyor patatesler bayat haöburger kuru kuru cok bozdunuz.,2.0,2.0,3.0,1603858855
Baya guzeldi kuryeniz kibardi.,10.0,7.0,8.0,1603858855
Gayet güzel.,8.0,10.0,9.0,1603858855
Normal.,5.0,5.0,5.0,1603858855
8 dakikada gelen sipariş. Işınlanmayı bulmaları yakındır.,10.0,10.0,10.0,1603858855
Güzel.,10.0,10.0,10.0,1603858855
Normal hızından daha yavaş geldi tadı her zaman aynı zaten.,7.0,8.0,8.0,1603858855
"Muhtemelen 30. Siparişim, her seferinde hızlı ve sıcak gelirken bu sefer geç ve soğuk geldi.",8.0,6.0,9.0,1603858855
Hamburger genel olarak iyiydi. Ama kişisel tercih olarak sos ile biraz kuruluğu giderilebilir ve daha lezzetli olabilir diye düşünüyorum.,9.0,9.0,7.0,1603858855
Mükemmel.,10.0,10.0,10.0,1603858855
Güzel.,10.0,10.0,10.0,1603858855
Hll.,9.0,9.0,9.0,1601229109
