comment_text,comment_speed,comment_service,comment_taste,comment_time
Lahmacun pideye göre daha güzel di.,10.0,9.0,9.0,1606403138
Elinize ve emeğinize sağlık herşey eksizsiz ve güzeldi.,10.0,10.0,10.0,1606316738
Lahmacunun resmen içinde malzeme yoktu.,7.0,6.0,1.0,1606316738
Special pideye tuzu avuçlamı atıyorsunuz nedir. Tuzdan yiyemedik.,7.0,7.0,1.0,1606316738
Sipariş oldukça hızlı lahmacun istemiştik fena değil.,10.0,10.0,7.0,1606230338
Leziz special muhteşem lezzetli. Bugüne kadar yediğim en güzel pide. Tekrar görüşmek üzere teşekkürler.,10.0,10.0,10.0,1606057538
Pidelerin hepsi çok lezzetliydi şans verilmesi tavsiye edilir.,10.0,10.0,10.0,1605971138
Tepsi pide muhtesemdi ellerinize saglik.,10.0,10.0,10.0,1605971138
Güzel.,8.0,8.0,8.0,1605884738
Müüqq ötesi.,10.0,10.0,10.0,1605452738
Lahmacunlar çıtır çıtır ve cok lezzetliydi. Soyledigimiz miktar icin ezme cok azdı sipariş notuna da dikkat edebilirseniz güzel olacak.,10.0,8.0,10.0,1605452738
Lezzetli ve güzel.,8.0,8.0,8.0,1605193538
Kuru biraz.,9.0,10.0,9.0,1605193538
Güzel.,10.0,10.0,10.0,1604502338
Yavaştı.,5.0,6.0,6.0,1604502338
Mükemmel.,9.0,10.0,10.0,1604329538
"Daha önce çok beğenerek sipariş ettiğimiz lahmacunu bu sefer beğenemedik maalesef. Kıyması çok azaltılmıştı, lezzeti eskiye oranla düşüktü. Yine de elinize sağlık.",10.0,5.0,7.0,1604243138
Gayet doyurucu ve harikaydı.,10.0,10.0,10.0,1604070338
Güzel.,8.0,8.0,8.0,1604070338
O kadar güzeldi ki yedikden sonra sırtımın üstünde döndüm.,10.0,10.0,10.0,1603859792
Çorba şahaaaaane yav oglenleri cok iyi yetisiyorsunuz sagolun.,10.0,10.0,10.0,1603859792
Lahmacun 10 numara özellikle acılısını daha çok beğendim. Yanlız ezmeden 1 tane koymuşsunuz 5 tane lahmacuna 1 tane ezme nasıl yetsin kardeşler sorarım size hepimiz ortadaki ezmeye mi dalalım.,10.0,10.0,10.0,1603859792
Abi corbaniz cok guzel her zaman soyluyorum.,10.0,10.0,10.0,1603859792
Cok yagliydi.,8.0,8.0,3.0,1603859792
Hızlı sıcak ve ekonomik.,10.0,10.0,10.0,1603859792
Lezzetli pideler porsiyonu iyi doyurucu.,10.0,10.0,10.0,1603859792
Güzeldi.,10.0,9.0,9.0,1603859792
Çok güzel pideler tam kararındahızlı ulaşım sıcak fiyatı da uygun temizlikten de endişe olmuyor.,10.0,10.0,10.0,1603859792
Hijyen problemlerini halletseler çok daha iyi olacak. Temizlik konusunda çok kötüler.,10.0,7.0,8.0,1603859792
Sıcak ve çok güzeldi. Çok teşekürler. Daima tercihimiz.,10.0,10.0,10.0,1603859792
Yılların leziz pidesi anlatılmaz lezzet sıcak sıcak.,10.0,10.0,10.0,1603859793
İdeal.,8.0,8.0,8.0,1603859793
Salatanın yanına 1 çatal konulabilirdi ve soğuk gelmesi gerekmezdi birde kuryeniz önümüze kemik atar gibi bırakıp gitmemesi lazım parasini verdiğimiz ürünün servisi bu olmamali.,1.0,1.0,5.0,1603859793
Kuşbaşı kaşarlı güzeldi ama lahmacun güzel değildi hep baharattı ayrıca bafra pideside güzel değildi.,8.0,8.0,6.0,1603859793
Etli ekmek sipariş etmiştik ellerinize sağlık çok güzeldi.,10.0,10.0,10.0,1603859793
