comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok yavas.,1.0,1.0,1.0,1606144674
Kurye kardeşime çok teşekkür ederim 15 dakikada getirdi. İyi çalışmalar.,10.0,10.0,10.0,1606058274
Lezzet 10 numara. Hız geliştirilebilir.,8.0,8.0,10.0,1606058274
Efsane bi lezzet hem de bol kepçe seviyoruzzz.,10.0,10.0,10.0,1605971874
Yılmaz usta kalitesi.,10.0,10.0,10.0,1605971874
Çorba dökülmüştü lezzeti güzel güvenilir tercih ediyorum.,7.0,3.0,8.0,1605885474
Efsane bi lezzet nota dikkat etmeleri çok güzel.,10.0,10.0,10.0,1605712674
1 saatte geldi ayrıca her şey dökülmüştü.,1.0,1.0,9.0,1605626274
Mükemmel.,10.0,10.0,10.0,1605367074
"Harika lezzet, harika müşteri memnuniyeti, harika servis teşekkür ediyorum.",10.0,10.0,10.0,1605194274
"Lezzeti güzeldi ancak paket içeriğiyle alakası yoktu siparişin. Madem yazdıklarınızı göndermeyeceksiniz, göndereceğiniz ürünü yazın da onu alalım.",8.0,8.0,7.0,1605107874
Gayet güzel ve doyurucuydu.,10.0,10.0,10.0,1605021474
55 evlere 1 saatte geldi ama çok taze ve lezzetliydi.,5.0,10.0,10.0,1604848674
Çok iyi.,9.0,9.0,9.0,1604848674
Baklavalar tazecik çıtır çıtırdı.,10.0,10.0,10.0,1604762274
Servis hızlı ve yemek kezzetli.,10.0,9.0,9.0,1604762274
Yavaş geldi ama lezzet 10 numara.,7.0,10.0,10.0,1604589474
Kolamı unutmuşlar ama olur öyle her zaman yediğimiz yer mükemmel.,10.0,10.0,10.0,1604503074
Lezzetli.,7.0,9.0,10.0,1604416674
Herşey çok güzeldi.,8.0,8.0,10.0,1604243874
Her zaman tatlı siparişi verdiğim yer lezzet her zamanki gibi. Kurye kardeş iyi bir kardeş siparişten önce uslup dikkatimi çekti. Sayın işletme sahipleri iyi insanlara sahip çıkalım.,10.0,10.0,10.0,1604243874
Çok güzeldi.,10.0,10.0,10.0,1604157474
Yemekler cok. Lezzetliydi hersey ayri ayri güzel paketlenmisdi tesekkur ederim.,10.0,10.0,10.0,1604071074
Olmayam bir menüyü listede tutup siparişi vermek ve siparişi verdikten sonra başka menü yemek ne bilim.,10.0,1.0,1.0,1603860528
Kadayıf iyiydi.,10.0,9.0,9.0,1603860528
Lezzet ve yiyecekler gerçekten güzeldi ama siparişim 1 buçuk saatte elime ulaştı ve siparişimin geç kalabileceğine dair öncesinde ne bilgi verildi ne de geç kalındığı için herhangi özür dilendi...,5.0,8.0,9.0,1603860528
Her zaman tercih ettiğimiz tatlıcimiz olan bu firma beni hayal kırıklığına uğrattı. Yemek sepetinden ilk kez sipariş ettim. Bayat geldi.,8.0,7.0,1.0,1603860528
"Gayet başarılı, lezzetli...",9.0,8.0,9.0,1603860529
En iyi kebap.,10.0,10.0,10.0,1603860529
Fıstıklı baklavanın tek adresi denildi şekerlenmiş bayat bir tatlı geldi. Övüldüğü gibi değil malesef... 2. Güne kalınca zaten tamamen taş.,10.0,10.0,1.0,1603860529
Evde misafir olduğu için hızlı gönderebilir misiniz diye not düşmüştüm notumu önemseyip tahmin ettiğimden daha hızlı bir şekilde getirdiler :)) lezzet açısından zaten çok beğeniyordum ama müşterinin isteğini bu şekilde önemsemeleri de çok memnun etti beni. Teşekkür ederim.,10.0,10.0,10.0,1603860529
Baklavalar çok taze ve çok güzeldi.,10.0,9.0,10.0,1603860529
Son sipariş ettiğim cevizli baklava bayat geldi ertesi gün hemen şekerlerlendi. Ayrıca sürekli müşterisiyim ama neden böyle yapıyorlar bilmiyorum.,1.0,1.0,1.0,1603860529
Kadayıf verdiğim puandan anlaşılıyor zaten.,10.0,10.0,10.0,1603860529
Ürünleriniz hem taze hem de çok lezzetliydi.,10.0,10.0,10.0,1603860529
Berbatttt.,1.0,1.0,1.0,1603860529
Çorbaya kaşık koyulmamıştır neyle icmemiz beklenmektedir.,3.0,1.0,3.0,1603860529
Güzel.,9.0,9.0,9.0,1603860529
Harıkaydı ellerinize saglık.,10.0,10.0,10.0,1601230783
Süper.,10.0,10.0,10.0,1601230783
Lezzet hız güzel ancak üç seferdir cocacola şekersiz istememize rağmen normal kola geliyo. Zaten on tane falan içecek var acaba böyle bi ayrım olduğundan haberleri mi yok. Menüde böyle farklı seçenekler varsa lütfen dikkat edin. Bu özensizlik yakışmıyor.,10.0,1.0,10.0,1601230783
Süper.,10.0,10.0,10.0,1601230783
Güzel.,10.0,10.0,10.0,1601230783
Beyti ıstedik.. Adana geldi.. Beyti 32 tl adana 30 tl.. Mesele 2 tl de değıl.. Telefonla siparış teyidi yapıyorum lokanta beytiniz geliyor yolda diyor.. Hayır musterı ıle dalgamı geçiliyor.. İlginç olan hep aynı şikayetler var okuyunca gördüm.. Lokanta cevap versin merak ettim cevabı.,4.0,4.0,4.0,1601230783
Lezzette hicbir sorun yok. Hız çok çok yavaş.,1.0,8.0,9.0,1601230783
"20-30 dakika teslim süresi yazmasına rağmen 57 dakikada teslim edildi. Verilen parayı haketmiyor yemekler. Çorbada lezzet yok, kebaplar vasat. Usta heralde gaziantepin paralel evrenindeki yerinden gelmiş. Uzaktan yakından antep kebaplarıyla alakası yok. Üstüne midemizi bozdu.",2.0,7.0,5.0,1601230783
Güzel ama eskiden tavuk yerine ciğer isteyince gönderirlerdi.,10.0,10.0,10.0,1601230783
Mükemmel teşekkür ederiz.,10.0,10.0,10.0,1601230783
Kadayıf tatlısı her zaman ki gibi güzeldi.,10.0,10.0,10.0,1601230783
"Sipariş verdiğim ürün kalmadığı diye aradılar, başka bir ürün sipariş ettim, hızlı geldi lezzetliyfi.",9.0,9.0,10.0,1601230783
Çok güzeldi herşey için teşekkür ederim.,10.0,10.0,10.0,1601230783
Tatlı her zamanki gibi muhteşem.,10.0,10.0,10.0,1601230783
Çok hızlı çok başarılı çok beğendik.,10.0,10.0,10.0,1601230783
Tarife yazan baklava ve kadayıf çeşitliliği yoktu. Karışık demelerine rağmen iki farklı baklavayı koyup göndermişler. Sipariş verirken yazanlara aldırmayın aynısı gelmiyor.,5.0,1.0,9.0,1601230783
Beyti istedim adana geldi diyen arkadaşlar yoğurt konur mu hiç servise ben beyti istedim beyti geldi boş yapmayın gayet harika her şey parayı sonuna kadar hakediyor.,10.0,10.0,10.0,1601230783
Beyti istedim adana geldi yorumlar da yine rastlamistim yani israrla yapıyolar bilerek yapiyilar gercekten sebebi merak edilesi.,7.0,1.0,7.0,1598601037
"Siparişte beyti kebap istememe rağmen, adana kebap geldi her hangi bir bilgi verilmeden yani adana yemek istesem adana sipariş vermem daha kolay ve 2 tl de daha ucuz, 2 tl bi para değil tabiki ama o beklenti değil.",7.0,5.0,9.0,1598601037
Harika...,10.0,10.0,10.0,1598601039
Yaw neden ekmek koymamakta direniyonuz anlamıyorum.,10.0,10.0,10.0,1598601039
Güzeldi.,10.0,9.0,9.0,1598601039
Böyle bir lezzete bu şekilde servis yakışmıyor. Paketleme ve taşıma daha özenli olmalı.,8.0,4.0,10.0,1598601039
Kadayıf baya iyiydi.,10.0,9.0,10.0,1598601039
Baklavanın tadı on numara. Diyecek söz yok.,9.0,10.0,10.0,1598601039
Güzel.,10.0,10.0,10.0,1598601039
Böyle bir baklava lezzeti yok yıllardır aynı lezzet ve çıtırlıkta.,5.0,10.0,10.0,1598601039
Teşekkür ederim her zamanki gibi güzeldi.,10.0,10.0,10.0,1598601039
Cocacola şekersiz söylememize rağmen normal cocacola geldi daha önce de böyle olmuştu. Biraz dikkatli olunursa çok daha iyi olur. Lezzet 10/10.,10.0,5.0,10.0,1598601039
"Beklediğim lezzetten daha fazlasını buldum, yemekler harikaydı ve çok güzel paketlenmişti. Teşekkürler.",9.0,10.0,10.0,1598601039
Harikaydı ama ekmek koymayı unutmuşsunuz ama lezzet afetirdi.,10.0,9.0,10.0,1598601039
Lezzet her zaman ki gibi ustanın ellerine sağlık.,10.0,9.0,9.0,1598601039
"Hız servis ve lezzet 10 numaraydı, sadece beytinin yoğurt sosu eksik geldi ama önemli değil.",10.0,10.0,10.0,1595971293
50 dakika da geldi ama normal bir süre sonuçta bir fast food restoranı değil kebapçı:) alinazik sipariş etmiştim lezzeti harika çorba da enfesti sadece gelirken biraz dökülmüştü getirirken biraz daha dikkatli olunursa iyi olur baklava ile pek aram yok ama oda çok güzeldi:).,9.0,9.0,9.0,1595971293
Kadayıf 1 saatte geldi yemek değil ki pişme süresi olsun.,1.0,1.0,10.0,1595971293
"Beğendim, güzeldi.",10.0,10.0,10.0,1595971293
Verdiğim sipariş tam 50 dakikada geldi.,5.0,5.0,9.0,1595971293
Siparis icerigini okumiyorsunuz galiba. Ürün yoksa satışı neden var?,7.0,7.0,8.0,1595971293
Harika ötesi.,10.0,10.0,10.0,1595971293
Begendik.,10.0,9.0,9.0,1595971293
"20 dakikada geldisıcaklık, lezzet, kalite doyuruculuk on numara.",10.0,10.0,10.0,1595971293
