comment_text,comment_speed,comment_service,comment_taste,comment_time
Ekmekler çok kalın.,9.0,9.0,7.0,1606232323
Saat 15. 17 de sipariş verdim 15. 27 de geldi ışık hızıyla mı çalışıyorsunuz helal olsun kazancınız.,10.0,10.0,10.0,1606232323
Mahalle sokak ve numara vermişim aşağıya iniyorum. Haritalara girin zaten çıkıyor. Soğukta 5 dakika boyunca sizi bekledim. Yapmayın ya sene 2021 olacak hala telefonla adres soruyorsunuz...,7.0,8.0,8.0,1606232323
Güzel.,9.0,9.0,9.0,1606145923
Güzel ama biraz tuzu fazlaydı.,7.0,8.0,7.0,1606059523
Güzeldi ama bu fiyat artışı olmadı.,9.0,9.0,9.0,1605973123
Çok güzel di ellerinize sağlık. Almak isteyenlere şiddetle öneririm çok doyurucu ve hafif bir tantuni kuryenizde çok saygılı birisi.,10.0,10.0,10.0,1605886723
"Aşırı lezzetli tantuni, yüksek hız, sıcak yemek.",10.0,10.0,10.0,1605800323
Soğuktu gec geldi.,5.0,5.0,5.0,1605713923
Güzel.,10.0,10.0,10.0,1605627523
Ellerinize sağlık.,10.0,10.0,10.0,1605627523
"Servis çok iyi 15 dakikada geldi, sunum da fena değildi, lezzet olarak mükemmel. Çok beğendim.",10.0,10.0,10.0,1605368323
Güzel ve sıcaktı.,10.0,10.0,10.0,1605281923
Muhteşemin muhteşemiydi harikasınız.,10.0,10.0,10.0,1605281923
Güzeldi.,10.0,10.0,10.0,1605281923
Hiza ve servise 10 puan! Aslında lezzete 8 verecektim tavuklar biraz kuruydu ama her zamanki tadını bildiğim için haksızlık olmaması için 10 verdim. Ellerinize sağlık hayırlı işler.,10.0,10.0,10.0,1605195523
Adamlar hakkını vermiş. Helal olsun.,10.0,10.0,10.0,1605109123
Ellerinize sağlık.,10.0,10.0,10.0,1605109123
"1, 5 porsiyon seçeneği getirseniz keşke.",10.0,10.0,10.0,1605022723
Lezzet ve hız çok iyi dahada hızlı gelirse çok iyi olur.,10.0,10.0,10.0,1604936323
Gayet başarılı.. Amasya halkı biraz tavuk döner yerine tantunide yemeli..,10.0,10.0,10.0,1604936323
Çok soğuk geldi.,5.0,3.0,8.0,1604763523
Domatezsiz diyorum ısrarla sadece domatezli gönderiyorlar.,6.0,1.0,6.0,1604763523
Lezzetliydi teşekkürler.,10.0,10.0,10.0,1604763523
Kötü.,1.0,1.0,1.0,1604590723
Siparişi ilk yanlış getirdiler ama telafi ettiler. Memnun kaldım. Lezzetli.,10.0,10.0,10.0,1604590723
Güzel.,9.0,9.0,9.0,1604504323
İyiydi.,7.0,8.0,9.0,1604504323
Güzel.,7.0,8.0,9.0,1604504323
Kaç kere yazdim 2-3 turşu biberi koyun diye hep aynı şeyi 1 turşu biber gönderiyorsunuz içinde 3 tane biber var düzeltirseniz sevinirim.,10.0,10.0,10.0,1604331523
Normalde tantuni yemem ama bu adamlar güzel yapıyor.,10.0,10.0,10.0,1604331526
Güler yüz ve lezzet tavsiye ederim ellerinize sağlık.,10.0,10.0,10.0,1604245126
Teşekkürler.,10.0,10.0,10.0,1604158726
Kurye çok saygılıydı. Porsiyonlar biraz daha büyük olsa tadından yenmez.,10.0,8.0,9.0,1604158726
Güzel.,9.0,9.0,9.0,1604072326
Yoğurtlu tantuniyi kesinlikle tavsiye ederim.,9.0,10.0,10.0,1604072326
Güzeldi.,10.0,10.0,10.0,1604072326
Tantunilerden bir tanesi verdiğim siparişten farklıydı ve biraz geç geldi ama genel olarak lezzetliydi.,7.0,9.0,8.0,1604072326
Teşekkür.,10.0,10.0,10.0,1603985926
Başarılı.,10.0,10.0,10.0,1603985926
Güzel.,10.0,10.0,8.0,1603985926
Doyurucuydu beğendim.,10.0,10.0,10.0,1603861780
Amasyanın en lezzetli yeri bence ellerinize sağlık :).,10.0,10.0,10.0,1603861780
Lezzetli olarak güzeldi tavsiye edilir.,10.0,10.0,10.0,1603861780
