food_id,food_name,food_price,food_category,food_score
b65fa670-1019-4346-9ee7-07dcd722e21a,Adana Kebap,"20,00 TL",Kebaplar & Izgaralar,14.0
eda9d513-62e8-4dee-bcca-e129c270885c,Urfa Kebap,"20,00 TL",Kebaplar & Izgaralar,5.0
c8e51fc0-8218-4a8f-9c35-55233d05ead8,Dana Ciğer Şiş,"20,00 TL",Kebaplar & Izgaralar,6.0
bfc851ac-0d38-4006-8fc9-90099d3aae57,Dana Et Şiş,"30,00 TL",Kebaplar & Izgaralar,5.0
50950cdf-30ef-4619-b762-57f0009972f2,Tavuk Şiş,"18,00 TL",Kebaplar & Izgaralar,5.0
b890c6cb-d6fe-4345-9ade-c0fd9e246ce3,Tavuk Kanat,"20,00 TL",Kebaplar & Izgaralar,5.0
1528b1ad-921c-4c5f-ae80-b845b4cfa52a,Izgara Köfte,"20,00 TL",Kebaplar & Izgaralar,8.0
bddbdb13-5a92-4b05-be00-3e3c52bc6770,Karışık Izgara (1 Kişilik),"40,00 TL",Kebaplar & Izgaralar,6.0
17ecb1c9-af11-4fa8-a1ce-0af1f100a788,Adana Dürüm,"20,00 TL",Dürümler,13.0
19f8e2f3-0b03-43df-b913-f8e72f0f00c0,Urfa Dürüm,"20,00 TL",Dürümler,4.0
292d50fe-fb82-40ec-8578-745353d52def,Köfte Dürüm,"20,00 TL",Dürümler,7.0
2b3c80db-5506-412f-b6a1-ee16a322c40c,Dana Ciğer Şiş Dürüm,"20,00 TL",Dürümler,5.0
4ac7f808-2989-41b8-b617-9502210e37cd,Tavuk Şiş Dürüm,"18,00 TL",Dürümler,4.0
61850285-8cc9-4e06-9a7b-01cee0dae975,Dana Et Şiş Dürüm,"25,00 TL",Dürümler,4.0
18e2c585-2906-4cbc-b017-2f1c08b6bf5b,Yarım Ekmek Arası Köfte,"10,00 TL",Ekmek Arası Ürünler,13.0
04a65a7a-d510-4d49-bdf0-810a39ce5601,Poşet,"0,25 TL",Poşet,5.0
