comment_text,comment_speed,comment_service,comment_taste,comment_time
Hamburgerin yanında patates olmayacak mıydı?,9.0,3.0,6.0,1606321077
Daha iyi yerlere gelmeniz dileğiyle teşekkürler.,10.0,10.0,10.0,1606148277
Hızlı ve güzel bir hizmet.,10.0,10.0,10.0,1605284277
1 saatte geldi bende başka yerden yemek söyledim geç geldi.,1.0,1.0,1.0,1604938677
Önceki siparişlerime göre daha iyiydi ve restoranın kapanmasına az bir zaman kalmasına rağmen siparişi iptal etmediler helal.,8.0,8.0,8.0,1603864131
Mükemmel.,9.0,9.0,9.0,1603864131
Çok yavaş geldi...,1.0,7.0,8.0,1601234385
Çok hızlı geldi servis iyiydi lezzet biraz daha iyi olabilirdi ama tavsiye ederim güzeldi.,10.0,8.0,7.0,1601234385
Şikayet çok küçük hamburger.,9.0,8.0,8.0,1601234385
Hamburgerin yanına parantez açıp büyük yazmışsınız ama gelen boy burger kingin çocuk menüsüyle aynı boyda lezzet zaten yok berbattı.,1.0,1.0,1.0,1601234385
"Peçete, ıslak mendil vb. Gelmedi. Şehir merkezine uzakta olmama rağmen beklediğimden çok hızlı geldi. Burger lezzetliydi.",10.0,5.0,9.0,1601234385
Köfteler pişmemişti ve kokuyordu.,10.0,1.0,1.0,1598604639
Hamburgeri gayet lezzetli fakat ben menü isterdim yani yanında patates kızartması felan ama lezzeti güzel.,7.0,6.0,7.0,1598604639
Gayet güzeldi.,9.0,8.0,7.0,1598604639
Menüde gösterilen yemeğin resmi ile gelen yemen arasında hiçbir benzerlik yoktu. Gelen yemeğin içerisinde belirtilen malzemelerin bir kısmı eksikti.,8.0,1.0,1.0,1598604639
25 dakika da evime ulaştı sıcaktı lezzetliydi teşekkür ediyorum.,10.0,10.0,10.0,1595974893
Maalesef ki hem köfte azdı hemde hamburger porsumuştu.,1.0,1.0,1.0,1595974893
Hamburger güzeldi yanlız içindeki marul çok beklediği için kötü bir tat veriyor hiç koymasaydınız daha iyi olabilirdi bence.,9.0,8.0,6.0,1595974893
Gayet iyi bir hamburgerdi doyurucuydu ben çok memnun kaldım teşekkür ederim bu iyi hizmet için.,9.0,10.0,10.0,1595974893
Ürün kalitesi çok düşük çorba su idi bildiğiniz mercimek sadece görüntü hiçbir kıvam bulunmamakta köfte ise porsiyon demeye 1000 şahit gerekir 5 tane küçücük köfte.,8.0,1.0,1.0,1593345147
Patatesler çok güzeldi hamburger iri ve doyurucuydu hızlı geldi bir daha alsam tereddudsuz alırım.,10.0,10.0,10.0,1593345147
Mantısını sevmedik fazla suluydu köftesi lezzetliydi yine ama köftenin yanında gelen patateslerde lezzetsizdi ve diri kalmışlardı.,7.0,5.0,3.0,1593345147
Verilen tarihte geldi 1-2 dk geç geldi patetes kızartması az olmuş ama elinize sağlık.,8.0,7.0,6.0,1593345147
Patatesleri pek beğenmedim fakat geri kalan herşey güzeldi.,10.0,8.0,7.0,1593345147
Her şey mükemmeldi. Çeşitlerin artması gerekli.,10.0,10.0,10.0,1590715401
