comment_text,comment_speed,comment_service,comment_taste,comment_time
Elinize sağlık.,10.0,10.0,10.0,1606497399
"Ortalama bir sürede geldi ancak buz gibiydi, çok beklemiş haliyle ekmek aşırı ıslanmış soğuk kavurma yer gibi bir durum oldu, 3 kişilik siparişe 3-4 tane biber 1 dilim limon koyulması biraz saçma oldu ama sıcak gelse lezzeti efsane olabilecek güzellikteydi.",7.0,1.0,8.0,1606410999
10 dk içinde geldi et ekmekdi lezzet güzeldi düşünmeden alabilirsiniz. Sadece ekmek çok çok yağa batırılmıştı biz yemeden dondu ve yerken elimiz kolumuz yağ oldu tantuni ekmeği suyuna bandırıp yenir fakat bu aşırı olmuştu firma yetkilileri değerlendirirseniz diye yazıyorum.,10.0,10.0,10.0,1606410999
Tatunilerin etleri biraz büyük ve tadı garip düzeltilmesi gerek çorba süper.,10.0,10.0,10.0,1606410999
Çok güzeldi :).,10.0,10.0,10.0,1606410999
Biraz soğuktu onun dışında iyi.,8.0,10.0,7.0,1606410999
Gayet güzel ve hızlı bir şekilde verilen siparişi yerine getirdiği ayrıca da oldukça güzel tantunisi olduğu için çok memnun kaldım. Herkesin eline ve emeğine sağlık olsun. Kesinlikle herkese tavsiye ederim. Başarılarınızın devamını dilerim. Allah sağlık ve afiyet versin. Hayırlı işleriniz olsun...,7.0,7.0,7.0,1606410999
Ekmek arası tavuk tantuni söyledim yarısını aç olduğum için zorla yedim soğukdu ve beni rahatsız etti bir daha tövbe sipariş vermem.,1.0,1.0,1.0,1606324599
Tantuni güzel.,10.0,9.0,9.0,1606324599
Hayatımda ilk defa tantuni siparişi verdim çok memnun kaldım çok lezzetliydi.,10.0,10.0,10.0,1606324599
Ellerinize sağlık muazzam bir lezzet teşekkürler erdemli tantuni.,10.0,10.0,10.0,1606324599
"Akşam zil calmayın dedim rica etttim kapıdan aradılar telefonla, hızlı geldi gecenin bir yarısı.",10.0,10.0,10.0,1606324599
Beğenerek yedik doyduk da ustanın ellerine sağlık.,10.0,10.0,10.0,1606324599
Sogansiz istedim soganli geldi sevmeyerek yedim.,10.0,9.0,6.0,1606324599
Servis çok hızlı. Tantuniniz efsane güzel. Çok teşekkür ederim.,10.0,10.0,10.0,1606324599
Kötü.,10.0,10.0,1.0,1606324599
Berbatti.,1.0,1.0,1.0,1606238199
Yemekler güzel ama geç geliyor.,10.0,10.0,10.0,1606238199
Tavuk yok denecek kadar azdı yerinizde olsam ücreti 20 tl yaparım bol malzemeli yaparım insanlari üzmemiş olurdunuz tavuk etinin kaci kac kuruş bi kasik koydunuz sanirim ilk ve sondu sizden siparis yemek sepetine duyurulur boş lavaş yaninda domates 9. 75 sakin kaçırmayın.,1.0,1.0,1.0,1606238199
Çok hızlı geldi. Tavuk tantuni söylemiştim gayet başarılı.,10.0,8.0,9.0,1606238199
Hız yavaştı fakat yerim uzaktı sanırım o yüzden lezzet çok güzel paketleme güzel elinize sağlık.,10.0,10.0,10.0,1606238199
Hız ve lezzet cok iiydi elinize sağlık.,10.0,10.0,10.0,1606238199
Elinize sağlik cok guzel yapmissiniz ama xl somun ekmeğin içi malesef dolu değildi.,10.0,7.0,10.0,1606238199
"Lezzeti güzel herkese tavsiye ederim, paket gönderimi hızlı, getirenler ilgili çok memnun kaldım bir daha sipariş veririm kesinlikle.",10.0,10.0,10.0,1606151799
Çok geç geldi.,1.0,8.0,8.0,1606151799
Güzel fiyat performans olarak beğendim.,10.0,10.0,10.0,1606151799
"Merhabalar, yemekleriniz ve servisleriniz çok güzel dolu dolu göndermişsiniz fakat lezzete 8 vermemin nedeni yemeklerin tuzsuz olması.",10.0,10.0,8.0,1606151799
Hayatımda yediğim en kötü tantuniydi.,10.0,1.0,1.0,1606151799
Ayran siparis edilenden daha kucuk geldi.,8.0,7.0,10.0,1606151799
40 dakikada geldi. Et tantuni dürüm istedim. Paketleme güzel. Malzeme bol ve lezzetliydi. Sıcak olarak geldi. Doyurucu. Servis istemiyorum demiştim ama koymuştunuz.,10.0,8.0,8.0,1606065399
40 dakikada geldi. Et tantuni dürüm istedim. Paketleme güzel. Malzeme bol ve lezzetliydi. Sıcak olarak geldi. Doyurucu. Servis istemiyorum demiştim ama koymuştunuz.,10.0,8.0,8.0,1606065400
Bi yerinde bi sıkıntı var ama çözemedim.,7.0,8.0,6.0,1606065400
Biraz sıcak olsaydı çok daha güzel olurdu ama olsun belki mesafedendir soğuması ellerinize sağlık:).,10.0,10.0,10.0,1606065400
Geç geldi ama özür sundular açıklama yaptılar ürünler sıcaktı porsiyonlar ve lezzet de iyiydi o yüzden puan kırmıyorum. Elinize sağlık.,7.0,10.0,9.0,1606065400
İdare ederdi.,8.0,8.0,8.0,1606065400
Çok beğendim.,10.0,10.0,10.0,1606065400
Tat hizmet hız süper.. Tavsiye ederim. Özellikle. Yoğurtlu tavuk ve yoğurtlu et tantuni çok güzel.. Lezzet mükemmel..,10.0,10.0,10.0,1606065400
"Çok lezzetli, paketleme iyi, getiren arkadaşlar çok hızlı ve ilgili teşekkür ediyoruz. Artık hep burdan sipariş veririz.",10.0,10.0,10.0,1605979000
Gayet güzeldi fakat 2 tantuninin yanına neden 1 tane limon biber gönderdiniz acaba.,9.0,7.0,9.0,1605979000
Güzeldi.,8.0,8.0,8.0,1605979000
Şiparişim 70 dk civarinda geldi ve soğuktu paketlenmesi kötüydü zaten buz gibi olduğu için bişey anlayamadım.,1.0,1.0,3.0,1605979000
Efsane.,10.0,10.0,10.0,1605979000
"Hız biraz geçti ama hem tavuk tantuni hem et tantuni güzeldi sevdik. Başka bir yerden xl somun yediğimizde(incirli mahallesinde isim yazmayayım siz bulabilirsiniz incirli mh dedim) küçücük göndermişlerdi kavga etmiştim orayla, burada gerçekten tam ekmek gönderdiler xl somun ekmeğini. Teşekkür ederiz.",9.0,10.0,10.0,1605979000
Çok çabuk geldi muthis.,10.0,10.0,10.0,1605892600
1 saatte geldi buz gibiydi haliyle.,1.0,8.0,7.0,1605892600
Güzel ve lezzetli tavsiye ederim.,10.0,10.0,9.0,1605892600
Güzeldi.,8.0,8.0,8.0,1605892600
Çok iyi.,10.0,10.0,10.0,1605892600
Daha kötü yogurtlu tantuni olamazdı buz gibi tatsız ve içinde et yoktu nerdeyse bir tarla domates koymussunuz içine.,1.0,1.0,1.0,1605892600
Hız baya iyiydi servis olarak ekmek yavandı biraz ama lezzet olar güzeldi elinize sağlık.,10.0,7.0,10.0,1605892600
"Hız normaldi, lakin çok tuzsuz ve aşırı yağlıydı yine de özenerek birden fazla kağıda sarmışlar. Teşekkürler.",8.0,8.0,8.0,1605806200
Lezzetinizi begendım gerısı de ıdare edılecek kadar.,9.0,7.0,10.0,1605806200
Ürün 1 saat 5 dk sonra ulaştı.. 20/30 dk içinde teslim yazılmasına aldanmayımız. Yoğurtlu tantuni karmakarışık olmuş..,1.0,1.0,4.0,1605806200
Ayranımı unutmuşsunuz. Bunlara dikkat edilmesi gerek.,9.0,9.0,9.0,1605806200
"Herşey çok güzeldi, ilk siparişimdi fakat asla son olmayacak ellerinize sağlık.",10.0,10.0,10.0,1605806200
Gelen tavuk tantunı guzeldı ama et tantuni etin tadj yokdu bırdaha et tantunı yemem.,10.0,8.0,4.0,1605806200
İkram olarak dürüm tantuni gönderdiler. Hızlı servis. Somun ekmek gerçekten somun ekmek küçük değil.,10.0,10.0,10.0,1605806200
Notu dikkate almışlar somun ekmek çok doyurucuydu geç geldi ama notu okumaları ve doyurucu olması daha önemli.,10.0,10.0,10.0,1605806202
Porsiyonları çok doyurucu.,10.0,10.0,10.0,1605806202
Herşey çok güzel sanki dükkanda yemişim gibi sıcacık notları dikkate alarak paketleyip gönderiyorlar teşekkür ediyorum ilgilerinden dolayı siparişi getirerenkuriye ersin beye de ayrıca teşekkür ederim bu ne hız hocam senden hızlısı mezarda :) dikkat et.,10.0,10.0,10.0,1605806202
Marifet getiren de gulen yüzü samimi yaklaşımı 10 numara kardeşim teşekkürler.,10.0,8.0,9.0,1605806202
Çok hızlıydı ve geldiğinde hala sıcaktı lezzeti zaten mükemmel.,10.0,10.0,10.0,1605719802
Güzeldi.,9.0,8.0,9.0,1605719802
Gayet uygun doyurucu.,10.0,10.0,8.0,1605719802
Son siparişimdi çorba buz gibi etlerde kıkırdak olcak şey değil.,10.0,5.0,2.0,1605719802
Elinize sağlık.,10.0,10.0,10.0,1605719802
Anlayisiniz icin tsekkurler.,10.0,10.0,10.0,1605719802
Sıcaktı ve tadı güzeldi fakat paketlemenin biraz daha iyileştirilmesini isterim çünkü yoğurt poşete akmıştı.,8.0,8.0,9.0,1605719802
Et falan değil bu tantuni berbat.,1.0,1.0,1.0,1605633402
Yakin. Mesafeydi. Ancak 45 dk da geldi tad olarak. İyi ancak asiri yag birakilmisti servis posetine kadar akmisti.,5.0,8.0,9.0,1605633402
Cok hizliydi.,10.0,10.0,10.0,1605633402
Öncelikle ellerinize sağlık çok güzel olmuş. Mersini ankara da yaşattınız bana. Ayrıca yakışıklı kuryeniz ersin beye çok teşekkür ediyorum:).,10.0,10.0,10.0,1605633402
Hız servis mükemmel fakat tantuni deki tavuk çok sertti umarım tekrarlanmaz.,10.0,10.0,6.0,1605633402
Kaliteli hizli tesekkurler.,10.0,10.0,10.0,1605633402
"Gayet hızlı ve güzel tantuni, ersin abi ye teşekkür ederim :)).",10.0,10.0,10.0,1605633402
"Lezzet orta karar, teslimat hızlı.",8.0,8.0,8.0,1605547002
Yemek 50 dkda gelmedi iptal ettim o yüzden değerlendirmeyi sadece hız üzerinden yapıyorum.,1.0,10.0,10.0,1605547002
Cok begendik ellerinize saglık hem sıcak geldi hemde hızlı.,10.0,10.0,10.0,1605547002
Dürümleri çok küçük.,5.0,10.0,1.0,1605547002
Güzel.,10.0,10.0,10.0,1605460602
Lezzetli ürünler tavsiye edilir.,10.0,10.0,10.0,1605460602
Hocam naptınız çok beğendik. Ellerineze sağlık. Yoğurtlu olan süper olmuş mutlaka denenmeli.,10.0,10.0,10.0,1605460602
İnanılmaz hızlı geldi fakat servis üzücüydü. Lezzet ise... D-dostum kesinlikle kötü bir tavuk değildi fakat bir tantuni aşığı olarak şunu söyleyebilirim bu kesinlikle tantuni değildi. Tavuk dürüm sevenlere gider lakin kesinlikle tantuniyle alakası yoktu...,10.0,6.0,5.0,1605374202
Lezzet geliştirilebilir kötü değil.,10.0,10.0,8.0,1605287802
Elinize sağlık.,10.0,10.0,10.0,1605287802
Çok kötü.,1.0,1.0,1.0,1605287802
Gecenin 3ünde sipariş verdim hızlı sıcak geldi notumu dikkate aldığınız için de ayrıca teşekkür ederim.,10.0,10.0,10.0,1605287802
Gecenin 3ünde sipariş verdim hızlı sıcak geldi notumu dikkate aldığınız için de ayrıca teşekkür ederim.,10.0,10.0,10.0,1605287803
Gayet lezzetli ve çok anlayışlı insanlar.,10.0,10.0,10.0,1605201403
Lezzetli bir yemekti. Teşekkür ederim.,8.0,8.0,8.0,1605115003
İlk defa bu restorandan sipariş verdim ve son defa verisim olacak. Ekmek arası tantuni istedim çok sert kurumus bir et vardı ayrıca buz gibi geldi. Tavsiye etmiyorum.,5.0,1.0,1.0,1605115003
Lezzet hız herşey mükemmeldi tereddüt etmeyin sipariş vermede. Teşekkürler.,10.0,10.0,10.0,1605028603
Güzeldi.,10.0,10.0,10.0,1605028603
Limon eksikti.,9.0,5.0,7.0,1604942203
Adamlar hep aynı hiç bozmadılar helal.,10.0,10.0,10.0,1604855803
İlginiz için teşekkür ederim daimi müşterinizim.,10.0,10.0,10.0,1604855803
Soğuk icecekle ayrı poşette taşınıp bırakılabilir. Tesekkurler.,10.0,8.0,7.0,1604855803
Saygısız bir mekan.,1.0,1.0,1.0,1604855803
Motorcu arkadaşa teşekkür ederim çok hızlı bir şekilde ulastırdı ayrıca lezzetli idi aynen böyle devam.,10.0,10.0,10.0,1604769403
Güzel.,10.0,8.0,8.0,1604769403
Bu ne hız ya...,10.0,10.0,10.0,1604769403
Gerçekten mithiş tek sıkıntı lavaşınızdı onuda düzeltmişsiniz ellerinize saglık.,10.0,10.0,10.0,1604683003
Harika.,10.0,10.0,10.0,1604683003
Mükemmel tereddüt etmeden sipariş verebilirsiniz ayrıca kurye eray beye çok teşekkür ederim çok kibar ellerinize sağlık.,10.0,10.0,10.0,1604683003
Hız mükemmel yoğurtlu et tantuni mükemmeldi tavsiye ederim.,10.0,10.0,10.0,1604683003
Ayran eksik biber koymamışlar sadece ekmeği koyup göndermişler.,1.0,1.0,1.0,1604596603
İdare eder.,8.0,8.0,8.0,1604596603
Yemek soğuk geldi. Sizi esefle kınıyorum.,1.0,1.0,1.0,1604510203
Efsane kesinlikle tavsiye ederim keçiörende tek geçerim burdan yemeden yemek yedim demeyin harika tarif edilmez yasanir.,10.0,10.0,10.0,1604510203
