comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzetli hızlı mezeler bol. Temiz ve düzenli olarak hepsi streçe sarılmış.,10.0,10.0,10.0,1606411275
Sporcu olduğumu ve antrenmandan yeni çıkıp fazlasıyla aç olduğumu belirtmiştim. Tavuk şiş söylemiştim joker olmasına rağmen çok başarılıydı lezzeti çok iyi. Ezmeler baya bol gelmişti. Kesinlikle tekrar söylerim.,9.0,10.0,10.0,1606324875
İlk defa söyledik biraz çekinerek söylemiştik ancak yemek geldikten sonra bir daha başka yerden yemek söyleyemeceğimizi fark ettik çok lezzetliydi ve mezeleri de çok boldu aldığı parayı sonuna kadar hak eden bir lokanta.,10.0,10.0,10.0,1606152075
Ellerinize sağlık bol kazançlar.,10.0,10.0,10.0,1606065675
İlk defa sipariş verdim ve 18nci dakikada geldi çok hızlı bir şekilde köfte çok güzel ve sıcaktı ikramlarda cabasi ilk tercih edeceğim yer sizsiniz teşekkür ederim emeğinize elinize sağlık.,10.0,10.0,10.0,1606065675
Tavuk şiş baya iyi. Mezelerde çok. Mükemmel.,10.0,10.0,10.0,1605892875
Her şeyiyle mükemmel.,10.0,10.0,10.0,1605892875
10 numara 5 yıldız. İkramlar güzel.,10.0,10.0,10.0,1605892875
Harika teşekkürler.,10.0,10.0,10.0,1605720075
Herşey çok güzel.,10.0,10.0,10.0,1605720075
İkramlar çok bol ve doyurucu bir porsiyonunuz var. Ellerinize sağlık.,10.0,10.0,9.0,1605547275
Beğendim 2 kişilik karışık ve mezeler oldukça güzeldi tavsiye ederim.,9.0,9.0,9.0,1605460875
Yaşşa.,10.0,10.0,10.0,1605288075
Uzak mesafe olmasına rağmen sıcakti yemekler. Mezeler harika çeşit bol güzeldi ellerinize sağlık teşekkür ederim.,9.0,10.0,8.0,1605201675
Kuzu şiş ve tavuk şiş sipariş vermiştim ama kuzu şiş yerine çöp şiş geldi. Restaurantta yerken kaç şiş veriliyor bilmiyorum ama bana gelende 4 şiş vardı ve bence çok azdı. Belki restaurantta kuzu şiş kalmamıştır ama haber verilebilirdi. İkramlardan ezme salatası da yoktu. Tavuk şiş güzeldi.,7.0,5.0,8.0,1605201675
