food_id,food_name,food_price,food_category,food_score
ea3c713e-6624-4f6f-9d1b-b671947c6c40,Et Menü,"29,63 TL",Menüler,2.0
476c29a5-6a86-458b-913d-60f9f0ad703f,Tavuk Menü,"24,75 TL",Menüler,11.0
51C7A443-9642-4DBC-865A-DFADF4C83C7A,Kuru Fasulye Menü,"19,13 TL",Menüler,4.0
007cb3ec-9d71-404a-bfe5-0e34eab0b687,Orta Boy Karışık Pizza Menü,"24,68 TL",Menüler,2.0
871ada7b-3793-4027-afef-6f861896be49,Büyük Boy Karışık Pizza Menü,"26,18 TL",Menüler,5.0
E0E8C563-031D-4B59-9612-34E142EFE238,2'li Büyük Boy Pizza Menü,"54,68 TL",Menüler,5.0
143F0EA3-F167-4235-9EED-515F2596482E,2'li Rezzan Burger Menü,"38,18 TL",Menüler,4.0
2B3D0C26-C87B-478E-9CC0-4B9603755564,Su Böreği (2 kg.) Menü,"56,25 TL",Menüler,3.0
320A4805-7300-4EB8-8AA9-6406F81571B5,İzmir Köfte Menü,"26,25 TL",Menüler,5.0
4D02930E-CDD1-4EF5-968F-9FC6451FDD86,Tavuk Haşlama Menü,"24,75 TL",Menüler,11.0
2AEEA20F-1EB8-46D5-A9DA-1A3C1D84BFE1,Patlıcan Musakka Menü,"24,75 TL",Menüler,7.0
05affadb-8755-444b-89b9-055f129e3d13,Pratik Kahvaltı Tabağı,"21,38 TL",Kahvaltılıklar,13.0
ebf2b6f8-df66-4424-b8d2-2748936bd04d,Tereyağlı Sahanda Yumurta,"13,88 TL",Kahvaltılıklar,4.0
fbe08a33-9142-4cb4-bf82-4fa793e768c5,Tereyağlı Sucuklu Yumurta,"16,88 TL",Kahvaltılıklar,4.0
0811ad07-652e-483f-b398-26bcdafdcc7d,Menemen,"15,75 TL",Kahvaltılıklar,4.0
23cfe6cd-e6a1-4538-8a90-4ebc2408c27a,Omlet,"14,63 TL",Kahvaltılıklar,5.0
025e34a1-12c7-4df3-85cb-a4861f7a7ae2,Tereyağlı Kuymak,"19,13 TL",Kahvaltılıklar,6.0
2a72d627-7dcd-4139-b986-02a1f80fe000,Çıtır Simit Açma,"2,06 TL",Kahvaltılıklar,5.0
78E4DA63-6147-41FC-8DBC-9D829EF9016E,Beyaz Peynirli Omlet,"16,88 TL",Kahvaltılıklar,5.0
b9353f0a-adbd-4d57-8960-2bf821852d36,Soğuk Aşı Çorbası,"9,00 TL",Çorbalar,6.0
04be220b-ae2e-4bed-b02b-68759c67f633,Ev Usulü Kelle Paça Çorbası,"17,25 TL",Çorbalar,4.0
90621090-EA31-461F-A9CE-FFD5AD93F151,Ev Usulü İşkembe Çorbası,"14,25 TL",Çorbalar,4.0
ba761620-43fb-431d-a63d-83014527ea92,Kaşarlı Tost,"13,88 TL",Tostlar,8.0
46a1d36c-226f-44b8-bd88-9ca870f235bb,Karışık Tost,"15,75 TL",Tostlar,6.0
8fc45d8f-5cfb-4a13-8774-8060211efa2d,Kaşarlı Bazlama Tost,"16,88 TL",Tostlar,8.0
b50e1976-c57c-4a77-8209-4c853eae4cf2,Karışık Bazlama Tost,"18,75 TL",Tostlar,6.0
8e497306-4ade-4123-a69e-3d59613ff146,Ayvalık Tost,"18,75 TL",Tostlar,4.0
3802c720-3feb-46d7-bd40-c7c1b03aa859,Beyaz Peynirli Domatesli Tost,"15,75 TL",Tostlar,6.0
acd219da-dcf8-47bb-b93c-f815024acdcb,Bazlama Ekmeğine Beyaz Peynirli Domatesli Tost,"18,38 TL",Tostlar,6.0
350f5ef2-1b85-4f6a-9c98-6afd3b5470b4,Çİft Kaşarlı Tost,"16,13 TL",Tostlar,8.0
19d3038a-4802-4824-a968-cb97871d3405,Köylüm Bazlama Tost,"18,75 TL",Tostlar,6.0
fad116b2-cfe6-48d7-afd8-70efbf0694ab,Dereotlu Peynirli Poğaça,"2,06 TL",Poğaça & Açma & Simit,6.0
b651f01e-95e6-4b8c-9540-f50eea64af2f,Ankara Simidi,"1,69 TL",Poğaça & Açma & Simit,12.0
06c207d8-dff3-4e0c-be16-6f92084ec958,Sade Poğaça,"1,50 TL",Poğaça & Açma & Simit,6.0
