food_id,food_name,food_price,food_category,food_score
bc2f264a-09fc-4be3-bcfe-7cef9b10a4e1,Çiğ Köfte (300 gr.) Menü,"16,50 TL",Menüler,21.0
ce04df6a-36a2-48c2-afec-d6f313c5fc10,Çiğ Köfte (400 gr.) Menü,"24,00 TL",Menüler,21.0
14d7f413-6665-4d41-a9e7-cce90bd65c82,Çiğ Köfte (400 gr.) & Cola Menü,"27,50 TL",Menüler,21.0
61a3f43c-f704-4d0c-951c-9d837bf93eb8,Çiğ Köfte (600 gr.) Menü,"33,00 TL",Menüler,21.0
7ec64879-1dfa-4d2d-9e19-64ac2beb36db,Mega Çiğ Köfte Dürüm Menü,"10,50 TL",Menüler,20.0
f5c4137b-82f7-4e27-87ed-eec3d01f211d,İkili Mega Dürüm Menü,"20,50 TL",Menüler,2.0
2b24d6e5-e78b-4138-b0db-b4d3e88412ec,3'lü Dürüm Menü,"21,50 TL",Menüler,3.0
7eb6dfd2-433d-4442-a941-2f1e97261536,Mega Dürüm Cola Menü,"12,50 TL",Menüler,2.0
4048e82f-6f70-4fb7-9cb2-15db28aee7dd,Dürüm Menü,"8,25 TL",Menüler,3.0
428679ed-3941-4ca2-ac1c-896a8169bf34,Çiğ Köfte (800 gr.) Menü,"41,00 TL",Menüler,21.0
622290e9-df83-4492-9efa-cf9b8e01183a,Çiğ Köfte (1 kg.) Menü,"51,00 TL",Menüler,21.0
5e2df78f-29d8-463f-b151-1e64229d0d40,İçli Menü 1,"21,00 TL",Menüler,23.0
db667db4-ad97-4016-bcd0-37a2bad48fdd,İçli Menü 2,"34,00 TL",Menüler,12.0
38118407-99d5-4ef7-8f5a-9aa2fa618da2,İçli Menü 3,"48,00 TL",Menüler,7.0
3912c591-9a74-41cb-a58a-b8a5e50377b6,İçli Menü 4,"61,00 TL",Menüler,4.0
640147f7-cb9e-4820-b32f-d22a1aa52029,İçli Menü 5,"24,00 TL",Menüler,6.0
e8766e2e-2204-488f-8de2-1f531f5e8fe3,Çiğ Köfte Dürüm,"5,50 TL",Çiğ Köfteler,28.0
041bb43b-75ff-4954-bd8b-f408d582d568,Mega Çiğ Köfte Dürüm,"8,00 TL",Çiğ Köfteler,27.0
7338b63a-0de4-42d8-9cb9-07ad54094eca,Midyeli Çiğ Köfte Dürüm,"13,00 TL",Çiğ Köfteler,23.0
304f764f-aa50-4b07-b43e-573cc3b37ec3,Çiğ Köfte (300 gr.),"14,00 TL",Çiğ Köfteler,23.0
370b3b74-730b-47ba-b405-ea9a68bdf948,Çiğ Köfte (400 gr.),"19,00 TL",Çiğ Köfteler,23.0
9e1b686b-1a1c-44d8-9ae6-2b260464535b,Çiğ Köfte (600 gr.),"27,00 TL",Çiğ Köfteler,23.0
958c3210-5b38-465e-8a5e-ca94afa1096e,Çiğ Köfte (800 gr.),"36,00 TL",Çiğ Köfteler,23.0
3ce35649-81f3-42b4-9af8-8a7a16218329,Çiğ Köfte (1 kg.),"45,00 TL",Çiğ Köfteler,23.0
88f9ebee-27b0-4024-93fc-bbeedba3a376,Midye Dolma (5 Adet),"7,50 TL",Yan Ürünler,26.0
