comment_text,comment_speed,comment_service,comment_taste,comment_time
Hız harika servis harika soğuk baklava fıstık sarma harika misafirlerime mahçup etmediginiz için teşekkür ederim.,10.0,10.0,10.0,1605980550
Tatlilara diyecek hiç birşey yok gayet lezzetli.. Kurye kardeşim de çok efendi.. Böyle firmalar semtimize kalite katar..,10.0,10.0,10.0,1605807750
"Beklediğimden çok daha hızlı geldi. Servis için diyebileceğim bir şey yok olması gerektiği gibi. Kaymaklı baklava söylemiştik, taze bir şekilde geldi. Lezzeti ise fena değil.",9.0,8.0,7.0,1605807750
Hızlı geldi biraz geç saatte sipariş verdik ondan belki ama tatlı çok çok ağır geldi.,10.0,9.0,7.0,1605721350
Gerçekten harika kuryenizde süper :).,10.0,10.0,10.0,1605634950
Sarı burma sipariş etmiştim gayet lezzetli tercih edilebilir.,9.0,9.0,9.0,1605375750
Uzun zamandır bu kadar lezzetli bir tatlı yediğimi hatırlamıyorum soğuk baklavanız efsane güzeldi ustanızın ellerine sağlık ayrıca kurye beyefendi de çok nazikti teşekkürler.,10.0,10.0,10.0,1605375750
Cevizli baklavası çok taze ve güzeldi teşekkürler.,10.0,10.0,10.0,1605289350
Sogul baklavasi gerçekten müthiş hızlı ve güleryüzlü teslimat on numara.,10.0,10.0,10.0,1604511750
Mahallemize geldiginize çok sevindim ve artık glikoz kullanılan tatlılardan nefret ettim harbi tatlı yedigime hala seviniyorum teşekkürler.,10.0,10.0,10.0,1604511750
Uzun zaman sonra yediğim en iyi baklavaydi. Tadi servis hizi hepsi kusursuz.,10.0,10.0,10.0,1604511750
Lezzetliydi teşekkür ederiz.,10.0,10.0,10.0,1604425350
Gayet iyi soğuk baklava...,10.0,10.0,10.0,1604338950
"Gayet hızlı servis. Beklediğimden daha kısa sürede geldi. Ama gel gör ki tatlılar iki gün öncesinden kalma. Yumuşamış, içi hamur gibi bir tuhaf. Gevrek asla değil, taze değil. Tatlı fazla gelir dolaba atarsın da iki gün sonra dolaptan çıkartıp yersin ya işte aynı öyle. Yakıştıramadım şahsen.",10.0,10.0,3.0,1604252550
Notu dikkate aldığınız için teşekkür ederim :) kurye arkadaşa ayrıca teşekkür ediyorum.,10.0,10.0,10.0,1603869204
Çok hızlı geldi teşekkürler.,10.0,10.0,10.0,1603869204
Tatlılar taze ve lezzetli tşk.,10.0,10.0,10.0,1603869204
İlk siparişim di cok teşekkür ederim midye baklava çok güzel kurye arkadaş ali ye de teşekkür ederim gönül rahatlığıyla alın tavsiye ederim iyi çalışmalar kolay gelsin (tatlı evi :) ).,10.0,10.0,10.0,1603869204
Efsane lezzetler.,10.0,10.0,10.0,1603869204
Yenilikleri her zaman sevmişimdir ve tatliniza bayıldım ins hep bu şekilde devam eder hayırlı işler.,10.0,10.0,10.0,1603869204
