comment_text,comment_speed,comment_service,comment_taste,comment_time
Siparişim verdikden 1. 5 saat sonra geldi geldiğinde tüm sosları herşeyi akmış dağılmıştı ayrı ayrı 2 dürüm söylemiştik ayırmak için bile uğraşmamışlar.,1.0,1.0,2.0,1606326544
Hız harici 10 numara 5 yıldız.,8.0,10.0,10.0,1606326544
"Belirtilen zaman aralığında geldi (50 dk). Ancak çift lavaş parası ödedim tek lavaş geldi, ruffels istedim lays geldi..",5.0,1.0,5.0,1606240144
1 saat 10 dakika da gelmesi dışında bir problem yoktu...,1.0,1.0,9.0,1606240144
Yazan teslimat süresine inanmamak lazım saat 20:47 de sipariş verdim siparişim 22:25 oldu daha gelecek.,2.0,2.0,3.0,1606067344
Hızı yavaştı 1 saate 6 tane taco geldi yani lezzetide fazla yoktu boyutlari küçüktü.,1.0,1.0,3.0,1606067344
Biraz yavaş gelmesi sorunundan başka hiç bir sıkıntı yok. Çok lezzetli.,9.0,10.0,10.0,1605980944
"Galiba dükkan sahibinin babası getirdi siparişi, bilseydim paketci sıkıntısı olduğunu ben gelir alırdım amcayi yorduk mahcup oldum kusura bakmasın. Gelir alırım bundan sonra sipariş vermem.",10.0,10.0,9.0,1605980944
600gr içinde 3 yarım yeşillik yaziyo 1 tane geldi yannda ne aci sos ne nar ekşisi dgru düzgün gondermemisler siparişi 10 da verdim saat 11 buçukta geldi hic begenmedim.,1.0,1.0,4.0,1605635344
Doritoslu dürüm de büyüteçle doritos aradım.,8.0,6.0,5.0,1605635344
Çig köfte cok kmtüydü ve içi az kanmuştu.,1.0,1.0,1.0,1605635344
14. 50 de siparis verdik 16. 25 de geldi siparis. Limiti tamamlamak icin 1 tl ye biskolata aldik 2 tane ama getirdikleri 50 kurusluk cokomel 2 tane. Cok para alip eksik malzeme getirmisler. Siparis geldiginde ne bir özür ne bir mahçubiyet...,1.0,1.0,1.0,1605548944
Kola yine şekerli geldi.,7.0,6.0,10.0,1605376144
Parasını ödememe rağmen içecek gelmedi bazı ürünler boyutu küçük geldi.,1.0,1.0,1.0,1605289744
Çok yavaştı ama lezetti güzeldi.,7.0,8.0,9.0,1605289744
Yavaş geldi ama lezzetliydi keşke biraz daha hızlı olsun.,4.0,5.0,6.0,1605203344
Gayet güzeldi sadece çok acılı istediğim için gerçekten çok acılıydı bir dahasına orta acılı alacağım.,7.0,10.0,10.0,1605203344
2 saat de gelmiş rezalet hiç begenmedim siz bu işi bırakın.,1.0,1.0,1.0,1604857744
İcine istedigimiz hic bir sey konmamistii acili dedim acisiz geldi 1. 30 saatte geldi paketimiz en son telefonla arafik sorduk oyle getirdiler.,1.0,1.0,1.0,1604771344
Her şey mükemmeldi.,10.0,10.0,10.0,1604684944
Çok kötü hizmet.,1.0,1.0,1.0,1604339344
Her seferinde 1. 5 saat bekliyorum... Ama değiyor ne yapalım...,1.0,10.0,10.0,1604339344
Daha ne kadar vasat olabilir ki zaten 1 saatte geldi geldigine de keşke degseydi.,1.0,1.0,1.0,1604252944
En az 1 saat sürüyor her seferinde... Sonu güzel evet ama..,1.0,10.0,10.0,1603907344
Ayranlarım gelmedi. İki ayran borcunuz var :).,6.0,7.0,7.0,1603869598
21. 56 da sipariş verdim 00. 00 da geldi ve yanlış geldi. Bir daha tercih edeceğimi düşünmüyorum.,1.0,1.0,3.0,1603869598
Cok lezzetli cok hızlı denemelisiniz.,10.0,10.0,10.0,1603869598
Kötü.,1.0,1.0,1.0,1603869598
1 buçuk saatte teslim aldık az acılı istedik çok acılı geldi yiyemedik bile hiç memnun kalmadik.,1.0,1.0,1.0,1603869598
Yanlış gelen bir sipariş.,10.0,1.0,1.0,1603869599
Birkaç dal nane koyabilir misiniz diye ricada bulunmuştum malesef koymamışlar yinede teşekkür ederim.,7.0,7.0,7.0,1603869599
Ürünler çık düzensiz istediğimiz malzemeler yoktu i. Çiğ köfte plastik tabakta çatalla yemek zorunda kaldık.,5.0,1.0,1.0,1603869599
Yeşillik çok kötüydü yarısını çöpe atmak zorunda kaldım. Nar ekşisi komageneninki değil sanki marketten alınıp doldurulmuş gibiydi. Puanına bakarak bu kadar da kötü olamaz deyip sipariş etmiştim ama o kadar da kötüymüş.,7.0,5.0,6.0,1603869599
Siparişte online ödeme yaptığım halde bir paket sosum yoktu ve ayranlar küçük gelmişti.,5.0,1.0,7.0,1603869599
Şekersiz cola istiyoruz hep yanlış getiriyorsunuz.,1.0,1.0,1.0,1603869599
Şekersiz kola söylemiştim şekerli geldi onun dışındaki her şey mükemmel.,9.0,8.0,10.0,1603869599
Emeginize saglik.,10.0,10.0,10.0,1603869599
Ben beğendim.,10.0,10.0,10.0,1603869599
Çok yavaş geldi takoya malzemeleri resmen koklatmışlar berbat hizmet.,1.0,1.0,1.0,1603869599
