comment_text,comment_speed,comment_service,comment_taste,comment_time
Hersey cok güzeldi ellerinize sağlık ama tatliyi biraz daha fazla koyabilirmisiniz tadina doyamadım.,10.0,10.0,10.0,1606240470
Porsiyonlar küçük geldi. Onun haricinde hız ve servisi yeterli düzeyde.,8.0,8.0,8.0,1606067670
Güzeldi.,9.0,8.0,8.0,1605981270
İyiydi.,7.0,7.0,8.0,1605894870
Gayet hızlı ve lezzetliydi.,9.0,8.0,8.0,1605808470
Berbat.,1.0,1.0,1.0,1605808470
Tavuk çok lezzetliydi çok güzel pişmişti salata ve ekmek de çok güzeldi ama yanındaki pilav ve yoğurtlu meze lezzetsiz ve gereksiz bence onlar yerine birer tane daha közlenmiş biber domates koyulabilir. Ellerinize sağlık buradan tekrar sipariş veririm.,9.0,9.0,9.0,1605549270
Jokerden söyledim yorumları görünce pişman olmuştum ama gayet güzel lezzetli ve temizdi. Etin falan koktuğu tamamen yalan bence pide ve lahmacun on numaraydı... Ellerinize sağlık salata da gayet özenliydi.,10.0,10.0,10.0,1605203670
"Ellerinize sağlık çok güzel olmuş, burda bazı arkadaşlar etin tadına kötü demişler, hiç alakası yok aksine çokda lezzetli. Galiba onlar jokeri tutturduğu için kötülüyor maliyetin altına yemek yedikleri için yok şu kötü yok bu kötü... Şiddetle tavsiye ederim çoook güzel.",10.0,10.0,10.0,1605117270
Orta dereceli ama menü ve yemek sepetindeki menü uyuşmuyor yinede idare eder.,5.0,3.0,5.0,1604858070
Güzeldi ellerinize emeğinize sağlık teşekkürler ederim on numara 5 yildiz.,10.0,10.0,10.0,1604858070
Güzeldi kaşarı unutmuşsun usta.,8.0,8.0,8.0,1604771670
Adanayı çoğu yerde yedim ilk defa adana tadı almadım yorumlarda bi arkadaş belirtmiş etleriniz cidden kötü kasabınızı değiştirmenizi tavsiye ederim müşteri memnuniyeti açısından.,9.0,6.0,1.0,1604685270
Cok hızlı cok sıcak ve cok güzel bir şekilde geldi cok begendim elleriniz sağlık.,10.0,10.0,10.0,1604426070
Ellerine sağlık güzeldi.,10.0,10.0,10.0,1603869924
Teşşekkürler.,9.0,9.0,9.0,1603869924
Etlerin tadi cok kotuydu plastik catal pecete filanda yoktu.,10.0,6.0,1.0,1603869924
Ellerinize sağlık.,10.0,10.0,10.0,1603869924
Beyti güzeldi ama düylaç baya kötüydü genel olarak güzeldi ama.,7.0,9.0,8.0,1603869924
Sütlaço değişin bence.,10.0,1.0,1.0,1603869924
Güzel.,10.0,10.0,10.0,1603869924
Baya güzeldi.,10.0,10.0,10.0,1603869924
Lezzeti burdaki lokantaların üstünde ve doyurucu.,10.0,10.0,10.0,1601240178
Yapıyorsunuz bu işi lahmacun efsaneydi.,10.0,10.0,10.0,1601240178
Her zamanki gbi güzell daha ne deyimki.,10.0,10.0,10.0,1601240178
Kuşbaşı pidenin eti taze değildi.,8.0,6.0,5.0,1601240178
Pek beğenmedim.,8.0,8.0,8.0,1601240178
Guzeldi.,10.0,10.0,10.0,1601240178
Lahmacun güzel di.,10.0,9.0,8.0,1601240178
"Lahmacunlar güzeldi, teşekkürler.",9.0,10.0,10.0,1601240178
Gayet güzel ve başarılıydı.,8.0,8.0,8.0,1601240179
1 saat oldu gelmedi.,1.0,1.0,1.0,1601240179
Tavsiye ederim.,9.0,9.0,9.0,1601240179
Muazzam.,10.0,10.0,10.0,1601240179
Harikaaaa.,10.0,10.0,10.0,1601240179
Zor gunde yanımızda olduğunuz için tüm çakışanlara teşekur ederiz.,6.0,10.0,10.0,1601240179
"Güzeldi, teşekkürler.",10.0,10.0,10.0,1601240179
Kıymalı pide mükemmel. Yanında ayrıca ezme ve tatlısı vardı. Teşekkürler.,10.0,10.0,10.0,1601240179
Jokerle kavurma söyledik kavurmayı koymamışlar damlatmışlar.,8.0,8.0,1.0,1601240179
Iyi.,7.0,6.0,5.0,1601240179
Dicle bir yıldan beridir sipariş veririm hiç kalitesini bozmayan güzel bir yer tebrikler dicle.,10.0,10.0,10.0,1598610433
Topraklarım ya şiddetle tavsiye.,10.0,10.0,10.0,1598610433
20 dk içerisinde geldi tadı karapürçekteki restoranlara nazaran iyiydi.,10.0,9.0,9.0,1598610433
