comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzel ve lezzetliydi.,8.0,8.0,9.0,1606500183
Çok anlayışlı çalışanları var. Her şey çok lezzetliydi teşekkürler.,10.0,10.0,9.0,1606500183
"Döner ve yanındaki malzemeler çok lezzetliydi, ama dönerde kullandiginiz pideler biraz bayatti.",9.0,10.0,9.0,1606413783
1. 5 saatte zor bela yemek geldi ve soğuk geldi. Soğan istemedik soğanlı geldi.,1.0,1.0,1.0,1606413783
Güzeldi elinize sağlık.,10.0,10.0,10.0,1606327383
Beklemekten içim çıktı. Bilseydim bu kadar bekleyeceğiz asla sipariş vermezdim. Lahmacunların yumuşaklığı güzeldi. Garnitürlerde çok iyiydi. Ama şekerim düştü beklemekten. Sipariş gecikince yorumlara baktım ki çok kişi iptal ettirmiş bu yüzden. Bir daha mı sanmıyorum.,3.0,10.0,6.0,1606327383
Lezzetli doyurucu.,10.0,10.0,10.0,1606068183
Güzel yemekleri var.,10.0,10.0,10.0,1605722583
İyi.,8.0,8.0,8.0,1605463383
Çok lezzetli ikram içinde teşekkürler.,10.0,10.0,10.0,1605376983
Soğuk.,10.0,10.0,1.0,1605290583
"Siparişim yaklaşık 1 saat 10 dakikada geldi haliyle buz gibiydi birdaha sipariş vermeyi tercih edeceğim bir yer değil, tek iyi yanı kuryeniz çok iyi ve efendi birisiydi. Hızlı getirmek için elinden geleni yaptığı belliydi ama siz geç hazırladığınız için ne yazık ki olmadı.",2.0,3.0,7.0,1605204183
Hızlı gelmesine rağmen pek sıcak değildi. Notta salata istemiyorum fazla patates koyabilirsiniz yazmistim hem patatesi fazla koymussunuz hem de salatayi da gondermissiniz ince dusunceniz icin tesekkur ederim fakat salata ziyan oldu :( helva ve cig kofte cok lezzetliydi.,10.0,10.0,8.0,1605204183
Lezzet ve hız gerçekten harika. Teşekkürler.,10.0,10.0,10.0,1605204183
Kurye cok kibarditr en garina hizli geldi notlari dikkate almislar klasik aspava zaten tavuk sis doyurucu ve iyi pismisti.,9.0,9.0,9.0,1605031383
Soğuk geldi.,3.0,3.0,3.0,1604426583
İlk defa jokerle söyledim muhteşem özenli paketleme herşey çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1604340183
Siparişim çok gecikti. 1 saat 25 dk da teslim edildi haliyle buz gibi olmuştu lezzeti zaten kalmamıştı. Aspavaya yakışmadı. Birdaha da siparişim olmaz sanırım.,1.0,7.0,6.0,1604253783
Iyiydi.,8.0,8.0,8.0,1604080983
Gayet güzel.,10.0,9.0,10.0,1603994583
Mükemmelll süperrrr porsiyonlar canavar elinize emeğinize sağlık.,10.0,10.0,10.0,1603870437
Yemek ve müşteriye ilgi çok iyi teşekkürler.,10.0,10.0,10.0,1603870437
Tavuk güzel pişmişti ve lezzetliydi. Pilavı ve helvayı ise hiç beğenmedim.,10.0,10.0,9.0,1603870437
Her yönüyle harika.,10.0,10.0,10.0,1603870437
Ssksı çok iyi.,10.0,10.0,10.0,1603870437
Hersey olması gerektiği gibiydi teşekkürler.,10.0,10.0,10.0,1603870437
İstediğim gibiydi tesekkurler.,10.0,10.0,10.0,1603870438
Çok beğendik tam bir yemek şöleni oldu her şeyiyle tamdı. Teşekkür ederiz.,10.0,10.0,10.0,1603870438
Ssk özellikle mükemmeldi elinize sağlık.,10.0,10.0,10.0,1603870438
Bu kadar bozdugunuzu bilsem aç kalırdım. Yakışmadı.,7.0,2.0,1.0,1603870438
İkramlari ve paketlemesi guzel hizi da iyi sayilir lezzeti ortalama ustu beytiyi de tavsiye ederim.,9.0,10.0,9.0,1603870438
"İçinde neredeyse et yoktu, soğansız notu iletmeme rağmen soğanlı geldi.",5.0,1.0,1.0,1603870438
Yemek 1 saat 25 dakikada geldi. Hız işini çözmeleri gerekli.,1.0,8.0,7.0,1603870438
Mükemmeldi.,10.0,10.0,10.0,1603870438
Menüde çiğ köfte ve cacık da vardı ama elimize ulaşmadı maalesef. Aspava sana yakışmadı...,8.0,1.0,7.0,1603870438
