comment_text,comment_speed,comment_service,comment_taste,comment_time
Gayet güzeldi dolu doluydu ve bu kaliteye bu fiyat çok uygundu. Teşekkür ederiz.,7.0,9.0,10.0,1606500561
"Kaliteli ve müşteri ile alakalı bir pastane, özenle siparişleri hazırlıyorlar 10 numara. Ellerinize sağlık.",10.0,10.0,10.0,1606414161
Üzgün.,6.0,9.0,9.0,1606154961
Kaplumbağa.,5.0,10.0,10.0,1606154961
Hız konusunda geriler.,6.0,9.0,9.0,1606154961
Biraz yavaş.,7.0,9.0,10.0,1606154961
"Hız, serviz, lezzet harika. Pastannecim kalitesi.",10.0,10.0,10.0,1605809361
"Banana split, bu şekilde geldi. Üstünde fındık vs. De yoktu. Muzlar, konulan kap nedeniyle alüminyum kokuyordu. Gelen beyfendiye söylemem rağmen bşr şey yapamayacağını belirtti ve hiç umursamadı. Mantısı fena değildi ama yine alüminyum tadı geliyordu.",5.0,5.0,2.0,1605809361
Böyle duyarlı bi firmaya puanlar az bile ellerinize sağlık.,10.0,10.0,10.0,1605722961
Berbattıtr ileçe bayattı..,1.0,1.0,1.0,1605550161
Fiyat olarak çok pahalı büyüklük olarak ise fiyata göre küçüktü pastamızın ufak bi köşesi kopuktu yoruma göre sipariş vermek isteyen verebilir.,10.0,5.0,7.0,1605463761
Pastalar lezzetli ilgili personel hızlı teslimat.,10.0,10.0,10.0,1605377361
Herzamanki gibi guzel.,8.0,10.0,10.0,1605290961
Çok geç geldi ve pankeklerin tuhaf bi kokusu vardı. Muzlar kararmıştı. Normalde çok memnunum her şeyden ama bu defa neden böyle olduğunu anlamadım. Daha dikkatli olmanızı rica edeceğim.,1.0,5.0,6.0,1605290961
Her zaman tercihimdir super hizmet super lezzet.,10.0,10.0,10.0,1605204561
"Yoğun oldukları için arayarak ilgilendiler gayet iyiydi. Ama özellikle mantar istemiyorum diye not düşmüştüm, wrapın içine mantar koymuşlar. Alerjim var ve iyi ki yemeden önce baktım.",9.0,9.0,1.0,1605204561
Elinize sağlık herşey lezzetliydi teşekkürler bol kazançlar.,10.0,10.0,10.0,1605031761
Yediğim en güzel yemekti kalitesi mükemmeldi paketlemesi çok hoşuma gitti sıcak geldi dumanı üstündeydi teşekkür ederiz pastannecim mamak ekibi.,10.0,10.0,10.0,1604945361
Güya adı olan bir pastane ama gelen pankek yanık hiç zahmet etmeseydiniz keşke...,9.0,1.0,1.0,1604858961
Herzamanki gibi mukemmel.,10.0,10.0,10.0,1604686161
Ürünler tazecik çalışanların hepsi çok güleryüzlü ve ilgili şimdiye kadar hiç problem yaşamadım hersey 10numara bence.,10.0,10.0,10.0,1604599761
Sadece servis yavaştıancak kahvaltı sipariş etmiştim gerçekten çok lezzetliydi biraz hızlı servis olsaydı soğumazdı.,5.0,8.0,10.0,1604599761
