comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok güzel tavsiye ederim.,10.0,10.0,10.0,1606414249
Elinize sağlık.,10.0,10.0,10.0,1606414249
Guzeldi.,10.0,10.0,10.0,1606414249
Karışık ızgara müthiş. Lezzetli ve de gayet porsiyonları bol ve fazla.,10.0,10.0,10.0,1606414249
Begenmedim.,5.0,5.0,5.0,1606327849
İlk başlarda lezzetli idi fakat gün geçtikçe bozdu..,1.0,1.0,1.0,1606327849
Çok teşekkür ederiz usta.,10.0,10.0,10.0,1606327849
Lezzeti ayrı yemeği getiren kişi ayrı iyiydi.. Hersey para değil insanlik baska tebrik ediyorum. Kolay gelsin.,10.0,10.0,10.0,1606241449
Soguk geldi baya.,8.0,7.0,7.0,1606068649
"Öğrenci dostu bir mekan, böyle esnafların öğrencileri düşünmesi çok güzel afiyet olsun..",10.0,10.0,10.0,1606068649
"Tavuk kanat hiç iyi pişmemiş, lezzet hiç yok.",8.0,7.0,5.0,1605982249
Tavuk ve pilav şahaneydi..,8.0,7.0,10.0,1605982249
Güzeel.,9.0,9.0,9.0,1605982249
Adana kebap vasat.,1.0,1.0,1.0,1605982249
Göğüs çok sertti kuruydu. Adana incecikti.,6.0,9.0,4.0,1605895849
Kanatlarını herkese öneririm.,9.0,9.0,9.0,1605895849
Tam 40. Dakikada geldi. Notum önemsenmemiş. Yemeğin tadı fena değildi bir ciger bir tavuk şiş aldım fiyatlar da türkiye şartlarında uygun sayılır. Yeni taşındık buraya ilk alışverişimdi. Notumdaki masum ricam umursanmadığı için bir daha alışveriş yapmayacağım kesin. Yine de uygun zamanında geldi.,8.0,5.0,7.0,1605809449
İlgili restoran için teşekkürler.,9.0,9.0,9.0,1605809449
Güzel.,10.0,10.0,10.0,1605809449
Mükemmel.,10.0,10.0,10.0,1605723049
Kanat muazzam.,8.0,9.0,9.0,1605636649
Tesekkurler.,10.0,10.0,10.0,1605550249
Teşekkür ederim çok iyiydi.,10.0,10.0,10.0,1605463849
"İki ayran istedim, tek ayran geldi.",2.0,1.0,1.0,1605463849
Siparişi verdikten 1. 5 saat sonra geldi buz gibiydi.,1.0,1.0,1.0,1605463849
Guzel.,8.0,8.0,8.0,1605377449
"Porsiyonlar küçük ama fiyatına göre normal, çabuk geldi.",10.0,10.0,10.0,1605377449
Hızlı.,10.0,8.0,8.0,1605291049
Lezzetli ve hızlı.,10.0,10.0,10.0,1605204650
"Adana dürüm söyledik, lavaş arası salata yedik resmen. Şişe değilde pipetemi sariyosunuz adanayi bildiğin pipet kalınlığında icindeki et biz yerken utandik siz o parayı yerken nasıl utanmiyosunuz hayret.",4.0,1.0,1.0,1605118250
Siparişimiz hızlı geldi. Lezzeti de iyiydi. Sıcak olarak geldi.,8.0,8.0,8.0,1605118250
Biraz lezzet eksikligi varmi ama genel olark iyiydi tesekkurler.,10.0,10.0,5.0,1605118250
Mükemmel.,10.0,10.0,10.0,1605118250
Dürüm çok güzeldi ellerinize sağlık.,8.0,8.0,8.0,1604945450
Yanında en azından bir salata beklerdim.,10.0,1.0,7.0,1604945450
"20-30 dakikada gelmesi vaadedilen sipariş 15 dakikada yola çıktı 75. Dakikada buz gibi olarak elime ulaştı, notları okumamanız da ayrı bir yana. Ömrümde gördüğüm en kalitesiz ve en acınası hizmet. Ulaşamamak da cabası onine ödemeseydim almazdım da 1 puan bile çok. Rezil ötesi bir davranış.",1.0,1.0,1.0,1604859050
Adana tavsiye etmem ama tavuk şis cok iyi.,8.0,7.0,7.0,1604859050
Kanatta tek geçerim.,10.0,10.0,10.0,1604772650
Cigerler hep yanmis.,1.0,1.0,1.0,1604686250
Temiz ve başarılı hizmet. Ayrıca garson çok iyiydi. Hakan bey idi sanırım.,10.0,10.0,10.0,1604599850
Gayet ideal.,9.0,9.0,9.0,1604599850
Herşey mükemmel...,10.0,10.0,10.0,1604513450
Kurye güleryüzlü ve yemekler güzeldi.,10.0,10.0,10.0,1604513450
Yedigim en berbat adanaydi.,1.0,1.0,1.0,1604513450
Lavaşlar taze değildi.,10.0,10.0,6.0,1604427050
Güzel.,10.0,10.0,10.0,1604427050
Müptelasi olunur.,10.0,10.0,10.0,1604427050
Soğansız dedik soğanı basmışlar.,1.0,1.0,1.0,1604340650
Tavuk şiş çok guzel.,10.0,10.0,10.0,1604340650
Kurye arkadaş hızlı geldi teşekkürler kuryelere selamlar olsun.,10.0,10.0,10.0,1604340650
Guzel.,6.0,8.0,9.0,1604340650
Şiddetle tavsiye ederim.,10.0,10.0,10.0,1604340650
Adana idare eder.,10.0,10.0,8.0,1604340650
"Hıza ve lezzete diyecek bir şey yok servis için notları bu kez dikkate almamışlar, ayrıca iki gün önce aynı siparişi verdim porsiyonu azaltmışlar, indirime girdi diye böyle olmaz.",10.0,5.0,10.0,1604340650
Teşekkür ederiz.,9.0,9.0,9.0,1604254250
Herşey sıcaktı lezzetliydi ve kurye çok güler yüzlüydü.,10.0,10.0,10.0,1604254250
Efsane.,10.0,10.0,10.0,1604254250
Efsane.,10.0,10.0,10.0,1604167851
Dürüm biraz baharatlıydı boğazımı yaktı.,8.0,8.0,8.0,1604167851
Her şey güzeldi fakat çatal bıçak göndermediniğiniz için elimizle yemek zorunda kaldık araplık var biraz bizde o yüzden pek sıkıntı çekmedik.,10.0,1.0,10.0,1604167851
Hayatımda yediğim en kötü dürümdü.,1.0,1.0,1.0,1604167851
Tavuk külbastı şahaneydi.,10.0,10.0,10.0,1604167851
Kuzu mükemmel. Adana zaten efsane.,10.0,10.0,10.0,1604167851
İndirimde olması harika ve yine efsane.,10.0,10.0,10.0,1604081451
Ne tat var ne tuz.,1.0,1.0,1.0,1604081451
Sıcak ve hızlı.,10.0,10.0,10.0,1604081451
Bay dürümün gelmiş geçmiş en iyi kuryesi güleryüz için teşekkürler.,10.0,8.0,8.0,1604081451
Ekmeği yırtıkdı.,8.0,5.0,9.0,1604081451
İyi iyi.,10.0,10.0,10.0,1604081451
Pilavına bayıldım adana kebabı da müthişti favori restorantım burası artık :).,10.0,10.0,10.0,1604081451
Elinize emeğinize sağlık herşey çok güzeldi.,10.0,10.0,10.0,1604081451
Garson hakan bey çok iyiydi. Teşekkür ederim.,10.0,10.0,10.0,1604081451
"Sıcak değildi, iyi gibi.",8.0,9.0,8.0,1603995051
Kanatlar çok lezzetliydi. Parmaklarımızı yedik. Çok da hızlı geldi. Herkese şiddetle tavsiye ederim.,10.0,10.0,10.0,1603995051
Hızlı geldi notları dikkate aldılar servis biraz özenli olabilirdi her şey iç içeydi.,10.0,8.0,10.0,1603995051
