food_id,food_name,food_price,food_category,food_score
17b60c6b-7b78-4079-ba37-c3778b62ec61,Fındık Lahmacun,"6,00 TL",Fırın Ürünleri,9.0
997c5371-f90f-4592-b9ad-ae6ad6e9b10a,Lahmacun,"17,00 TL",Fırın Ürünleri,12.0
bfbaef3a-1c40-402f-8151-d7a3e34ea528,Lahmacun (2 Adet),"34,00 TL",Fırın Ürünleri,12.0
2f6de484-9d4a-46e2-8ded-107c51e68671,Kaşarlı Pide,"32,00 TL",Fırın Ürünleri,9.0
b6dc8ad1-7fa2-4006-a98c-6e4ed277eb91,Kıymalı Pide,"26,00 TL",Fırın Ürünleri,7.0
f82a3f5f-cea4-4131-aab7-907a70a8858f,Kıymalı Kaşarlı Pide,"28,00 TL",Fırın Ürünleri,7.0
57d9db0b-4c91-4f32-84b7-489018f91c2e,Kuşbaşılı Pide,"35,00 TL",Fırın Ürünleri,11.0
f7103208-9474-473d-be6a-f7a9c0f62fb2,Mantarlı Kaşarlı Pide,"32,00 TL",Fırın Ürünleri,9.0
39b14b18-519e-4682-8785-13e2f5617beb,Et Çöp Şiş,"52,00 TL",Izgaralar,11.0
45fba7cf-dd86-4c57-ae36-95ad8c23a2de,Kuzu Pirzola,"60,00 TL",Izgaralar,5.0
ad931d1e-daa7-4796-9f73-f5c9b664367d,SSK Et Döner Dürüm,"37,00 TL",Et Dönerler,12.0
7D8421B6-DE3C-4952-BE6B-CFF13196C129,Et Döner Beyti,"39,00 TL",Et Dönerler,16.0
914959ec-6f34-4730-a7de-3e0132f310dc,Et Şiş Dürüm,"53,00 TL",Dürümler,8.0
fb67697e-9c0a-40b2-a8a1-64ea7cc95488,Kiremitte Tavuk,"36,00 TL",Diğer Lezzetler,4.0
e2750657-da54-4aa5-959b-33390943ff21,Kiremitte Kuzu,"53,00 TL",Diğer Lezzetler,5.0
deb64370-375b-4eec-99bf-33811e32254a,Çiğ Köfte (10 Sıkım),"17,00 TL",Yan Ürünler,5.0
00f1c086-20fd-452c-afa7-56169ea52f4a,Kızartma İçli Köfte (Adet),"7,00 TL",Yan Ürünler,6.0
e406d229-5c38-412d-a737-445e75118e08,Çoban Salata,"12,00 TL",Salatalar,9.0
75044a2a-6928-4d52-834b-c2eb24c0a9cf,Mevsim Salata,"15,00 TL",Salatalar,9.0
68c96242-8cbd-4334-9730-9c19305ff71a,Akdeniz Salata,"20,00 TL",Salatalar,9.0
6510a457-cca6-43ab-8a5f-0d4bad0b755b,Su,"2,00 TL",İçecekler,11.0
ec80552f-0545-4a56-a4dd-b4ec980c1eb4,Su (1 L.),"6,00 TL",İçecekler,11.0
88a44e9b-b7b3-419a-a9d3-6cb9adacff85,Poşet,"0,25 TL",Poşet,5.0
