comment_text,comment_speed,comment_service,comment_taste,comment_time
Gerçekten çok özenli ve güzel hazırlanmıştı servis hızlıydıteşekkürler.,10.0,10.0,10.0,1606415860
Harika.,10.0,10.0,10.0,1606329460
"Siparişim çok geç geldi, başka bir çiğköfteciden sipariş vermek zorunda kaldım.",1.0,1.0,8.0,1605983860
Yeşilliği pek sevmeyen biri olarak bence çiğköftelerin üzerine maydanoz vs. Şeyler koyulmamalı. Lezzet hız mükemmel.,10.0,9.0,10.0,1605724660
Harika lezzetliydii.,10.0,10.0,10.0,1605206260
Teşekkürler.,10.0,10.0,10.0,1605119860
"Çiğ köftenin tadı çok güzeldi, hızlı geldi teşekkürler.",10.0,10.0,10.0,1604774260
Sürekli çiğ köfteyi buradan alıyorum. Her zaman taze ve hızlı geliyor. İkramlar için de ayrıca teşekkür ederim.,10.0,10.0,10.0,1603996660
Çiğ köfte zaten güzel midye denedim güzel.,10.0,10.0,10.0,1603872514
Çok lezzetli.,9.0,9.0,9.0,1603872514
Tatlı baya kötü çiğköfte güzeldi.,10.0,10.0,7.0,1603872514
İçine çok az miktarda çiğ köfte koymuslar.,8.0,6.0,3.0,1603872514
Bir kere tadınca başka yerden çiğ köfte yiyemiyorsunuz:).,10.0,10.0,10.0,1603872514
Harikaa.,10.0,10.0,10.0,1603872514
Güzel.,8.0,9.0,8.0,1603872514
Yorumlarda abartıldığı gibi lezzetli değil.,7.0,6.0,5.0,1603872514
Gayet iyi.,8.0,8.0,9.0,1603872514
Lezzetli ve güzeldi teşekkür ederiz:).,10.0,10.0,10.0,1601242768
Gerek sunum gerek tat olsun herşeyiyle mükemmeldi ve hızlıca geldi teşekkür ederim.,10.0,10.0,10.0,1601242768
"Güzel ülkemizin bir çok şehrinde ben bu çiğ köfteyi yedim izmir, bursa, muğla, samsun ama hiç biri adıyaman samet ustanın ki kadar güzel değil. Diğer şehirlerde yaşayan arkadaşlarım ayağınız birgün ankaraya düşerse mutlaka samet ustanın çiğ köftesini deneyin derim.",10.0,10.0,10.0,1601242768
"Gayet güzel ve yeşilliği boldu, ekstra turşu biberi ve reyhan yapraklari da yanına yakışmış fakat çiğ köftesi biraz daha iyi olabilir sanki..",7.0,8.0,8.0,1601242768
Her sey cok iyiydi. Getiren daha iyiydi.,10.0,10.0,10.0,1601242768
Köfteyi içine yumruk olarak atılması dışında sorun yok.,1.0,1.0,1.0,1601242768
"Çok ülke gezdim böylesine güzel çiğ köfteyi ne italyada, ne ispanyada nede amerikada yedim. Gerçekten çok lezzetli olmuş elinize sağlık.",10.0,10.0,10.0,1601242768
Extra acı sos istedim parasıyla ama extra nar ekşisi göndermişsiniz acı sos yerine. Tadını çok beğendiğim söylenemez baharatsız ve fazla cıvık buldum.,8.0,6.0,5.0,1601242768
10 numara teksiniz.,10.0,10.0,10.0,1601242768
Hızlı temiz süper.,10.0,10.0,10.0,1601242768
Geç geldi tadı harika birdaha söyleyeceğim şimdi.,5.0,10.0,10.0,1601242768
Her şeyiyle çok iyi.,10.0,10.0,10.0,1601242768
İyi güzel de yorumlarda abarttıkları kadar da değil be.,7.0,7.0,7.0,1601242769
Hız ve lezzet konusunda 1 numara diyebilirim. Diğer çiğ köfteler midemde yanma yapardı ama burda öyle birşey yasamadım. Teşekkürler.,10.0,10.0,10.0,1601242769
Keske braz daha hizli gelebilseydi.. Ayrica 1 kg cigkofteye biraz buyuk marul gelmeli.. Ve keske pecete islan mendil gbi ayrtintilar unutulmasaydi.. Lezzet guzeldii.,6.0,6.0,9.0,1601242769
Servis ve lezzet super cook hızlı geldi.,10.0,10.0,10.0,1598613023
Geç geldiği fark edilip ayran ikram edilmesi güzeldi teşekkürler.,9.0,10.0,10.0,1598613023
Harika.,10.0,10.0,10.0,1598613023
Saat kaç olursa olsun inanılmaz ilgili ve saygılı işletme. Çok teşekkürler.,10.0,10.0,10.0,1598613023
Çok beğendik teşekkürler.,10.0,10.0,10.0,1598613023
Tabağa domates koymasanız daha güzel olur sulandırıyor çiğ köfteyi onun haricinde mükemmelsiniz.,10.0,10.0,10.0,1598613023
Domates koyamayin abi.,10.0,10.0,10.0,1598613023
Çiğköftenizin tadı muhteşem gerçekten çok beğendim teşekkür ederiz siparişten hemen sonra hızlı şekilde geldi sağolunsağolun.,10.0,10.0,10.0,1598613023
Cok guzeldi hayatimda yedigim en guzel cigkofteydi tebrik ediyrum hizli siparis guler yuzlu.,9.0,9.0,9.0,1598613023
Lezzeti cok guzeldi. Pandemiden dolayi mesafeli birakmasi ve guler yuzlu olmasi gercekten bir arti. Yaninda islak mendil gonderirseniz cok daha guzel olur. Elinize saglik.,10.0,9.0,10.0,1598613023
"Tat, sunum, hız mükemmel ellerinize sağlık.",10.0,10.0,10.0,1598613023
