comment_text,comment_speed,comment_service,comment_taste,comment_time
"Yemek buz gibiydi. 40 dakikada geliyor dürüm ve sanki aylar önce yapılmış gibi. Sosu kurumuş, ekmeği hamurlaşmış. Patates desen yıllar önce yapılmış gibi. Yumuşamış, soğumuş...",2.0,1.0,1.0,1606419232
Sakın ola bu şubeyi diğer öncü şubeleri gibi sanıp sipariş vermeyin! 4 defa sipariş verdim 4 ü de tam 1 saati aşkın sürede geldi ve üstelik döner ile kağıt bütün olmuş yapışmış artık soğuktan patatesler lastik olmuş tat tuz yok. Tamamen gamsız ve sorumsuz bir şube. Gerekli tüm şikyetleri yaptım.,1.0,1.0,1.0,1606419232
Adresime ışık hızıyla geldi diyebilirim uygulamadaki belirtilen zamandan çok daha hızlı teslimat sağlıyor isletme.,10.0,10.0,10.0,1606419232
Gayet başarılıydı lezizdi.,10.0,10.0,10.0,1606332832
Özellikle bol soslu istemiştim arkadaşlara mahcup ettiniz hep 10 üzeründen 10 puan verirdim çoklu sipariş verince bozmuşsunuz.,8.0,8.0,3.0,1606332832
Standart.,9.0,9.0,9.0,1606332832
Nice.,10.0,10.0,10.0,1606332832
Arka sokağınıza 35dkda getirmeseydiniz herşey daha güzel olabilirdi..,7.0,10.0,10.0,1606332832
Hızlı teslimat için teşekkür ederiz.,10.0,10.0,10.0,1606246432
Güzel.,10.0,10.0,10.0,1606160032
Efsane.,10.0,10.0,10.0,1606160032
Söyledikten 1 saat sonra geldi buz gibiydi.,1.0,1.0,1.0,1606160032
Zaten bayılıyorum öncüye.,9.0,9.0,10.0,1606160032
"Buz gibi olmuş ve kağıdıyla yoğuşmuş, hamur arası patates. Arada bir gaipten tavuk kokusu geliyor.",1.0,1.0,1.0,1606160032
1. 15 saatte geldi buz gibi donmuş bir şekilde.,1.0,8.0,1.0,1606160032
Güzeldi.,10.0,10.0,10.0,1606073632
Çok hızlı geldi.,10.0,10.0,10.0,1606073632
İdare eder.,9.0,9.0,9.0,1606073632
"15 dk geldi, gayet sıcaktı. Lezzet konusunda daha iyi olabilirler.",10.0,10.0,7.0,1606073632
Soğuk.,1.0,1.0,1.0,1606073632
Siz bu işi biliyorsunuz ama daha hızlı gelebilir.,7.0,10.0,10.0,1606073632
Patatesiniz cook kötü hocam değiştirin lütfen ekmek gibi tadı.,10.0,8.0,7.0,1606073632
Lezzetli doner. Ellerinize sağlık.,9.0,9.0,9.0,1605987232
On numara lezzet.,10.0,10.0,10.0,1605987232
