comment_text,comment_speed,comment_service,comment_taste,comment_time
Eksiksiz ve hatasızdı. Not ne yazdıysam harfi harfiyen yapılmıştı. Çok memnun kaldım. Çok hızlı da geldi. Tavsiye ederim.,9.0,9.0,9.0,1606246667
Güzel.,10.0,10.0,10.0,1606246667
Yeşillik çok kötüydü.,8.0,3.0,8.0,1605901067
"Hızlıydı, hijyenikti.",9.0,9.0,9.0,1605382667
Süperr cok memnunum.,10.0,10.0,10.0,1605296267
Civardaki en hızlı servis çokda lezzetli.,10.0,10.0,10.0,1605209867
Gerçekten hem işinin hakkını veren bir yer. Kıyaslamaya bile gerek duymadım yerken mutlu oldum. Hız konusunda da gereğinden fazla iyiydi. Her kuruşum helaldir.,10.0,10.0,10.0,1605209867
Herşey on numara hız lezzet servis teşekkürler.,10.0,10.0,10.0,1605123467
Herşey çok güzel ama getiren arkadaş bi tuhaf sanki hayrına getiriyormuş gibi.,10.0,10.0,10.0,1605123467
Güzel.,10.0,10.0,10.0,1605037067
Güzeldi.,10.0,10.0,10.0,1605037067
On üzerinden 10 veriyorum hem lezzeti hem hızı hem de fiyatı mükemmel ayrıca kuryeye de teşekkürler.,10.0,10.0,10.0,1604950667
Bir adıyamanlı olarak gönül rahatlığıyla söyleyebilirim ki adıyaman çiğ köftesi ile uzaktan yakından alakası yok.,9.0,8.0,3.0,1604518667
Helal olsun.,10.0,10.0,10.0,1604345867
Ellerinize sağlık.,10.0,5.0,10.0,1604000267
Burası bi harika ve cok hızlı geliyo.,10.0,10.0,10.0,1603876121
Servis olarak çok kötü. Marul çiğköfte koyup yollamışlar ilk defa böyle bir şeyle karşılaştım. Tad olarak iyi.,7.0,1.0,8.0,1603876121
Kuriyeci abi 10 numara kral adam teşekkürler yardımlarından dolayı.,10.0,10.0,10.0,1603876121
2 tane içli köftem gelmedi... Çiğ köfteyle midyem geldi...,3.0,3.0,3.0,1603876121
Gayet iyiydi klasik çiğköfte baya hızlı geldi ama tebrikler.,10.0,10.0,10.0,1603876121
Servisleri çok hızlı şimdiye kadar yedigim çiğ köfte içinde en lezzetlisiydi kazındıkları para son kuruşuna kadar helal olsun herkese tavsiye ediyorum.,10.0,10.0,10.0,1603876121
Hizliydi.,10.0,8.0,8.0,1603876121
Mega dürüm alıyoruz içine çocuk için sadece öiğ köfte ve nar ekşisi koydurdum diğer malzemeleri koydurmadmıştım ama insan biraz çiğ köfteyi bol koyar. 5. 5 tl lik ürünü getirdiler.,10.0,5.0,8.0,1603876121
Servis sıfır.,2.0,2.0,2.0,1603876121
Titiz. Hızlı. Hijyenik servis ellerinize sağlık.,10.0,10.0,10.0,1603876121
Güzeldi teşekkür ederiz.,10.0,10.0,10.0,1603876121
Güzel.,10.0,10.0,10.0,1603876121
Güzeldi teşekkürler.,10.0,10.0,10.0,1603876121
Çok hızlıydı.,10.0,2.0,2.0,1603876121
Mükemmel hızmükemmel lezzetmükemmel servis.,10.0,10.0,10.0,1603876121
Çok lezzetli ve hızliydı aldinız para kuruşuna kadar helal olsun ellerinize sağlık.,10.0,10.0,10.0,1601246375
"Lezzet, hijyen ve hız iyiydi fakat acı sos istemiştim o gelmedi :( bence notları okuyun.",9.0,7.0,9.0,1601246375
Hızlı ve güvenilir lezzetli.,10.0,10.0,10.0,1601246375
Zil çaldığında inanamadım çünkü sipariş verdikden 10 dk sonra elime ulaştı.,10.0,10.0,10.0,1601246375
İlk sipariş güzel sonuç.,10.0,10.0,10.0,1601246375
Daha iyi olabilir.,7.0,6.0,4.0,1601246375
Ellerinize saglik güzeldi.,9.0,9.0,9.0,1601246375
Gerçekden beklemediğim kadar hızlılar servis güzel paketli göbek nar eşkisi servisi ile geliyor işlerini güzel yapıyolar herkese tavsiye ederim.,10.0,10.0,10.0,1601246375
Az ürün de almadık ama bir tane ıslak mendil peçete yoktu bence bu düzeltilmeli. Hız oldukça iyiydi ve kurye temassız teslimata uydu. Lezzet güzeldi.,10.0,6.0,8.0,1601246375
Tadı güzeldi ve aynı zaman da doyurucu.,9.0,7.0,10.0,1601246375
"Keşke hayatımda sizin hızınız gibi yola girse, çok hızlıydı ve çok yedim lezzet de güzeldi tenkyuuu.",10.0,10.0,10.0,1601246375
Gayet hızlı ve lezzetli.,10.0,10.0,10.0,1601246375
Bu kadar sıcak kanlı bir kurye ömrümde görmedim.. Kralsın.,10.0,10.0,10.0,1601246375
Hızlıdı baya paketleme servis güzeldi köftede 10 numaraydı.,10.0,10.0,10.0,1601246375
"Sipariş ile kapının çalmasının arası ortalama 15 dk idi. İnşallah bu durum hep böyle kalır bozulmaz. Lezzeti yerindeydi, istediklerimiz eksiksizdi. Kurye arkadaş da oldukça güler yüzlü. Rakiplerine göre gereksiz pahalı olmadığı da aşikar. Yorumlara cevaplarınızı okudum, çizginizi bozmayın devam :).",10.0,10.0,10.0,1601246375
Çokmuş hızlılar. Yemekte çok lezzetliydi.,10.0,10.0,10.0,1598616629
Küçücük çiğköfteye 5 tl vermeyin.,1.0,1.0,1.0,1598616629
Hız servis lezzet güzeldi pakatleme özenli sadace köfte bana acı gelmedi acı olması benim tercihim olurdu lezzeti baharatı güzel yanında ekstre acı istemiştim onuda göndermişler notu dikkate alıyorlar.,10.0,10.0,9.0,1598616629
Elinize sağlık.,10.0,10.0,10.0,1598616629
Aysberkler kararmıştı ve yeşillik olarak hiçbir şey konulmamış. Nar ekşisi de gelmedi. İlla istiyorum diye belirtmek mi gerekiyordu? Çiğköftenin tadı iyi ama yanında gelenler eksik ve kötüydü şikayetim dikkate alınsın lütfen.,9.0,3.0,4.0,1598616629
Tadı gayet güzel. Sadece acılı acısız olup olmadığını belirtmeyi unutmuşsunuz sanırım ama sorun değil gözden kaçmış olabilir.,10.0,9.0,9.0,1598616629
Mükemmel...,10.0,10.0,10.0,1598616629
500gr çiğköfte aldım acı sos yok! 5 lavaş yazıyor 3 lavaş gelmiş şaka gibi.,10.0,5.0,10.0,1598616629
Midyeler bayatdı olduğu gibi cöpe atdım hic memnun kalmadım.,1.0,1.0,1.0,1598616629
"Muhteşem. Ertesi güne bırakmadan, tazeyken tüketmenizi tavsiye ediyorum. Yapanlar ve servis edenler için diyecek tek bir şey var, mükemmel. Ellerinize sağlık.",10.0,10.0,10.0,1598616629
Güzeldi.,10.0,10.0,10.0,1598616629
Sipariş istediğimiz gibi geldi. Bizim adres hatasından dolayı kurye arkadaşı gezdirmiş olduk kusura bakmasın. Eksik yoktu fazla vardı. Teşekkür ederim.,10.0,10.0,10.0,1598616629
İçli köfteyi ikinci siparişi edişim. Kesinlikle tavsiye ediyorum. Siparişi getiren arkadaşa nezaketinden ötürü teşekkür ediyorum.,10.0,10.0,10.0,1595986883
Hüseyin gazi bölgesinde severek yediğim tek çiğköfte dürümler hem dolgun hemde bol malzemeli aynı zamandan ilgisinden dolayı hasan beye çok teşekkür ederiz. Şiddetle tavsiyee.,10.0,10.0,10.0,1595986884
Lezzetli güzel ürün.,9.0,9.0,9.0,1595986884
Turşu ve acı biber içeriğinde olduğu yazıyor ama benim dürümlerimin içinde yoktu.,4.0,3.0,7.0,1595986884
Lezzetli ürün hızlı teslimat.,10.0,10.0,10.0,1595986884
"Lezzetli, hızlı, kral insanlar.",10.0,10.0,10.0,1595986884
Midye siparişi verdim bazı midyeler çok kötüydü.,10.0,5.0,5.0,1595986884
9 dk da geldi harika içli köfteleri var.,10.0,10.0,10.0,1595986884
Tavsiye edilebilir bir hizmet.,9.0,10.0,10.0,1595986884
Herzaman ki gibi.,10.0,10.0,10.0,1595986884
İnsan bir tane peçete atar içerisine mazemeden bu kadar da çalınmaz.,1.0,1.0,1.0,1595986884
Her zaman burdan sipariş veriyorum. Çok güzel.,10.0,10.0,10.0,1595986884
