comment_text,comment_speed,comment_service,comment_taste,comment_time
Adamlar yapiyor.,10.0,10.0,10.0,1606506523
Oldukça lezzetli ve sıcak sunum.,10.0,10.0,10.0,1606506523
"Elinize sağlık, hayırlı işler.",10.0,10.0,10.0,1606420123
Köfte rahatsız edecek şekilde tuzluydu.,10.0,9.0,6.0,1606333723
Guzel.,10.0,10.0,10.0,1606333723
Kurye maske kullansın!,6.0,10.0,9.0,1606247323
Kuryeniz size yakışmıyor.,1.0,1.0,5.0,1606160923
Çok iyi.,10.0,10.0,10.0,1606160923
Ciğer çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1606074523
Kelle paça çorbanın içinde tane yok denecek kadar azdı. Lezzet diye birşey yoktu.,5.0,1.0,1.0,1606074523
"Kelle paça harika, çok sıcak geldi, keşke biraz turşu da olsaydı yanında.",10.0,10.0,10.0,1606074523
"Notları dikkate alın artık lütfen. Haricinde hiç bir sorun yok, uzun zamandır sipariş veriyorum.",10.0,9.0,10.0,1605901723
Güzeldi sevdik.,8.0,8.0,9.0,1605901723
Teşekkürler.,10.0,10.0,10.0,1605815323
Özenle paketlenmiş harika bir çorbaydı ellerinize sağlık.,10.0,10.0,10.0,1605815323
Harika. Özellikle kelle pacayı öneririm.,10.0,10.0,10.0,1605815323
Acı istedim ama acı olmamıştı canınız sağolsun emek verilen birşeye düşük puan verilmez ellerinize sağlık...,10.0,10.0,10.0,1605815323
Üçüncü siparişimiz. Bu da harikaydı.,10.0,10.0,10.0,1605728923
Et pişmemiş.,8.0,8.0,5.0,1605728923
Mercimek çorbası çok güzeldi. Fakat tavuk şiş dürümu hiç beğenmedim. Tavuk sis için buradaki güzel yorumlara da şaşırıyorum açıkçası.,8.0,8.0,6.0,1605728923
Tesekkurler.,10.0,10.0,10.0,1605728923
Tavuk şiş çok güzeldi ama köftesine aynı şeyi diyemiycegim çok tuzluydu aynı şekilde mezeleri de öyle.,8.0,8.0,7.0,1605728923
Kelle paça çorbası söyledim ancak aşırı derece de duru geldi.,10.0,9.0,5.0,1605642523
Her zaman leziz ve güvenilirler 10 numara.,10.0,10.0,10.0,1605642523
Hızlı servis için teşekkürler.,10.0,10.0,10.0,1605556123
Harikaaaa.,10.0,10.0,10.0,1605556123
Çok süper değil ama yenilmicek kadarda değil.,8.0,6.0,6.0,1605469723
İyi.,8.0,8.0,8.0,1605469723
