comment_text,comment_speed,comment_service,comment_taste,comment_time
Gayet lezzetliydi ve sıcak geldi.,10.0,10.0,10.0,1606506795
"Köfte sulu sulu çok lezzetli, yanındaki mezeler hem çok lezzetli hem de çok çeşitli. Közlenmiş biber ve domates ayrıntısı çok güzel.",10.0,10.0,10.0,1606506795
Süperdi hızlı ve sıcak geldi teşekkür ederiz.,10.0,9.0,10.0,1606506795
Her zaman söylediğim yer bu kez buz gibi geldi yoğurtlu meze çok az ama eskilerin hatrına puan kırmadım umarım birdahakinr böyle olmaz.,9.0,9.0,9.0,1606333995
Gayet lezzetliydi tek bir sıkıntı hız biraz geç geldi ama kimse kusursuz değildir bozmazsanız eğer pandemi seçinde iyi iş yaparsınız diye düşünüyorum :).,8.0,10.0,10.0,1606333995
Güzel.,10.0,10.0,8.0,1606333995
Başarılı.,10.0,10.0,10.0,1606333995
1 saatten uzun sürdü gelmesi ama bu seferlik puan kırmadım seviyoruz lahmacununuzu bozmayın.,10.0,10.0,10.0,1606161195
Fiyatına göre muhteşem bi kıymalı pide yedim. Kesinlikle tavsiye ederim. Servis çok zengindi.,10.0,10.0,10.0,1606161195
Süper.,10.0,10.0,10.0,1606161195
Guzeldi.,10.0,10.0,10.0,1606074795
"Lahmacunlari farklı bir kapta gondermenizi tavsiye ediyorum, karton ıslanmış, lahmacunlar da nemlenmisti tadı da kötüydü.",6.0,1.0,1.0,1606074795
Adliyeye sipariş çok hızlı geldi. Jokerden iki adana iki de lahmacun söylemiştik. Her şey çok güzeldi.,10.0,10.0,10.0,1606074795
50 dkyı buldu tatlı akmıştı lezzet açısından da birbirini tutmuyor daha öncesinde daha yağlı bir iç harcı vardı.,8.0,8.0,8.0,1605988395
Abi harikasınız lahmacunlarınız süper sizi seviyorum.,10.0,10.0,10.0,1605988395
Gayet memnun kaldık. Siparişimiz hem lezzetliydi hem de paketleme oldukça özenli yapılmıştı.,10.0,10.0,10.0,1605988395
Lahmacunun kıymadının tadı çok kötüydü kokuyordu :/ noldu eski kıymanıza.,9.0,9.0,1.0,1605988395
Abi ellerinize sağlık süperdi ya kurye abimizde çok saygılı 10 üzerinden 10.,10.0,10.0,10.0,1605988395
Teşekkürler.,10.0,10.0,10.0,1605988395
Lahmacunlar cok güzeldi.,10.0,10.0,10.0,1605988395
"Sıcacık, incecik kaşarlı kıymalı pideler, bayıldık. Havuç tarator gönderilmediği için 1 puan kırdım ama lezzet şahaneeeee.",10.0,9.0,10.0,1605901995
İdare eder.,8.0,8.0,8.0,1605901995
İlk kez sipariş verdim. Yorumlarda yazan her şey doğru lahmacunlari süper.,10.0,10.0,10.0,1605815595
Baklavalık hamur derecesınde ince bir hamur vardı ve çok yağlıydı.,6.0,1.0,1.0,1605815595
"Genel olarak başarılı ve doyurucu, tavsiye edilir.",10.0,10.0,10.0,1605815595
Lahmacun ve ikramları güzel.,10.0,10.0,10.0,1605729195
Çok memnun kaldım çok teşekkür ederim ayrıca ikram çok hoştu.,10.0,10.0,10.0,1605642795
Adana dürüm söyledim 10 numaraydı. Yayında ve yapımda emeği geçen herkesin eline koluna sağlık.,10.0,10.0,10.0,1605642795
"Genel olarak yemekler çok iyi, özellikle lahmacun ve kıymalı pide çok lezzetli. Bol meze koyuyorlar ve hızlı servis yapıyorlar. Ayrıca kuryeler çok kibar.",10.0,10.0,10.0,1605556395
Mukemmel lahmacununuz hayatimda yedigim en guzel lahmacun olabilir elinize sağlık.,10.0,10.0,10.0,1605556395
Güzeldi.,10.0,10.0,10.0,1605556396
Tşk.,10.0,10.0,10.0,1605556396
