comment_text,comment_speed,comment_service,comment_taste,comment_time
Doyurucu fakat lezzetsiz.,8.0,3.0,2.0,1606421727
10 - 10 - 10 abi o nasıl bir tosttur 3 arkadaş zor yedik üstüne gelen sigara börekleri alt komşuya verdik :) kalan son tostuda akşama ayırdık şaka bi yana harikasınız favladık.,10.0,10.0,10.0,1606335327
Teşekkürler.,10.0,10.0,10.0,1606335327
"Lezzetli, doyurucu ve hızlı. İkram için teşekkürler.",10.0,10.0,10.0,1606335327
Double baya doyurucuydu. Tadı da güzel. Hızlı geldi. Getiren arkadaş kibardı. Sonuçta menü güzeldi doyduk.,10.0,10.0,10.0,1606248927
"Kuryeniz tatlı da koyduk demiş poşete, o an anlayamadım ne dediğini. Çok teşekkür ediyorum burdan kendisine her şey çok lezzetliydi.",10.0,10.0,10.0,1606248927
"Normalde yorum yapmam ama, kurye bile o kadar samimiydi ki, hızlı geldi, ikram koymuşlar, her şey çok lezzetli, yorumlara çok da inanmam normalde ama 10 10 alın aldırın.",10.0,10.0,10.0,1606076127
Güzeldi ama patates çok fazlaydı içerisinde teşekkürler.,7.0,7.0,7.0,1606076127
Cidden harikaydı. Doyar mıyız diye düşündüm. Ziyadesiyle yetti. Elinize sağlık.,10.0,10.0,10.0,1605989727
Hem doyurucu hemde ucuz muhteşem bir mekan umarım hiç bozmadan devam edersiniz. Her siparişimizde gönderdiğiniz ikram için de ayrıca teşekkür ederiz.,10.0,10.0,10.0,1605989727
"Özellikle sigara böreği çok lezzetli, inanılmaz hızlılar. Hediye için teşekkürlerrr :).",10.0,10.0,10.0,1605903327
Patates arasi ekmek geldi nazik hediyeler icin teşekkürler.,9.0,10.0,9.0,1605903327
Elinize sağlık gayet lezzetliydi.,10.0,9.0,9.0,1605903327
İkram icin cok tesekkur ediyorum.,10.0,10.0,10.0,1605903327
Fazla malzeme olması yerine kumru gibi olsaydı daha iyi olurdu. Servis ve siparişin zamanında ulaştırılması ile ilgili yorum yok.,9.0,9.0,3.0,1605730527
Efsanee.,10.0,10.0,10.0,1605730527
Ellerinize sağlık süperdi. İkram için ayrı teşekkür ederim çok incesiniz.,10.0,10.0,10.0,1605644127
Teşekkürler.,10.0,10.0,10.0,1605644127
Kumru ve ayvalık tostu yetim doyuran.,10.0,10.0,10.0,1605644127
Makul fiyatlar ve doyurucu yiyecekler ayrica paket servis elamanlarıda cok guleryüzlü.,9.0,9.0,10.0,1605644127
Müthiş doyurucu porsiyonları dolu dolu aşırı aşırı sıcak geldi kurye arkadas çok güleryüzluydu ancak şarküteri ürünleri biraz kalitesiz gibi geldi bana onun dışında ikramlar porsiyonlar hız sıcak gelmesi vs mükemmel.,10.0,10.0,7.0,1605644127
Çok nazik bir kurye gerçekten.,10.0,10.0,10.0,1605644127
Çok lezzetliydi.,10.0,10.0,10.0,1605557727
"Her şey çok güzeldi, özellikle ikram yollanan sigara böreğine bayıldık. Teşekkürler.",8.0,10.0,10.0,1605557727
Tıka basa tek ayvalık tostuyla doyacağınız bir mekan.,10.0,10.0,10.0,1605557727
