comment_text,comment_speed,comment_service,comment_taste,comment_time
General tso istedik ve hem porsiyon hem de tat olarak gayet basarili... Diger cesitleri de deneyecegiz.,8.0,9.0,9.0,1606508216
Special olan tavuk yemeğinizi pek beğenmedim açıkçası ama noodle ve diğer şeyler güzel. Yalnız fiyatlar yüksek. Bu fiyatlara diğer meşhur çin lokantalarıyla rekaber edemezsiniz. Önce adınızı duyurun bence. Kolay gelsin.,10.0,10.0,10.0,1606508216
"Noodle iyiydi, ama ördeği hiç beğenmedim. Dışının çıtır çıtır olması gereken ördekin dışı bildiğiniz siyah geldi. Buna dikkat etkenizi öneriyorum.",6.0,9.0,5.0,1606335416
"Türkiyede yediğim en kötü çorba, uzun bir meyve suyu ve bolca sirke, son sipariş verdiğim zamandı!",10.0,7.0,1.0,1606335416
Acı ekşi çorba güzeldi eriştenin yağ kokusu çok agırdı. Nerdeyse kullanılmıs kızartma yağı kokusu ve tadı aldım... Buram buram ağır yağ kokusu. Eger bpyle bişi yapmıyorsanız yağı değiştirmenizi öneririm bu çok hassas bi konu.,8.0,9.0,5.0,1606335416
Hayatımda yediğim en güzel noodle dı ellerinize sağlık başarılarınız devamını dilerim kolay gelsin.,10.0,10.0,10.0,1606249016
"İnanılmaz lezzetliydi, inanılmaz da, hızlı geldi, ellerinize sağlık!",10.0,9.0,10.0,1606076216
Ankarada yediğim en güzel general tso uydu diyebilirim porsiyonlar oldukça fazla notlarımın her harfini dikkate almalarına sevindim başarılar diliyorum.,10.0,10.0,10.0,1606076216
Geçen sefere göre çok daha başarılıydı. Malzemelerin miktarı biraz artmış sanki.,10.0,10.0,10.0,1605989816
"Hız ve servis iyiydi, kalamarı beğenmedik.",10.0,10.0,8.0,1605989816
Sebzeli noddle ve acili eksili corba soyledim. Ikisi de cok lezzetliydi. Cok kisa surede elime ulasti ve sicacikti. Kurye nazik ve porsiyonlar cok doyurucuydu.,10.0,10.0,10.0,1605989816
"Genel olarak beğendim ancak, noodle porsiyonlarını birazcık küçük bulduk. Bir dana etli bir de tavuk etli aldık. İçinde et bulmak da zordu.",9.0,9.0,9.0,1605903416
Noddle epey bir lapa geliyor artık.,10.0,8.0,8.0,1605903416
Bu kadar puanı nasıl almış anlamadım tam anlamıyla rezalet.,1.0,1.0,1.0,1605817016
Sipariş ettiğim general tsos kalite ve lezzet olarak iyiydi fakat benim gibi jokerle söylerseniz doymazsınız belirteyim.,9.0,9.0,9.0,1605730616
Zencefilli tavuk yumuşamasına rağmen lezzetliydi. Sebzeli noodle biraz tatsız geldi. Porsiyonlar oldukça büyük.,7.0,10.0,7.0,1605557816
Sipariş verdikten 15 dk sonra yola çıkmıştı. Hızları beni şaşırttı. Noodle da lezzetliydi.,10.0,10.0,9.0,1605471416
Lezzet çok iyiydi bir tek ramen i normal noodle kutusu yerine daha yayvan kutu da servis etseniz daha iyi olacak diye düşünüyorum.,9.0,9.0,10.0,1605385016
Noddleların makarnası değişmesi gerek.,9.0,9.0,8.0,1605385016
"Acılı mantarlı tavuk, karidesli noodle ve singapur noodle... Hayatımın en lezzetli yemeğini yedim ha ri ka sı nız!",10.0,10.0,10.0,1605298616
Lezzetli ama biraz pahalı..,10.0,10.0,10.0,1605212216
Çabuk geldi ve gayet sıcaktı. Lezzet bakımından da general tso chickenı oldukça başarılı buldum. Porsiyon da fiyatına uygundu.,10.0,10.0,10.0,1605125816
Yemegi getiren arkadaş cok kibardı. Noodle çok lezzetliydi. Teşekkürler.,10.0,10.0,10.0,1605125816
Sipariş verdiğim anda kurye kapıdaydı. O kadar kısa sürede geldi ki lezzeti de o kadar harikaydı ki gerçekten fiyatını hak ediyor.,10.0,10.0,10.0,1605125816
"Dana etli noodle söylemiştim, çok çabuk geldi ayrıca civarda denediklerim içinden en lezzetlisiydi. Kurye de çok güler yüzlüydü. Hep böyle kalın :).",10.0,10.0,10.0,1605039416
Uzun zamandır yedigim en güzel noodle dı. Servis e gelen kurye arkadas cok kibardı tesekkurler. Başarılarınızın devamını dilerim. :).,10.0,10.0,10.0,1605039416
"Bu kadar da kuru lavaş olur mu? Mikrodalgada galiba ısıtılmış, ama maalesef cok kuru ((( tavukları onlara sarıp yımededık( çorba fena değil, ama malzemesin biraz daha arttıra biliridiniz, soya tadı fazla geldi. Çok acı olmamasını rica ettim, sağolsun notuma dikkat edilmiş.",10.0,7.0,7.0,1605039416
"Fiyatı uygun olsa her gün söylenir, güzeldi.",10.0,10.0,10.0,1605039416
Geç ve soğuk geldiğinden dolayı tadından bir şey anlayamadık.,1.0,1.0,1.0,1604866616
Denemeye değer.,10.0,10.0,10.0,1604693816
Gayet iyi! Ayrıca noodle yanına gelen ikram cevizler muhteşem!,10.0,10.0,10.0,1604607417
Kurye çok kibar ve hızlıydı. Lezzet de gayet güzel öneririm.,9.0,9.0,9.0,1604521017
Noodle yerine tatli eksi tavuk geldi ama tadi o kadar muazzamdi ki sinir falan kalmadi. Bi kazan olsa yerdim ellerinize saglik.,9.0,9.0,10.0,1604434617
Noodle çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1604434617
"Hem hızlı geldi hem de siparişler oldukça lezzetliydi, teşekkürler.",9.0,9.0,9.0,1604261817
İleri zamanlı istediğimiz saatten daha erken geldi eve zor yetiştik.. Ayrıca porsiyonlar inanılmaz küçük ve tuzsuzdu soya sosu kullanıp nasıl bu kadar tuzsuz yapılabildi hayret ettik doğrusu...,10.0,10.0,8.0,1604261817
Sebzeli dana eti çok lezzetliydi ancak pilavı beğenmedim. Yanına soya sosu koymamanız büyük eksik :(.,8.0,6.0,7.0,1604261817
Acılı ekşili çorba çok iyi..,9.0,9.0,9.0,1604175417
Yediğim en iyi noodlelardan biriydi. Kesinlikle tekrar sipariş vereceğim.,10.0,10.0,10.0,1604175417
"Sebzeli noodle siparişi verdim. Vasattı, içinde brokoli bile yoktu. Evime yürüyerek bile 5 dakika uzaklıkta olan yerden 40 dakikaya yakın sürede geldi.",4.0,7.0,5.0,1604089017
Acılı ekşili çorbası ve noodle ı harikaydı.,10.0,10.0,10.0,1604002617
Çok lezzetli ve hizli kesinlikle tavsiye ederim.,10.0,10.0,10.0,1604002617
"İlk kez sipariş verdim ve çok memnun kaldım. Paketlemesi sorunsuzdu, notlarımı dikkate almışlardı. İşletmecisi aşırı kibar ve ilgili bir hanımefendi:) kuryeleri içeceği unutup hemen geri getirdi arayınca o da çok kibardı. General tavuk çok başarılıydı. Her şey için teşekkürler:).",10.0,10.0,10.0,1603916217
Acılı ekşili karidesli çorba efsaneydi.,10.0,10.0,10.0,1603878471
Acılı ekşili çorba ve noddle çeşitleri harika.,9.0,9.0,9.0,1603878471
Servis hız güzel. Ancak makarnanızı değiştirmenizi öneriyorum. Kafe makarnası gibi olmuş. İleri zamanlarda sistemin oturacağını öngörüyorum. İyi çalışmalar.,10.0,10.0,8.0,1603878471
Dana etli noddle gerçekten başarılıydı.,9.0,9.0,9.0,1603878471
Gerçekten çok şaşırtıcı şekilde güzeldi tavuklar çok beğendim getiren kuryelerin bile eli eldivenliydi çok dikkatimi çekti on üzerinden on numara ellerinize sağlık.,10.0,10.0,10.0,1603878471
Ankarada yediğim en güzel kızarmış dondurmaydı diyebilirim. Üstündeki bal ayrı lezzet katmış yanındaki ballı cevize bayıldım.,10.0,8.0,10.0,1603878471
Yediğim en güzel sebzeli noodledı sebzeler hem cok bol hem de cok taze ve canliydi noodle tam istedigim sekilde pismisti. Cok hizli geldi. Siddetle tavsiye ediyorum.,10.0,10.0,10.0,1603878471
Sebzeli noodle ın içindeki brokoliler tamamen çiğdi. Çiğ brokoli yemek istesek salata söylerdik. Ayrıca brokoli biber ve soğandan başka hiç sebze yoktu içinde. Yanında bir soya sosu bile göndermemişsiniz. Olmadı.,8.0,4.0,4.0,1603878471
Gayet sicak ve hizli geldi bayildimm yedigim en guzel vegatable noodleydi.,8.0,9.0,10.0,1603878471
