comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzel.,10.0,10.0,10.0,1606508284
:) guzel.,10.0,10.0,10.0,1606508284
Çok hızlı geldi tadıda gayet iyidi ellerinize sağlık.,10.0,10.0,10.0,1606421884
Güzel.,9.0,9.0,9.0,1606335484
Guzeldı.,9.0,9.0,9.0,1606335484
Bir tane tantuniyi 10 dakikaya getirdirler. Baya iyiydi. Teşekkürler.,10.0,10.0,10.0,1606335484
Ellerinize sağlık muazzam bir lezzet teşekkürler erdemli tantuni.,10.0,10.0,10.0,1606335484
Tıka basa doyduk.,10.0,10.0,10.0,1606335484
Herşey için teşekkürler.,10.0,10.0,10.0,1606335484
Durumun ici bos gibiydi lavasdan ete ulasamadim.,7.0,7.0,5.0,1606249084
Fena değil.,8.0,8.0,8.0,1606249084
Tatsız ve porsiyon çocuk menüsü gibiydi.,8.0,5.0,1.0,1606162684
"Biraz yavaş geldi ama yemekler geldiğinde sıcaktı, tek sıkıntım limonla turşuyu aynı buzdolabı poşetine koyup bağlamışlar ondan çok hoşlanmadım. Ama tadı gayet güzeldi doyurmuyo diyenlere inanıp bi durum bi ekmek arası söyledik ama dürüm bile tek başına doyurdu malzmesi bol normalden büyük porsiyon.",7.0,8.0,9.0,1606162684
Çoookk yavas geldi kendi kendimize ısıtıp yedik işte.,1.0,6.0,7.0,1606076284
Memleketlim olduğunuz için içimden düşük vermek asla gelmese de yağı çok az geldi ve buz gibiydi :( aslında mekanda da yeme fırsatım olmuştu orda güzeldi. Umarım düzeltirsiniz :).,8.0,10.0,5.0,1606076284
"Çekik gözlü usta eline sağlık güzeldi, gede çalışan kurye arkadaş emeğine sağlık nazikti sipariş verip gelip alan kurye.",10.0,10.0,10.0,1606076284
Hem cok hızlıydı hem de çok lezzetli.,10.0,10.0,10.0,1606076284
3ü 5i bilmem çok güzeldi.,10.0,10.0,10.0,1606076284
Hız lezzet harikaydı gece 1de iyi geldi.,10.0,10.0,10.0,1606076284
Bi önceki yediğim daha iyiydi tavuk bi garip geldi.,8.0,8.0,7.0,1606076284
Güzel.,10.0,10.0,8.0,1605903484
Keşke biraz tavuk koysaydınız ekmek yedik sadece.,10.0,8.0,6.0,1605903484
"Tam 1 saatte geldi, etler buz gibi taş olmuş. Böyle gönderceğinize göndermeyin. Yazık günah çöpe atmak zorunda kalıyoruz.",4.0,7.0,4.0,1605903484
"1 saatlik süre sonunda geldi. Tr afik vardı herhalde, veya fazla yoğunlukları var vs. Vs. Vs.",1.0,8.0,8.0,1605903484
Harika ötesi doyurucu.,10.0,10.0,10.0,1605903484
Lezizdi beğendik.,10.0,10.0,10.0,1605903484
Buz gibiydi tadının iyi olup olmadığını anlamadık bile gerçekten biraz saygı.,1.0,5.0,1.0,1605903484
Ustanın ellerine sağlık fiyat performansı çok güzel.,10.0,10.0,10.0,1605903484
"Ben böyle hız görmedim 11 dakikada geldi, 2 tane söylemenizde yarar var.",10.0,9.0,9.0,1605817084
Gelen kurye arkadaş sanki zorla getirtmişiz gibi tavırla geldi iyi akşamlar abi dedim adam sıratıma öyle bi baktıki neyse boşver dedim kartı verdim slimi pos cihazımdan bi çekişi var sanki kılıç çekiyo giderkende aynı tavrı sergiledi bir daha söylemem net.,1.0,1.0,1.0,1605817084
"Çok hızlı, notları dikkate alıyorlar ama tabi lezzetini fiyatına göre değerlendirmekte fayda var.",10.0,9.0,8.0,1605817085
Gönderim 1. 5 saat sürdü anca ben arayınca çıkardılar servisi.,1.0,1.0,1.0,1605817085
Farklı bi lezzet yoktu standart.,10.0,10.0,10.0,1605817085
Doyurucu değildi üstelik 1. 5 porsiyondu.,10.0,6.0,10.0,1605817085
"Cok iyi bir indirim yapildigini gorunce denedim ve cok memnum kaldim. 1 puani da sekersiz kola istememe ragmen normal kola geldi, o yuzden kirdim. Gayet lezzetli.",10.0,9.0,10.0,1605730685
"Yarım saatte geldi, sıcaktı. Fiyat performans ve lezzet gayet iyiydi. Puana aldanıp çekinmiştim ama hata etmişim. Gönül rahatlığı ile söyleyin.",10.0,10.0,10.0,1605730685
Tavuk tantuni değildi ama yeniyor.,8.0,8.0,7.0,1605730685
Dürüm ekmek kadar başarılı deil malesef doyurucu deil lezzet olarak farkediyor.,9.0,9.0,6.0,1605644285
Berbat.,1.0,1.0,1.0,1605644285
"Beğendik, ellerinize sağlık.",10.0,10.0,10.0,1605557885
Kralllarr.,10.0,10.0,10.0,1605557885
Lezzetli olsa da çok yağlıydı ayranlar büyük almama rağmen küçük geldi.,8.0,7.0,8.0,1605298685
Kuryenizin tavırları çok iticiydi düzgün güleryüzlü insanlarla çalışın.,1.0,1.0,5.0,1605298685
Nerdeyse daha telefonu kapatmadan geldi. Çok hızlı ve lezzetli.,10.0,10.0,10.0,1605298685
Eti haşlama gibiydi.,1.0,1.0,1.0,1605298685
Basarılı.,10.0,9.0,8.0,1605298685
Hızlı ve lezzetli.,10.0,10.0,10.0,1605298685
Çok iyi yaaaa... Hele hız müthiş.,10.0,10.0,10.0,1605212285
Ekmek çok kuruydu onun dışında iyi. Puanı çorbadan kırdım. Gerçekten çorba hayal kırıklığı.,7.0,7.0,6.0,1605212285
Tuzu hiç yoktu ve yoğurt dokundurup çekilmiş gibiydi ama elinize sağlık.,6.0,6.0,8.0,1605212285
Lezzetli ve hızlı.,10.0,10.0,10.0,1605212285
"Çok güzeldi, açıkçası bu kadar tşlanmış olmasına anlam veremedim.",10.0,10.0,10.0,1605212285
Her zamanki gibi cok iyi sağolun.,10.0,10.0,10.0,1605212285
Kuryenin saygisizligi o siparişi verirken o poseti sallayisi dalga geçer gibi davranması çok itici ve kaba.,1.0,1.0,10.0,1605125885
Özellikle soğansız istemiştim sizde özellikle soğanlı getirdiğiniz için ayrıca teşekkürler...,3.0,1.0,1.0,1605039485
Gerçekten bi arkadaşın yorumu doğruymuş gerçek tantuniyle alakası yok.,1.0,1.0,1.0,1605039485
Yiyebilceginin en kötüsü.,1.0,1.0,1.0,1605039485
"Yogurtlu tantuniyi anlatamam, siparis edin ve yasayin. Kesinlikle dogru adres burasi.",10.0,10.0,10.0,1605039485
Plastik çatal bıçak istemiyorum dememe rağmen bir sürü plastik şey göndermişsiniz.,10.0,5.0,6.0,1604953086
Hız ve servis çok iyidi ama bu paraya bu porisyon çok yetersiz.,10.0,10.0,5.0,1604953086
"Xl somun ekmek gercekten olmasi gerektigi gibi xl. Bana bunlarla gelin. Doyuruculuk onemli. Doymadigim servise 10 vermem, 10u haketti.",9.0,10.0,9.0,1604866686
Mersine gidip tantuni öğrenin bilmeden tantunici açıyorsunuz sevinirim.,1.0,1.0,1.0,1604866686
Er istedik tavuk getirdiler 3 istedik 4 ad dürüm geldi.,1.0,1.0,1.0,1604866686
Personel bekletti.,7.0,1.0,7.0,1604780286
İyiydi.,9.0,9.0,9.0,1604780286
Güzel ve hızlı favorim.,10.0,10.0,10.0,1604780286
"Çok yağlıydı, ekipçe midemiz bozuldu.",6.0,8.0,5.0,1604693886
Lezzet çok iyi ama 1 tane dürüm doyurmuyor maalesef.,10.0,8.0,10.0,1604607486
Mükemmel hız ve lezzet favorim.,10.0,10.0,10.0,1604521086
Çorbayı çok beğenmedim. Xl ekmek baya büyükmüş. Gayet doyurucu ve lezzetli.,10.0,10.0,9.0,1604521086
Güzel hızlı.,10.0,10.0,10.0,1604434686
Harikaydı.,10.0,10.0,10.0,1604348286
Ankarada yediğim şuan en lezzetli tantuni...,10.0,10.0,10.0,1604348286
"Standartları koruyorlar, fiyat performans çok iyi.",10.0,9.0,8.0,1604348286
Gece çok geç bir saat olduğu için miydi bilmiyorum ama ekmek biraz bayatlamıştı o da güzelleşirse tadından yenmez. Favoriledim.,9.0,10.0,8.0,1604261886
Dürümler çok kuru ve tatsız.,10.0,10.0,1.0,1604261886
Beğenmedim.,8.0,8.0,8.0,1604261886
"İlk defa yoğurtlu tantuni denedim, denenmeye değerdi gerçekten, işini iyi yapan bir restoran emeğinize sağlık.",10.0,10.0,10.0,1604261886
İnanılmaz bir tattı tantuninin yöresi erdemliye yakışır bir lezzet.,10.0,10.0,10.0,1604175486
Ekmekleri düzeltirseniz çok daha lezzetli olacak eski tadı yok.,9.0,9.0,6.0,1604175486
Süper servis süper tat.,10.0,10.0,10.0,1604089086
Iyiydi.,9.0,8.0,9.0,1604089086
Her şey için teşekkürler.,10.0,10.0,10.0,1604002686
Yaklaşık 50 dk da geldi ben beğenmedim bir daha tercih etmem özellikle yoğurtlu olanı..,4.0,6.0,3.0,1604002686
Parasına göre iyi lezzeti var ve çok çabuk geldi. Soğuk olması dışında bir sorun yoktu o sorun da yoldan kaynaklanıyor olabilir. Çok iyi değil ama verdiğin paraya göre güzel bir hizmet.,10.0,9.0,7.0,1603916286
Eh iste.. Paketler tek poşete üst üste konulunca sıkıştırılmış ekmek yedik mecburen..,8.0,8.0,8.0,1603878540
Mükemmeldi.,10.0,10.0,10.0,1603878540
Tantuni böyle bişey degil.,9.0,7.0,2.0,1603878540
Her şey için teşekkürler.,10.0,10.0,10.0,1603878541
Gayet güzel.,10.0,10.0,10.0,1603878541
Kurye kesinlikle kaba bir insandı lezzeti beğendiğim halde bu oldukça mutsuzluk vericiydi.,8.0,6.0,9.0,1603878541
Asker selamı yolluyorum sizleree.,10.0,10.0,10.0,1603878541
Biraz kuruydu onun dışında fiyatına göre porsiyonu normal tercih edilebilir.,9.0,9.0,8.0,1603878541
Gayet başarılı.,10.0,10.0,10.0,1603878541
Harika dostum.,10.0,10.0,10.0,1603878541
"Çoğu zaman tercih eddiğimiz yer, hızı muhteşem.",10.0,8.0,9.0,1603878541
"Lavaş seçiminiz yanlış, bilen ustalarla çalıştıgınız belli bir mersinli olarak size tek tavsiyem bu ucuz ince etsiz çiğköfte lavaşını acilen bırakmanız ve bildiğimiz taş fırın lavaşında servis etmeniz. Belki 25 50 kuruş daha maliyetli olur ama bütün ankara gerçek tantuniyi tadıp müptelası olur.",9.0,6.0,8.0,1603878541
Üzülerek söylüyorum ki 2 tane tavuk tantuni siparişi verdim. Yemek zamanında geldi. Ancak tavuklardan kötü koku geliyordu bozulmaya yakın veya bozulmuş gibiydi. Yemeden çöpe attım. Arkadaşıma mahcup oldum.,1.0,1.0,1.0,1603878541
İyiydi.,10.0,10.0,10.0,1603878541
Kuryeye servisciye ustaya garsona ona buna mekanda ki tüm çalışanlara teşekkür ederim.,10.0,10.0,10.0,1603878541
