comment_text,comment_speed,comment_service,comment_taste,comment_time
Gayet hızlı ve sıcak geldi.,9.0,9.0,9.0,1606509057
"Gerçekten çok hızlı geldi, kurye çok beyefendi biriydi, bahşiş alışkanlığı olmayan ben bile dayanamadım. Pizzayıda beğendik, teşekkür ederiz.",10.0,9.0,9.0,1606509057
"Pişmemiş! Kutunun içinde dağılmış! Salça kokan bir pizza geldi... Üzücü bu zaman da gerçekten üzücü,.",8.0,6.0,4.0,1606422657
Hakkaniyetli yazıyorum önceki söylediğimizden kötüydü maalesef tavuğun gramajı çok azaltmışsınız gelen pizzaya 30 tl verilmezdi sadece acı soslu hamur yedik. Hız ve servisiniz de sıkıntı yok ama nedense belli bir beğeniye ve düzeye ulaşmış firmalar bu rahatlığı gosterebiliyor maalesef.,9.0,10.0,5.0,1606422657
Kalın hamur istememe tağmen ince hamur geldi ve tadını beğenmedim.,1.0,1.0,1.0,1606422657
Kurye abinin adını unuttum servet yada serbestti galiba ama kendini çok iyi biriydi pizzalarda fena değil tavsiye ederim onu için.,10.0,10.0,7.0,1606336257
İlk defa sipariş vermiştim pizzanın lezzeti maalesef pek iyi değildi sanki bir gün önceki pizza ısıtılıp getirilmiş gibiydi çok şaşırdım. 25 dakika da baya hızlı bir şekilde gelmesine rağmen bile ılıktı. Geç bir saatte sipariş vermemiştim. Baya üzücüydü. İyi çalışmalar.,10.0,10.0,6.0,1606336257
"Hız ve servis çok iyi, lezzet ortalama.",10.0,10.0,7.0,1606336257
Pizza çok iyi ancak kalın hamur seçmiştim gelen ince gibiydi emin olamadım.,10.0,8.0,10.0,1606336257
2 tane büyük boy pizza sipariş ettik yanında 1 ketçap 1 mayonez 1 tanede ıslak mendil göndermişler. Ben ketçabımı mayonezimi kullanırken diğer arkadaşım beni izledi elini bile silemedi.,8.0,3.0,5.0,1606249857
Hızlı teslimat gerçekleşti. Malzeme kalitesi çok yüksek bir pizzaydı.,10.0,10.0,10.0,1606249857
Pizza tam pişmemişti hamur gibiydi.,10.0,9.0,7.0,1606163457
Sufleniz çok başarılıydı teşekkürler.,8.0,9.0,10.0,1606163457
Diğer yerler fiyatı fazla olmasına ragmen kus kadar malzeme koyuyorlar. Burası hiç öyle değil begendimm.,9.0,9.0,9.0,1606077057
Kısa sürede geldi çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1606077057
Tavuk taco guzeldi. Doyuruculugu bazı kesimleri tatmin etmeyebilir.,10.0,9.0,10.0,1606077057
Pizzanız güzeldi ve sıcak geldi malzeme lezzetli ve boldu ama ne yazık ki pişmesi gerekenden az pismisti hamuru yeterince pismemisti o yüzden midemize oturdu o da düzelirse tekrar denenebilir.,10.0,8.0,8.0,1605990657
Her zamanki gibi sıcak ve lezzetliydi.,10.0,10.0,10.0,1605904257
Harika.,10.0,10.0,10.0,1605817857
Mğkemmel.,10.0,10.0,10.0,1605731457
Tadı çok abartılmış bu fiyatşara çok daha iyi pizza bulunur. Pek tadı tuzu yok özellikle kremalı pizzaların:ç. Kurye de evi bulamadığı için gelene kadar peynirler geri donmuştu.,3.0,3.0,6.0,1605645057
Çok lezzetli teşekkürler.,10.0,10.0,10.0,1605645057
"Yemeklerin tadları mükemmel, gayet güzel bir şekilde teslimat yapıldı, memnun kaldım :).",10.0,10.0,10.0,1605645057
Pizzanın hamuru pide hamuru ayarındaydı. Fena değildi. Lezzeti ortalama. Orta boy pizzalar 28cm değil daha küçük. F/p pizzası.,9.0,10.0,8.0,1605645057
Vejeteryan pizzanıza bayıldım elinize sağlık.,10.0,10.0,10.0,1605645057
Şu pandemi döneminde temiz titiz bir yer bulmak çok önemliydi. Ellerinize sağlık. Gönül rahatlığıyla yedim. Herkese tavsiye ederim.,10.0,10.0,10.0,1605645057
Bana göre pizza için en önemli malzemeler hamur ve peynirdir sizde ikisi de çok lezzetli bunun yanında pizzanın üzerindeki ürünler de kaliteli ve sağlıklı görünüyor. Daha fazla puanı hak ediyorsunuz. Teşekkürler.,10.0,10.0,10.0,1605558657
Yorumlara bakıp 3 peynirli pizzayı denedim çok beğendim.,10.0,10.0,10.0,1605472257
25 indirim olduğu için sipariş verdim. Mantarlı pizza çok çok iyiydi. Ben karışık pizza sevmiyorum ama oğlum bayıla bayıla yedi. Hız ve servisle beraber 10 puanı hakkediyorsunuz ve yeni bir müşteri kazandınız. Teşekkürler.,10.0,10.0,10.0,1605472257
10 numero...,10.0,10.0,10.0,1605385857
Karışık rossi gerçekten lezzetlidir. Üstelik çok kısa zamanda getirdiler. Servis gayet hızlı. Değerlendirmenizi tavsiye ederim.,10.0,10.0,10.0,1605385858
Allahım bu kadar lezzetli bir yemek olamaz sosları baharatı acısı tam krallara layık bir tat. Çok da ekonomik... Bir gurme olarak lezzetinize hayran kaldım. Bundan sonra bütün menülerinizi tadacağım eminim hepsi muhteşemdir... Ha bu arada hızlı gelen servisi de asla gözden kaçmamalı.. Artık sizleyim.,10.0,10.0,10.0,1605299458
Vermiş olduğum menüde 1 orta boy pizza 2 kutu icecek 1 ortaboy patates olmasina rağmen 1 ortaboy pizza 1 kutu kola geldi diğer kutu kola ve ortaboy patates kızartması gelmedi.,9.0,4.0,9.0,1605299458
Taco gerçekten fiyatını hak eden bir ürün. Lezzetli ve sıcaktı.,10.0,10.0,10.0,1605299458
"Siparişim oldukça hızlı geldi, siparişi getiren arkadaş çok nazikti, hijyen ve sosyal mesafe kuralları konusunda da oldukça profesyonel davrandı, lezzeti harikaydı, ayrıca fiyatı da çok uygun, fiyat, kalite ve lezzet konusunda oldukça başarılı bir hizmet sundu, teşekkürler capello pizza.",10.0,10.0,10.0,1605213058
Tam istediğim gibi. İnce hamurlu ve bol malzemeli. Elinize sağlık.,10.0,10.0,10.0,1605213058
Margherita buffon pizzayı öneririm. Elinize sağlık.,10.0,10.0,10.0,1605213058
3 peynirli pizzayı gerçekten güzel yapıyorlar. Ustaların ellerine sağlık.,10.0,10.0,10.0,1605213058
Pizzaları lezzetli. Hamurun inceliğini ve seçilen peynirleri sevdim. Ellerinize sağlık.,10.0,10.0,10.0,1605213058
Pizzaları gerçekten lezzetli ve kullanılan malzemeleri kaliteli ürünlerden aralarından seçiyorlar. Ellerinize sağlık.,10.0,10.0,10.0,1605213058
Son zamanlarda yediğim en güzel pizza. Elinize sağlık.,10.0,10.0,10.0,1605213058
Kalın hamur istedim ince geldi ekstra parasını vermeme rağmen lezzeti de güzel değildi.,8.0,8.0,3.0,1605213058
Yedigim en kotu pizzaydi 3 peynirli ayri kötü tavuklu ayri kötüydü.,8.0,1.0,1.0,1605213058
Harika.,10.0,10.0,10.0,1605126658
Jokere göre iyi.,9.0,8.0,9.0,1605126658
Uzun süre sonra yediğim en iyi pizza.,10.0,10.0,10.0,1605040258
Çok iyi olmuş.,10.0,10.0,10.0,1605040258
Hız 10 servis 10 lezzett 10 daha azı haksızlık olurdu. Elinize sağlık böyle devam edin lütfen.,10.0,10.0,10.0,1605040258
"Kaliteli malzeme kullandıkları belli oluyor. Pizzaları da çok lezzetliydi, tavsiye ederim.",10.0,10.0,10.0,1604953858
Adem ustanin elinden olan tum yemeklerde sevgi var. Ellerine saglik. Mukemmel bir lezzet kesinlikle. Herkese tavsiye ederim. Bu lezzeti herkes kesinlikle denemeli. Ben evde yemek yemiyorum artık cunku adem usta var.,10.0,10.0,10.0,1604953858
Kola unutulmuştu ama telafi ettiler. Hızlı ve lezzetliydi.,10.0,10.0,10.0,1604867458
Dört peynirli pizzası mantarla beraber çok güzel oluyor. Gayet hızlı ve güzel geldi tavsiye ederim.,10.0,10.0,9.0,1604867458
Gecenin bir saati sağolsunlar adresi yanlış vermeme rağmen evime kadar getirdiler. Lezzetli keyifli ince malzemesi bol pizzası. Elinize saglik.,10.0,10.0,10.0,1604867458
Peyniri biraz daha cok olsa keske onun disinda cok guzeel) tatli icin de tesekkurler.,10.0,9.0,9.0,1604867458
"Hep indirim olsun hep siparis edelim. Lezzet, hiz, servis mukemmel...",10.0,10.0,10.0,1604867458
Elinize sağlık. Bir tavsiye olarak calzone seçeneğinide eklerseniz güzel olur.,9.0,9.0,9.0,1604694658
Aga o pizzaya o fiyat çok bence hazır pizza gibi duruyo bence ve tavuk eti sucuğu sucuk değildir.,10.0,8.0,8.0,1604694658
Çok güzel. Elinize sağlık.,10.0,10.0,10.0,1604608258
Pizza gercekten guzeldi. Malzemeler kaliteli ve bol. Sos biraz daha fazla olabilirdi. Guvecte suffle ise standartlarin uzerinde. Gönül rahatligiyla tercih edilebilir.,10.0,10.0,10.0,1604608258
Pizza ve sufle çok güzeldi. Kıyma biraz daha fazla olabilirdi. Teşekkürler. Elinize sağlık.,10.0,9.0,9.0,1604608258
Güzel ince hamur bol malzemeli ve hizli.,10.0,10.0,10.0,1604608259
Pizza bir harika kullanılan malzemeler çok kaliteli. 7. Katta oturuyoruz asansörümiz bozuk kuryenin o kadar kat çıkıp diğer kuryeler gibi yüz asmaması takdire şayan çok teşekkür ederiz tekrardan :).,10.0,10.0,10.0,1604608259
"Sosunu az istedim ve öyle geldi, çok beğendim. Her zamanki gibi lezzetli teşekkürler.",10.0,10.0,10.0,1604608259
Beklentilerimin ötesindeydi ben daha önce böyle güzel ve güveçte sufle yemedim rahatlıkla tercih edilebilir.,10.0,10.0,10.0,1604608259
Guzeldi elinize sağlık.,10.0,10.0,10.0,1604521859
"Pizzamızın birini ekstra malzemeli istemiştik ve ona göre ücret ödedik ancak ekstra malzeme konulmamış. Biraz geç ve soğuk geldi, patatesler kötüydü.",7.0,4.0,8.0,1604521859
Napoli pizzanın geri dönmesi sevindirdi. Çok lezzetli.,10.0,10.0,10.0,1604435459
Tadı güzel hızı güzel servisi güzel tercih edebilirsiniz.,10.0,10.0,10.0,1604349059
Güzel.,10.0,10.0,10.0,1604349059
Sufle güzel.,10.0,10.0,10.0,1604349059
