food_id,food_name,food_price,food_category,food_score
4AE31F18-F9C0-4418-9C29-8FA12B1E52C9,İzmir Usulü Kuzu Kelle Söğüş Dürüm Menü,"120,00 TL",Menüler,13.0
C2FA9EDA-929A-4A3B-9842-8D6C49D336ED,Beyin Salatası,"30,00 TL",Söğüşler,5.0
a553742f-e3f4-40e0-87fe-db922d20cc6e,Hamsiköy Sütlacı,"12,00 TL",Tatlılar,10.0
21e89049-ce8d-438c-9753-ef7146c72f48,Niğde Gazozu (25 cl.),"5,00 TL",İçecekler,5.0
6589b634-6c3b-43fb-8c4a-57764c705dd0,Ali Göde Şalgam Suyu (33 cl.),"5,00 TL",İçecekler,5.0
3edad006-a4cf-4092-940f-5da7995668e3,"Özerhisar Ayran (24,5 cl.)","5,00 TL",İçecekler,5.0
0796be8b-22c3-46e3-9029-e852d13bf75d,Beypazarı Limonlu Soda (20 cl.),"2,00 TL",İçecekler,5.0
14bd7a52-b53c-4a52-8fdc-423a1f48229c,Beypazarı Soda (20 cl.),"2,00 TL",İçecekler,5.0
a2e8aee7-4131-48e6-8c6c-34c422373483,Damla Su (50 cl.),"2,00 TL",İçecekler,5.0
62fef9ef-ffe6-4b7d-b96f-f68310e6624a,Özer Hisar Ayran (1 L.),"15,00 TL",İçecekler,5.0
4616bee7-4c0a-4b4f-80c5-b3934588dac9,Poşet,"0,25 TL",Poşet,5.0
