comment_text,comment_speed,comment_service,comment_taste,comment_time
Harikaydı artık hep buradan yiyeceğim.,9.0,10.0,10.0,1606509515
Sanayi tostunda en iyisi.,10.0,10.0,10.0,1606509515
Sanayi tostu 5 aydir yiyorm ama kasap sanayi tosta bayildm.. Cok lezetliydi. Elinize sglik.,10.0,10.0,10.0,1606423115
Tşkler.,10.0,10.0,10.0,1606423115
Buradan verdigim her sipariş geldiginde hala ağız yakacak kadar sıcak ama aldirmadan yedirecek kadar lezzetli oluyor.,10.0,10.0,10.0,1606423115
Teşekkür ederim.,9.0,9.0,9.0,1606336715
Evdekinin aynısı.,6.0,10.0,10.0,1606250315
Kurye arkadaş 10 puanı haketti.,10.0,10.0,10.0,1606163915
Sanayi tostu söylemiştim fazlasıyla doyurucu ve lezetliydi hiç şüphe etmeden söyleyebilirsiniz.,10.0,10.0,10.0,1606163915
Tavuklu kesinlikle tavsiye etmem ama saçmeli ve cheddarlı özel tost bence harikaydı.,8.0,8.0,9.0,1606163915
Çok güzel bu işi yapıyorlar.,10.0,10.0,10.0,1606077515
Çok iyi.,10.0,10.0,10.0,1605904715
Teşekkür ederim.,9.0,9.0,9.0,1605645515
"Ne beklediğinize göre yorumum farklı değerlendirilebilir ama hani küçük bir kenar mahalle tostçusu, sadece tost yapar ama en lezzetli tostları yapar ya )işte orası ).",10.0,10.0,10.0,1605559115
Çok hoş idi.,9.0,10.0,9.0,1605559115
Malzemesi boldu ama bence biraz daha çıtır olması gerekirdi tostun. İçindeki peynirler de tam erimemişti çünkü. Elinize sağlık.,9.0,9.0,8.0,1605472715
Kavurmalı tostun kavurması biraz daha fazla olurda iui olur.,10.0,10.0,10.0,1605472715
"Kasap sucuklu kaşarlı tostunuz çok güzel, 2 senedir vazgeçilmez tostçumuz.",10.0,10.0,10.0,1605386315
Ben nedense pek sevemedim içinde ki malzemeden dolayı ama tosu sosislisinden daha iyi ona eminim.,8.0,8.0,7.0,1605386315
"Her şey harika, kurye güler yüzlü ve servis eksiksizdi.",10.0,10.0,10.0,1605299915
Portakal suyu gerçekten taze ve çok güzeldi.,10.0,10.0,10.0,1605299915
Best.,10.0,10.0,10.0,1605299915
Teşekkür ederim.,9.0,9.0,9.0,1605213515
Her şekilde 10 numarasınız. Ellerinize sağlık :).,10.0,10.0,10.0,1605040715
Başarılı. Tekrar sipariş vereceğim.,10.0,10.0,10.0,1604954315
"Dost dediğin budur arkadaş. O ne öyle saçma sapan tostlar. Helalinden insan doyuran, lezzetli bir tost. Adabı vardır tost yemenin. Şaka bir yana çok güzel bir tosttu. Tek eksiği birazcık tuz olabilir lakin o da sağlık koşulları gereği tüm insanlara uygun olmayan bir şey olabilir. Ellerinize sağlık.",10.0,10.0,10.0,1604954315
Lezzeti mükemmel servisi de fena değildi kurye biraz daha profesyonel olursa kusursuz olacak.,9.0,9.0,10.0,1604867915
Peynirli tostunuza bayildiiiiik. Ellerinize saglik cok guzel olmus :).,10.0,10.0,10.0,1604867915
"Çok yavaş, kuru.. /.",1.0,1.0,1.0,1604867915
"Bol malzemeli, doyurucu,. Tum ekmek.",9.0,9.0,9.0,1604867916
Karisik sanayi tost cok cok iyi bayildm elinize saglik.,10.0,10.0,10.0,1604608716
Süper.,10.0,10.0,10.0,1604608716
"Sanayi tostunuz mukemmel, yalniz ayvalık bugün pismemisti icindekiler.",9.0,9.0,9.0,1604608716
Perfect.,10.0,10.0,10.0,1604608716
Cix.,9.0,9.0,9.0,1604522316
Her zamanki gibi çok güzel.,10.0,10.0,10.0,1604522316
"Yemeksepetinde en çok sipariş verdiğim restoran, sanayi tostunu çok beğeniyorum. Bu siparişte tostun içerisinde yumurta ya yoktu, ya da yok denecek kadar azdı.",9.0,9.0,7.0,1604522316
Aşırı güzeldi. Hele soğan halkası tüm zincir mağazaların en iyi soğan halkasıydı.,10.0,10.0,10.0,1604522316
Kendi evinizde tost içini bu kadar doldurmadığınıza eminim.,10.0,10.0,10.0,1604435916
Daha iyisi yok..,10.0,10.0,10.0,1604435916
Good.,9.0,9.0,9.0,1604263116
Çok iyi.,10.0,10.0,10.0,1604176716
Gayet iyiydi.,10.0,10.0,10.0,1604176716
Teşekkür ederim.,9.0,9.0,9.0,1604176716
Çok iyi ama sanayi tostu pahalı.,10.0,10.0,10.0,1604090316
Çok güzeldi.,10.0,10.0,10.0,1604090316
Sanayi tostu effsane.,10.0,10.0,10.0,1604090316
En iyi ayvalik tostu sizden!,10.0,10.0,10.0,1604003916
Temassız teslimatın ne oldugunu bilmeyen bir işletme. Kurye resmen beni azarladı kaç dakikadır kapıya vuruyorum diye kapıya yemegi bırakıp gitmesi gerekiyordu? Daha da sipariş vermem pes!,1.0,1.0,1.0,1604003916
Lezzet olarak çok kötüydü bir daha tercih etmiyecegim bir yer.,2.0,1.0,1.0,1604003916
Sanayi tostu söylemiştim ama yumurtası ya yoktu ya da cok azdı tadını hiç almadım onun dışında kalan malzemeler boldu.,7.0,8.0,7.0,1603879770
Hizli ve sicak geldi tostum. Tskler.,10.0,10.0,10.0,1603879770
Her zamanki gibi harika!,10.0,10.0,10.0,1603879770
Güxrl tşk.,9.0,9.0,9.0,1603879770
Nnn.,9.0,9.0,9.0,1603879770
Çok hızlı geldi. 10 numara.,10.0,10.0,10.0,1603879770
Yine harika.,10.0,10.0,10.0,1603879770
İslak hamburgeri gercekten cok iyiydi.,10.0,10.0,10.0,1603879770
Sanayi tosta bayildim. 10 uzerinden 100... Elinize saglik.,10.0,10.0,10.0,1603879771
Sanayi tostunda tek tercih.,10.0,10.0,10.0,1603879771
Her zaman sipariş verdiğim bir restoran ancak bugünkü sucukta garip bir tat vardı.,8.0,8.0,4.0,1603879771
Çok yağlı geliyor tostlar.,9.0,9.0,9.0,1603879771
İnanılmaz.,10.0,10.0,10.0,1603879771
"Hızlı, sıcak ve leziz.",10.0,10.0,9.0,1603879771
Yağı çokdu bu sefer.,10.0,10.0,7.0,1603879771
Tost çok iyiydii.,10.0,10.0,10.0,1603879771
Ankaranın net en iyi tostu tartışmaya kapalı.,10.0,10.0,10.0,1603879771
Gelmesi biraz uzun sürdü :(.,7.0,10.0,10.0,1603879771
"Getiren arkadaşa çok teşekkürler, yağmurlu hava şartlarına rağmen zamanında geldi, hatta peçete vermek istedim yagmurdan islandigi icon onu da istemedi sıkıntı yok vs. Dedi yapabileceğim tek şey burdan yazmak çok sağolsun.",10.0,10.0,10.0,1603879771
Şiparişim eksik gelmiştir.,6.0,6.0,6.0,1603879771
Teşekkür ederim.,9.0,9.0,10.0,1603879771
Son zamanlarda malzemelerin markası değişti gibi umarım bozmazlar.,10.0,10.0,8.0,1603879771
Biraz daha ucuz olabilir.,10.0,10.0,10.0,1603879771
"Elinize sağlık, teşekkürler.",10.0,10.0,10.0,1603879771
Mükemmel tost.,10.0,10.0,10.0,1603879771
"Siparişim çok hızlı geldi ve tost çok güzeldi, çoğu yer de içine konulan sucuk rahatsız eder ama asla rahatsız etmedi, ellerinize sağlık.",10.0,10.0,10.0,1603879771
İsminden dolayı burun kıvıran arkadaşlar bile bayıldı. Ellerinize sağlık bende yıllar öncesine döndüm sayenizde. Kızılırmak mah. İçin gönderim bedelini düşünmeniz dileğiyle.,10.0,10.0,10.0,1603879771
Joker geldiği için kullandım gerçekten hoş değildi.,1.0,2.0,1.0,1603879771
"Onceki sipariş 18dkda gelmisti bu kez 35-40 dakikada geldi bu yuzden 1 puan kırdım ama her sey mükemmel tat, fiyat, servis.",9.0,10.0,10.0,1603879771
Bekledik baya.,7.0,8.0,9.0,1603879771
Mükemmeeek.,10.0,10.0,10.0,1603879771
Kueye reis çok iyi.,10.0,10.0,10.0,1603879771
"Saçmeli burgerin köftesi biraz farklıydı bu sefer, yine de diğer her şey süper.",10.0,10.0,9.0,1603879771
Yavaş geldi bir karışıklık olmuş. Buna rağmen sıcak ve güzeldi.,7.0,10.0,10.0,1603879771
Mersi.,9.0,9.0,9.0,1603879771
Islak hamburger etleri bozuk ve kokuyordu midem hala bulanıyor.,10.0,9.0,1.0,1603879771
"Son siparişimde notları dikkate almamanız üzdü. Ya ekstra malzeme opsiyonu koyun, yada notları okuyun. Notta da belirttiğim gibi ücreti karşılığında hizmet almak istiyorum. İkinci olarak ise saçmelii tostlarınız nedense çok kuru geldi, sanırım özensiz hazırlandı veya formül değişti.",9.0,10.0,8.0,1603879771
Güzel ve doyurucu.,10.0,10.0,10.0,1603879771
Bu çevrede yediğim belki de en kaliteli ve lezzetli tosttu. Ellerinize sağlık. Ayrıca yazdığım acelem var notunu dikkate alıp ışık hızıyla geldiğiniz için de çok teşekkür ederim. Seviliyorsunuz :).,10.0,10.0,10.0,1603879773
Güzeldi.,8.0,8.0,8.0,1603879773
Lezzetli ve hızlı.,10.0,10.0,10.0,1603879773
Kavurmalı tostun içinde sosis ve salamdan başka bir tat gelmiyordu.,10.0,8.0,6.0,1603879773
Lezzetli.,9.0,10.0,10.0,1603879773
Tost 45 dakikada geldi sucuk da ne markaydı bilmiyorum ama güzel değildi. 6/10.,5.0,5.0,6.0,1603879773
Harika.,10.0,10.0,10.0,1603879773
Çok çok başarılı ama gün içinde yoğunluktan olsa gerek bazı lokasyonlara zaman zaman siparişi kapatmak zorunda kalıyorsunuz sanırım.. O da olmasa 1 numarasınız.,10.0,10.0,10.0,1603879773
Hızı ve tadı gerçekten çok güzel ama paketin içine bir tane peçete koymak zor olmamalı diye düşünüyorum.,9.0,7.0,10.0,1603879773
Leziz ve güzel fakat 2 tost 1 saatte gelmemeli.,3.0,8.0,9.0,1603879773
"Son derece başarılı ve samimi bir işletme, umarım bozmazlar.",10.0,10.0,10.0,1603879773
Tost efso.,10.0,10.0,10.0,1601250027
Favorim sanayiii.,9.0,9.0,9.0,1601250027
Biber ve domates beklediğim bir tat değildi ama hoşuma gitti.,10.0,10.0,9.0,1601250027
Tostlar harika.,10.0,10.0,10.0,1601250027
Standart lezzet elinize sağlık çok güzeldi.,10.0,10.0,10.0,1601250027
Tam olarak 1 saatte geldi ve servis çok kötüydü lezzet olarak iyiydi teşekkürler.,3.0,2.0,7.0,1601250027
Çok iyiydi.,10.0,10.0,10.0,1601250027
Elinize saglik islak gayet guzeldi.,10.0,10.0,10.0,1601250027
Sanayi tostu güzeldi fakat sosisli sandviç ekmeği bayat tı bi garipti yiyemedim.,8.0,7.0,6.0,1601250027
Memnun kalmadım.,5.0,5.0,5.0,1601250027
"Tostları zaten güzeldi, saçmeli burger de gayet güzelmiş. Kuryenize dair küçük uyarı da dikkate alınmış ekstra teşekkürler.",10.0,10.0,10.0,1601250027
Tostlar gayet güzel ve lezzetliydi.,9.0,9.0,9.0,1601250027
"Sanırım makine temizlemeden yapılmış ki tostun içinde bolca yanmış siyah küçük kalıntılar vardı, sanayi tostunun içeriğinde kömür olduğunu bilmiyordum. Daha önceki siparişlerimde sorun yoktu inşallah düzelir.",10.0,4.0,6.0,1601250027
3 aydir sanayi tostu yiyorm cok guzel cok lezetli elnize saglik.,10.0,10.0,10.0,1601250027
Şekersiz kola istemiştim unutmuşlardı.,3.0,3.0,9.0,1601250027
Süper.,10.0,10.0,10.0,1601250027
Süper.,10.0,10.0,10.0,1601250027
45 dk iyi bir teslimat süresi değil. Bunun dışında paketleme ve lezzet gayet güzel.,6.0,10.0,9.0,1601250027
Çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1601250028
Normal.,7.0,7.0,7.0,1601250028
Dolu doluydu çok iyi.,10.0,10.0,10.0,1601250028
