comment_text,comment_speed,comment_service,comment_taste,comment_time
Olur gibi.,10.0,10.0,10.0,1606509569
Elinize sağlık herzamanki gibi çok güzeldi.,10.0,10.0,10.0,1606509569
Tadı güzel degildi.,8.0,8.0,1.0,1606423169
Tadı daha güzel olabilir.,4.0,3.0,6.0,1606423169
Gayet güzeldi beğendim ellerinize sağlık.,10.0,10.0,10.0,1606423169
"Çok hızlı geldi, lavaş notta belirttiğim gibi iyi pişmişti. Sosta sanki bu sefer biraz fazla sarımsak tadı vardı ama aşırı baskın değildi. Geçen sefer içerisinde biber yoktu bu sefer yanında biber de göndermişler, çok güzeldi elinize sağlık.",10.0,10.0,10.0,1606336769
"Harika bir yemek, emeği geçen herkese teşekkürler.",10.0,10.0,10.0,1606336769
Elinize saglık herzamanki gibi çok güzeldi.,10.0,10.0,10.0,1606250369
Lezzetine doyamadım. Bir sipariş daha verdim.,10.0,10.0,10.0,1606163969
Güzel.,10.0,10.0,10.0,1606163969
Elinize sağlık.,10.0,10.0,10.0,1606163969
Ekmek arası yapın dedim özellikle tırnak pide yollamış canına yandıklarım lütfen notlara dikkat yok sa yok deyin bence.,9.0,5.0,9.0,1606077569
Çok güzeldi elinize sağlık.,10.0,10.0,10.0,1605991169
Yasaklı ve soğuk günlerin sıcak dostu. Elinize sağlık.,10.0,10.0,10.0,1605991169
Marifet iltifata tabidir.,10.0,10.0,10.0,1605991169
Güzel.,8.0,8.0,8.0,1605904769
"Çok aç olduğum için mi bilmiyorum ama bana çok lezzetli geldi :) tavsiye ederim. Sostime döner e çok teşekkürler, tebrikler.",9.0,10.0,10.0,1605904769
İyiydi. Elinize sağlık.,10.0,10.0,10.0,1605818369
55 dk sonra sipariş geldi ve buz gibiydi.,1.0,1.0,1.0,1605818369
Hatay usulü döneri bu kadar iyi yapacaklarını tahmin etmezdim. Ustaların eline sağlıkmutlaka deneyiniz.,10.0,10.0,10.0,1605818369
Herzamanki gibi çok güzeldi.,10.0,10.0,10.0,1605818369
Jumbolar eskiye nazaran jumbo değil gibi.,9.0,8.0,8.0,1605818369
Hızlı ekonomik ve lezzetli.,10.0,10.0,10.0,1605818369
Beyti aşırı yagliydi gun boyu midemi rahatsiz etti siparisimiz 40 dk da geldi notlarda pipet istemiştim konmamis bidaha sanmam sipariş verecegimi.,7.0,7.0,6.0,1605818369
Abi sosu biraz çoğaltın. Aksın dürümün altindan.,10.0,10.0,10.0,1605731969
"Yedigim en kotu donerdi, eksi puan olsa eksi puan verirdim o derece. Doner kupkuruydu.",8.0,7.0,1.0,1605645569
Enfesss.,10.0,10.0,10.0,1605645569
Rezalet ötesi desem paranıza yazık kesinlikle tavsiye etmiyorum lezzet desen vasat hız desen 5 dklık mesafeye 1 saatte getirdiler paranızı çöpe atmak istiyorsanız keyfiniz bilir.,1.0,1.0,1.0,1605645569
"Hızlı geldi, lezzetliydi.",10.0,10.0,9.0,1605559169
Çok güzel. Ellerine sağlık.,10.0,10.0,10.0,1605559169
Elinize sağlık çok güzel olmuş.,10.0,10.0,10.0,1605559170
Güzel döneri var.,9.0,9.0,9.0,1605559170
Güzeldi ama dürüm de patates istememe rağmen konulmuştu:(.,10.0,10.0,10.0,1605559170
On numara.,10.0,10.0,10.0,1605472770
Tuzu azdı.,10.0,9.0,8.0,1605472770
Dürümler güzel ama normal dürümle jumbo dürümün arasında çok bi fark yok boyut olarak.,10.0,10.0,10.0,1605386370
Herzamanki gibi çok güzel elinize sağlık.,10.0,10.0,10.0,1605386370
Gercekten soslu et doner bu kadar mi kotu olur cok acken soyledm zaten doneri cok kalin kesmisler kusbasi gibi ici pismemis lastik gibiydi donerleri ayirip lavas patates yiyim dedim patatesler simsiyahti kesinlikle param cope gitti.,9.0,8.0,2.0,1605299970
