comment_text,comment_speed,comment_service,comment_taste,comment_time
"Patatesler resmen yarım dolu konulmuştu, kutunun yarısı boştu.",8.0,6.0,8.0,1606510051
Patates soguktu ve yumusamisti.,8.0,8.0,5.0,1606510051
En hizli gelen mc siparisimdi.,10.0,10.0,10.0,1606510051
Oldukça hızlı ulaştı. Teşekkürler.,10.0,10.0,10.0,1606510051
Eski tadi yok.,10.0,8.0,6.0,1606423651
"Geceleri gelen siparişler buz gibi oluyor ve 1 saatte geliyor, tadım kaçtı.",1.0,1.0,1.0,1606423651
Güzel ve lezzetliydi sıcak geldi.,9.0,10.0,9.0,1606423651
"Patates soğuk, kolaların yarısı dökülmüş mü, gelirken mi içmişler belli değil. Burger güzel ama soğuk ne desem bilemedim.",4.0,4.0,4.0,1606423651
"Son iki siparişim 15-20 dk içinde geldi. Hiç bir eksik yoktu, geldiklerinde hala sıcaklardı. Teşekkürler. :).",10.0,10.0,10.0,1606423651
Bir buçuk saat sonra siparişimi alabildim... Yoğunluk varsa sipariş alımının geçici olarak kapatılması daha doğru olmaz mı?,1.0,1.0,1.0,1606337251
Daha ne kadar kötü olabilirdi ki?,1.0,1.0,1.0,1606337251
Yoğunluk nedeniyle gecikme yasandigi soyleniyor fakat onemsenmedigi ortada. Surekli ayni sorun yasanmakta.,1.0,1.0,1.0,1606337251
Siparis daha gelmedi 1. 30 oldu.,7.0,7.0,7.0,1606337251
Teşekkürler.,9.0,9.0,9.0,1606337251
Yemekler ne yazık ki soğuk geldi..,6.0,8.0,5.0,1606337251
Patatesler sıcak hamburger soğuktu ilginç bir şekilde.,10.0,9.0,8.0,1606337251
"Şu döneme teknik olarak bile hazır olamamanız çok kötü, ketçap ve mayonez den tasarrufa gitmeniz üzücü, gerçekten siparişin hazırlanması saatler sürdü desek bile belirlenen sürenin iki katı kadar müşteri bekleyince insanın bir mahcubiyeti olur ve gönül almaya çalışılır, hayalkırıklığı...",1.0,1.0,1.0,1606250851
Çok soğuktu.,10.0,10.0,1.0,1606250851
2li menü seçiminde toplamda 4 adet sos seçimi olması gerekirken bunu 2 adetle sınırlandırdıkları için (not kısmına eklemeize rağmen) servisi düşük.,9.0,1.0,9.0,1606250851
Okey.,10.0,10.0,10.0,1606164451
Gayet guzzle ve hizli.,10.0,10.0,10.0,1606164451
Patatesi baharatli istemistim normal gondermisler onun disinda hizda lezzette iyiydi.,8.0,8.0,8.0,1606078051
Normal.,4.0,4.0,4.0,1606078051
Çok iyi.,9.0,9.0,9.0,1606078051
Buz gibi.,1.0,1.0,1.0,1606078052
1. 30 saat sonra geldi 0 lezzet 0 sıcaklık...,1.0,1.0,1.0,1606078052
Kurye nazik ve iyiydi fakat biraz soğuk geldi. Eksik yoktu.,7.0,8.0,7.0,1606078052
"Soğan halkası bayattı, yiyecek de soğuk gelmişti.",7.0,10.0,1.0,1606078052
"Belirtilen süreden daha geç geldi ama olsun, seviyoruz.",10.0,10.0,10.0,1605991652
Yürüme gelsem daha hızlı gelirdim.,1.0,8.0,8.0,1605991652
Güzeldi.,10.0,10.0,10.0,1605991652
Eklediğimiz notlara uygun gelmedi ama genel olarak iyiydi.,7.0,9.0,10.0,1605991652
Tahmini süre 20-30 dk olmasına rağmen gelmesi 1 saat sürdü.,1.0,1.0,1.0,1605991652
Hızı lezzeti güzel fakat sıcak değildi.,10.0,7.0,10.0,1605991652
Soğan halkaları soğuktu ve çıtır değildi ancak mc bites çok lezzetliydi teşekkürler.,8.0,6.0,7.0,1605991652
Geç ve buz gibi geldi. Bu sebepler yeme zevkini 0 a indirdi maalesef.,1.0,8.0,6.0,1605905252
Patatesler soğumuş ve çok sert kuruydu.,9.0,8.0,6.0,1605905252
"Son sipariş her bakımdan 10 puan lütfen hep böyle olsun, tşkler cebeci mc donalds...",10.0,10.0,10.0,1605905252
Teşekkür ederim güzeldi.,10.0,10.0,10.0,1605905252
Güzeldi keyifliydi.,10.0,10.0,8.0,1605905252
Paket eksik geldi içeceklerden biri yoktu.,9.0,7.0,10.0,1605905252
Soğuk gelmese ve dökülmese keşke.,7.0,7.0,7.0,1605905252
Kurye arkadaşa efendiliği için çok teşekkür ederiz.,10.0,10.0,10.0,1605818852
Sıcacık ve hızlı geldi. Kurye arkadaşa teşekkürler :).,10.0,10.0,10.0,1605818852
