food_id,food_name,food_price,food_category,food_score
dd9fa41d-10f4-4811-9228-2d1d4c36019d,Büyük Ekmek Arası Arnavut Ciğeri Menü,"17,00 TL",Menüler,12.0
7ef8476e-a87b-4eee-8369-1086f0965a77,Büyük Ekmek Arası Izgara Köfte Menü,"18,00 TL",Menüler,11.0
5376d77e-2556-4b71-81a4-8595b9bf8765,Büyük Ekmek Arası Tavuk Izgara Menü,"17,00 TL",Menüler,9.0
fb245bf7-a967-4d39-9174-49cff1d9dea1,Tavuk Kanat Menü,"23,00 TL",Menüler,7.0
24b383cd-ec2b-47a3-a627-a4a9b73f3959,Tavuk Kelebek Menü,"23,00 TL",Menüler,9.0
3eb7d429-01ef-4331-a60a-dee4fe69db1f,Rus Salatalı Arnavut Ciğeri Menü,"17,00 TL",Menüler,7.0
f3eb095f-0de4-485a-bca8-b2f93efe7214,Pilav Üstü Izgara Köfte Menü,"20,00 TL",Menüler,4.0
A8BFA49A-03AA-45C0-9B13-C5CFE49DAEDB,Büyük Ekmek Arası Et Döner Menü,"21,00 TL",Menüler,32.0
d6821de8-ebe0-4c13-98c7-f27e5e16e854,Pilav Üstü Izgara Tavuk Menü,"20,00 TL",Menüler,7.0
98a75ea2-1063-40be-afc8-3c469af867f9,Pilav Üstü Et Döner Menü,"24,00 TL",Menüler,30.0
90AC2D55-B1B9-46CF-B43D-AD407EC7CFEE,Et Döner Menü,"31,00 TL",Menüler,30.0
8FE0155A-EFEF-4509-A9C9-D12EEA75BED2,Izgara Köfte Menü,"26,00 TL",Menüler,9.0
68B5845C-0208-4301-99CE-ABB80FA096C5,Tavuk Izgara Menü,"26,00 TL",Menüler,7.0
fc3bd40e-63c1-4154-8e1d-4aad2bb970bf,Sandviç Ekmeğine Arnavut Ciğeri Menü,"15,00 TL",Menüler,5.0
935e1768-5a99-4154-86e3-84f2b33114a9,Sandviç Ekmeğine Et Döner Menü,"18,00 TL",Menüler,30.0
efc6af60-6bcc-46fa-b42e-66b5dbc85f1c,Sandviç Ekmeğine Izgara Köfte Menü,"16,00 TL",Menüler,4.0
d37085bb-b94c-41bf-9fa8-575b44355f1c,Sandviç Ekmeğine Tavuk Izgara Menü,"15,00 TL",Menüler,7.0
febd9910-c905-444e-a551-5acb01a0b224,Kasap Köfte (1 kg.) Menü,"90,00 TL",Kiloluk Menüler (Pişirilmiş),4.0
dd7495b4-d37e-47a3-8c8b-ce30cb007c04,Et Döner (1 kg.) Menü,"155,00 TL",Kiloluk Menüler (Pişirilmiş),30.0
a791cc82-6c80-43d6-92a9-64788962ab70,Tavuk Kanat (1 kg.) Menü,"110,00 TL",Kiloluk Menüler (Pişirilmiş),7.0
0ab18be7-75db-47f1-969a-fdb74dc4bf02,Tavuk Kelebek (1 kg.) Menü,"110,00 TL",Kiloluk Menüler (Pişirilmiş),9.0
25d2b908-9ce3-46fa-aa6f-20e0015e37e2,Izgara Tavuk (1 kg.) Menü,"85,00 TL",Kiloluk Menüler (Pişirilmiş),7.0
b266fcf0-1d6e-4f41-801a-f36b9fdd3d1d,Arnavut Ciğeri (1 kg.) Menü,"85,00 TL",Kiloluk Menüler (Pişirilmiş),5.0
C150A011-74E8-482D-AE0E-2400151644EA,Kaşarlı Gözleme,"13,00 TL",Gözlemeler,4.0
CE84B459-F177-4A53-B47D-45BD7A4A044E,Patlıcanlı Gözleme,"13,00 TL",Gözlemeler,4.0
87f35813-c422-4852-b3cd-30bb1fb3af6e,Poşet,"0,25 TL",Poşet,5.0
