comment_text,comment_speed,comment_service,comment_taste,comment_time
Dondurmaları harika ancak çok geç geliyor onun dışında yediğin en güzel antep fıstıklı dondurma burada.,3.0,5.0,8.0,1606425687
İstanbulzade... Cok iyi lezzet.,10.0,10.0,10.0,1606425687
Verdiğim sipariş tam bir saatte geldi. Buz gibi ve yanikti. Restoranı aradım iade için iade değil de değiştirelim dediler. Çok enteresan gercekten. Dur bakalım bir saattir de yeni geleceği bekliyoruz. Bir ay önce de aynı şekilde yanık gelmişti. Bı ton para verip bir de paranla rezil olmak böyle iste.,1.0,1.0,1.0,1606339287
Lezzeti çok güzeldi gelen tatlının ancak buz gibi olmuştu ve 1 saatte geldi. Şerbeti üzerinde donmuştu arabaya atlayıp gidip almadığın için pişmanım aramız 5 dk.,1.0,1.0,10.0,1606339287
Simit katmer harici dağılmıştı.,9.0,9.0,6.0,1606339287
"Özenle paketlenmiş, beklediğimizden hızlı geldi. Tatlı ya bayıldık. Malzemesi boldu. Ellerinize sağlık.",10.0,10.0,10.0,1606339287
Harika.,10.0,10.0,10.0,1606339287
Rezalet. Dukkanda yediğimiz katmerle alakasi yoktu. Katmerler yanmisti. İcinde fistigi cok azd. Kaymak fazlaydi. Ve cok geç geldi. Herhangi bir yerden söyleseniz daha iyisini yiyeceğinize emin olabilirsiniz.,1.0,1.0,1.0,1606339287
Katmer ve dondurma siparişi verdim ne çatal var ne kaşık acaba bunları ne ile yiyeceğim bir ıslak mendil bile koymamış aldığı paranın hakkı değil.,4.0,2.0,5.0,1606252887
Katmer buz gibiydi.,4.0,4.0,4.0,1606252887
Billuriye çok şekerli baya şerbet parlıyordu üstünde hoş durmuyor bence elma şekerinin dışı gibi olmuş parlaması onun haricinde güzel tadı katmer aldım birde kaymak erimemiş ama onun haricinde beğendim ktmeri hafifti.,10.0,9.0,8.0,1606252887
Altı yanmiş katmeri göndermek ne kadar doğru!,1.0,1.0,1.0,1606252887
Katmerin altı biraz yanmıştı ve soğuk geldi.,8.0,8.0,7.0,1606252887
"Hayatımda yediğim en güzel simit katmerdi. Dışının çıtırlığı içinin kaymak, fıstık, şeker dengesi efsaneydi. Ellerinize sağlık çoook güzeldi.",10.0,10.0,10.0,1606252887
Taze ve lezzetli. Tavsiye ederim.,10.0,10.0,10.0,1606252887
"Aslinda bugüne kadar sizden aldığım ürünlerden hep memnun kalmistim fakat bu sefer çok beğenmedim. Aşırı şireli geldi bana kadayif, ayrica cok pişmiş gibiydi.",6.0,6.0,3.0,1606166487
"Hazır olan bir tatlı siparişim hem yanlış hemde 1 saate yakın bir sürede geldi, sipariş verdiğim tatlı ellerinde kalmadığından sanırım farklı iki tatlıyı karıştırıp göndermişler.",1.0,1.0,1.0,1606166487
"Yaklaşık 70 dakikada katmerim soğuk bir hal içinde geldi. Ne içinde kaymak ve fıstık, hiç bir şey yoktu. Soğuk gözleme gibi biseye 30 lira vermek durumunda kaldım.",4.0,4.0,4.0,1606166487
Billuriye guzeldi ancak bu sefer servis cok kötüydü. Kutuyu bir poşete bile koymadan getirdi arkadas uzatti kapidan. Şu pandemi doneminde dikkat edilmesi gerekir.,8.0,5.0,9.0,1606080087
Katmer katmer aşk.,10.0,10.0,10.0,1606080087
Peynirli künefenin peyniri daha çok olabilirdi. Tadı çok güzeldi ancak peyniri sünmüyordu.,7.0,7.0,8.0,1605993687
Çok iyi.,10.0,10.0,10.0,1605993687
"Çok sıcak gelmesini beklemiyordum tabii ama baya soğuk, kayış gibi bir künefe geldi maalesef.",6.0,5.0,5.0,1605993687
Herzaman tatlı yediğim yer antepte yiyorum burada yiyorum ellerinize sağlık.,10.0,10.0,10.0,1605993687
Harika.,10.0,10.0,10.0,1605993687
Her şey çok iyi sadece indirim yapmışken minimum ödeme tutarınıda indirimli fiyatlara göre değiştirmeyide göz ardı etmemelisiniz diye bir tavsiyede bulunabilirim ilginiz için teşekkürler :).,10.0,10.0,10.0,1605993687
Süper.,10.0,10.0,10.0,1605820887
"Kadayıf istemiştik bayat gibiydi yani çıtır ama şekeri kristalize olmuş. İçimi baydı, yiyemedim. Katmerleri iyiydi oysa.",9.0,9.0,5.0,1605648087
Soguktu katmer. Dondurmada buzluydu.,1.0,1.0,1.0,1605648087
"Ortalama 30-40 dk denen sipariş 70dkda geldi. 25 fiyat kırmalarının bir sebebi varmış. Kuryede bir mahcubiyet, özür vs. De yoktu.",1.0,8.0,8.0,1605475305
Ellerinize sağlık çok güzeldi 3.,10.0,10.0,10.0,1605475305
Muhteşem! Orijinal antep simit katmerinde bakılması gereken hususlar:1- hamurun ince ve çıtır olması 2- ne az ne çok pişmiş olması 3- bol fıstıklı olması 4- bol kaymaklı olması 5- şeker dengesinin iyi olmasıtüm bu hususlar sağlanmıştı. Antepte yiyebileceğiniz çoğu katmerciden çok daha iyiydi.,10.0,10.0,10.0,1605475305
Katmer söyledim katmerin yarısi sıcak yarisi soğuktu.,4.0,6.0,6.0,1605388905
5 dakika da eve getirdiler. İnanılmaz hızlılar.,10.0,10.0,10.0,1605388905
"Keske icine peynir koysalardi, kunefe yedigimizi anlardik. Dukkanda farkli pakette farkli miktarlar. Yarisini gelip aldilar kontrol icin, bekliyorum sonucu.",9.0,5.0,7.0,1605388905
"Bayildik, bayildik, bayildik yani... O icindeki kaymak nedir oyle sicacikk.",10.0,10.0,10.0,1605302505
Çok yavaş.,1.0,1.0,5.0,1605302505
Kapıyı çalmadılar sabaha kadar kapının önünde kalmış. Aramadılar da şaka gibi.,1.0,1.0,1.0,1605302505
Antepliyim bence benim yediğim katmer değildi. Lavaşa sarılmış şerbetli antep fıstığı tozu ve gereksiz bi şekilde aşırıya kaçan kaymak. :(.,9.0,7.0,1.0,1605216105
Elinize sağlık.,10.0,3.0,8.0,1605216105
"Müthiş lezzetli, yerken ısıtın mutlaka.",9.0,9.0,9.0,1605129705
Bekledigim gibi cikmadi lezzeti.,9.0,8.0,7.0,1605129705
Hizli servis lezzette super.,10.0,10.0,10.0,1605129705
