comment_text,comment_speed,comment_service,comment_taste,comment_time
Tadı tuzu yok hamuru çok değişik belkide jokerden olduğu içindir.,8.0,10.0,3.0,1606426645
Fiyata gore normal.,10.0,10.0,10.0,1606340245
Hızlı ama soğuk geldi bi de lezzet yok hamuru pizza hamuru değil.,9.0,5.0,1.0,1606253845
"Kurye beyefendi oldukça kibar ve güler yüzlüydü, siparişimiz sıcaktı. Teşekkür ederim.",10.0,10.0,10.0,1606167445
Super.,10.0,10.0,10.0,1606081045
Her zaman en iyisi.,10.0,10.0,10.0,1605562645
Ev pizzası tadında ve yüksek kalite.,10.0,10.0,10.0,1605562645
"Bu fiyata yediğim en iyi pizzaydı tartışmasız. Kuryenin iletişimi de çok iyi, istediğim ekstraları da layıkıyla ve açık gönüllülükle yerine getirdi. Kesinlikle tavsiye ederim.",10.0,10.0,10.0,1605562645
Mükemmell! Fiyat performans harika! Öğrenci evimizin vazgeçilmezi. Hız-servis-lezzet harika. Notlarıda okuyup ciddiye alıyorlar.,10.0,10.0,10.0,1605476245
Patatesi hiç koymayın abi yalandan yere menünün yanında.,8.0,3.0,7.0,1605476245
 pizza çok kötü sosun tadı yok mozerella çiğ geliyor hamurun tadı yok.,10.0,10.0,1.0,1605476245
Tam fiyat/performans bir yer. Biraz geç geldi ama kapanışa yakın söylemiştim o yüzden 1 puan kırdım sadece. Kurye gayet kibardi. Pizza gayet samimiydi ev pizzası havası verdi ki hoşuma gitti baya. Sadece patatesli menü fiyatını biraz arttırıp patatesi de arttirirsaniz daha hoş olur.,9.0,10.0,10.0,1605476245
Soğuk geliyor diye uzun zamandır sipariş vermiyordum. Dün bayılarak yedik. Kolay gelsin.,10.0,10.0,10.0,1605389845
Tekrar soslar gönderilmedi.,6.0,4.0,6.0,1605303445
Sadece dilimler tam kesilmemisti geri herşey mükemmeldi.,10.0,10.0,10.0,1605217045
Getiren kurye gayet kibar ve iyiydi teşekkür ederiz.,9.0,10.0,9.0,1605217045
1 saat gecikti ve pizza pizzalığından cıkmışdı.,1.0,1.0,1.0,1605217045
Patatesler pismekten kendinden geçmiş durumdaydı soğuk geldi bide.,1.0,1.0,1.0,1605217045
Cumartesi günümüzün vazgeçilmezi ustam elinize sağlık getiren arkadaşıma da çok teşekkür ediyoruz sıcak sıcak getiriyor.,10.0,10.0,10.0,1605130645
Baya iyi.,9.0,9.0,9.0,1605044245
Seviyorum yav burayı.,10.0,10.0,10.0,1605044245
"Kurye saygılı, efendiydi. Servis normal ama pizza çok çok kötü. Tadı yok tuzu yok malzemesi yok olsa da malzeme olan yerinde de tat yok yani hamuru sosu.. Taş yesem tadı aynı gelirdi.",5.0,7.0,1.0,1604957845
Teşekkürler.,10.0,10.0,10.0,1604871445
Soğumadan geldi tadı da güzel sürekli söylüyorum.,9.0,7.0,9.0,1604871445
Uçarak geldi maşallah... Pizza da fiyatına göre çok çok iyiydi... Emeğinize sağlık.,10.0,8.0,8.0,1604785045
"Çok hızlı bir şekilde 10 dakikada geldi, servis ve lezzet iyiydi.",10.0,9.0,9.0,1604785045
Fiyat performans hala çok iyi teşekkür ediyorum. 50 kuruş eksik vermiş olabilirim emin değilim sonraki siparişimde vereceğim.,9.0,9.0,10.0,1604785045
Lezzet açısından oldukça başarılı olmasına rağmen çok kötü bir servise ve çok kötü bir hıza sahipler. Bir kez sorun yaşadık bir daha olmaz diye ikinci siparişimizi verdik ama yine aynı sorunlarla karşılaştık. 20 25 dakika geç kalan kurye bir de üste çıkmaya çalıştı. Bir daha sipariş vermeyeceğim.,1.0,1.0,7.0,1604612245
Fena degil.,10.0,8.0,8.0,1604439445
Gayet güzeldi kuryeyi çok sevdik.,10.0,10.0,10.0,1604439445
Tadı çok kötüydü ayrıca pizzadan ambalaj jelatini çıktı. Böyle bi dikkatsizliğin olması çok çok kötü. Son siparişimdi daha fa sipariş vermem.,6.0,1.0,1.0,1604353046
"Pizzanın dibi yanmıştı, soğumuştu,.",1.0,1.0,1.0,1604353046
"Çok lezzetli ve güzel. Sıcak sıcak elime ulaştı, kurye çok nazik ve kibardı. Orta boylu pizza menüsünün de daha uygun fiyatlısı sanırım başka yerde yok, varsa da ben görmemişimdir. Hız, lezzet ve servis parametrelerinin yanında fiyat/performans oranını da eklersek ona da tam puan veririm.",10.0,10.0,10.0,1604353046
Siz ketçap mayonezi 2 ye çıkarana içine ıslak mensil koyana kadar servis 2 agaaaa.,10.0,2.0,9.0,1604353046
Güzel.,8.0,8.0,8.0,1604266646
Güzel.,8.0,8.0,8.0,1604266646
Hızlı bol malzemeli ve en önemlisi hijyenik servis. Fotoğraf zaten herşeyi anlatıyor. Bol kazançlar dilerim.,10.0,10.0,10.0,1604266646
Eh.,10.0,10.0,10.0,1604266646
Geç geldi yanında baharat vs birsey bekliyor insan pizzası lezzetliydi ama hamur cok kalın ve malzeme az.,3.0,6.0,6.0,1604266646
Kurye çok titiz ve kibardı. Teşekkürler.,10.0,10.0,9.0,1604266646
"Bu kadar kötü pizza yemedim, hele de yanında 2 lira alıp gönderdiğiniz 2 çay kaşığı acı sos hepsinden rezaletti. Tek güzel şey getiren kuryenin nezaketiydi ama onun hatrına bile sipariş vermem.",8.0,8.0,1.0,1604007446
Pizzan rezalet.,1.0,1.0,1.0,1604007446
İdare ederdi.,7.0,7.0,7.0,1603883300
Servis çok kötüydü. Paramızla rezil olduk. İnanılmaz geç geldi. Derse geç kaldık.,1.0,1.0,1.0,1603883300
Pizza çokk lezzetliydi.,10.0,10.0,10.0,1603883300
Asker selamı yolluyorum sizleree.,10.0,8.0,10.0,1603883300
Çok severek sipariş verdiğimiz ve çok beğendiğimiz bir yer aslında hem fiyatı uygun hem de lezzetliydi ama bu sefer pizza baya kötüydü umuyorum tek seferlik bir durumdur.,8.0,8.0,2.0,1603883300
Hamur sifir tad sifir sanki plastik yiyosun.,7.0,1.0,1.0,1603883300
Yemek sepetinde ilk değerlendirmemi yapıyorum. Sipariş ettiğim pizza eski milanos pizzasıyla alakası yoktu. Pizza küçük buz gibi ve malzeme çok az kullanılmıştı. Son üç siparişim çok kötü geldi ve bu son şansıydı dilerim düzeltmelerinizi yaparsınız yoksa gidişat iyi değil maalesef.,1.0,1.0,1.0,1603883300
"Mükemmledi, fiyat çok iyi. Pizza da büyük ve doyurucu ve çok güzel , hızlı geldi. Ellerinize sağlık, umarım bu performansta devam edersiniz. Bundan sonra hep sizden pizza söleyicem.",10.0,10.0,10.0,1603883300
Pizza güzeldi fakat patatesler resmen pişmemişti orda patladı.,10.0,10.0,8.0,1603883300
Mis.,10.0,10.0,10.0,1603883300
Patateslerin paketlemesi biraz daha iyi olabilirdi. Onun haricinde fiyat performans olarak başarılı bir yemekti.,9.0,9.0,9.0,1603883300
Keşke ufak ikitane ketcap koydaydınız pakete :) elinize sağlık hızlı geldi lezzetide fena değildi.,10.0,7.0,9.0,1603883300
Kötü.,1.0,1.0,1.0,1603883300
"Bu işletmeyi seviyoruz, elinize sağlık.",10.0,10.0,10.0,1603883300
"Fırtınalı havada dahi servis sağlanıyor, kurye çok güleryüzlüydü, pizza ise gayet lezzetli.",9.0,9.0,9.0,1603883300
Elinize sağlık çok güzeldi.,9.0,9.0,9.0,1603883300
Sucuklu pizza istedim üzerinde çok az sucuk vardı bi an kaşarlı pizza söyledim sandım ayrıca içecekler de ılıktı.,7.0,4.0,3.0,1603883300
Baharat yoktu patates kuruydu ve sos göndermişlerdi.,1.0,1.0,1.0,1603883300
Kurye arkadaş mesleğini severek yapan biri çok güleryüzlü ve dostça yaklaştı. Teşekkürler buradan kendisine.,9.0,10.0,8.0,1603883300
Guzel.,8.0,8.0,8.0,1603883300
En hızlı pizzacı.,10.0,10.0,10.0,1603883300
Şahin kardeşime sevgiler. Sıcacık getirmiş sağolsun.,10.0,10.0,10.0,1603883300
Siparişim çok hızlı bir şekilde geldi pizza çok lezzetliydi ancak künefe için aynı şeyi söyleyemeyeceğim. Hazır künefeydi ve tadı güzel değildi ayrıca çatal da yoktu. Pizzayı ise gönül rahatlığıyla sipariş verebilirsiniz.,10.0,8.0,9.0,1603883300
Gelen kurye arkadas nazik kibardi ürünlerde 10 numara gercekten yedigim en güzeli pizza ve cips di şiddetle tavsiye ediyorum.,10.0,10.0,10.0,1603883300
Güzeldi.,9.0,10.0,10.0,1603883300
"Hayatımda bu kadar kötü bir pizza yemedim. Kaşar yok denecek kadar azdı, kupkuruydu. Üstü hafiften yanmıştı. Patates desen o kadar çiğdi ki.. Asla ve asla önermiyorum.",7.0,1.0,1.0,1603883300
Guzeldi tadı yerindeydi ancak tuzu azdi memnun kaldık.,7.0,9.0,10.0,1603883300
Yanlış adres vermişim. Sipariş çıkmış olmasına rağmen sıkıntı etmeyip yönlendirdiler. Teşekkürler.,10.0,10.0,10.0,1603883300
Buz gibiydi.,2.0,2.0,2.0,1603883300
Teşekkürler.,10.0,10.0,10.0,1603883300
"Bir saatten uzun sürdü gelmesi. Patatesler kötüydü, çıkartılmasını istediğim malzemelere dikkat edilmemişti.",1.0,6.0,8.0,1603883300
Pizzanin tadi aci ve ekşiydi pişman oldum söylediğim için.,8.0,3.0,1.0,1603883300
Harcadigim en iyi 15 tl.,10.0,10.0,10.0,1603883300
Guzel.,10.0,10.0,10.0,1603883300
Bu fiyata daha iyisi yokelinize emeğinize sağlık.,10.0,10.0,10.0,1603883300
"Mantarlı pizzayi ilk kez denedik, çok güzeldi.",9.0,10.0,10.0,1603883300
Orta boy pizzalar diğer pizzaların küçük boyları kadar.,7.0,7.0,7.0,1603883300
Uygun fiyat guzel kalıte.,10.0,10.0,10.0,1603883300
Hızlı geliypr tadı efsane fiyatı ucuz ama ne bir peçete ne bir ıslak mendil hibir şey yok. Ha bir de ketçapları 1 tane koymayın yetmiyor işte.,8.0,1.0,9.0,1603883300
Ketçap mayonez bile yoktu...,10.0,4.0,2.0,1603883300
Patates miktarını biraz arttırabilirseniz çok güzel olur.. Pizza malzemesi gayet boldu tam fiyat performans ürünüydü teşekkürler.,10.0,10.0,10.0,1603883300
Patates 5/10 du.,9.0,8.0,8.0,1603883300
Lezzer guzel. Baya hizli. Malzemesi bi tık daha bol olabilirdi ama f/p baya iyi.,10.0,9.0,10.0,1601253554
50 dk da geldi soğumuştu ektra peynirli istediğim ve ücretli oksuğu halde azdı ton balığı kuruydu ve çok azdı tekrar istemem.,5.0,5.0,5.0,1601253554
"Çok güzeldi, çok beğendik.",10.0,10.0,10.0,1601253554
"Milanosu beğenmeyenler de saray sofralarında havyarla büyümüşler herhalde adamı allah çarpar... Ustaya selam, emeğe respect...",10.0,10.0,10.0,1601253554
Her gün siparis veriyorum bazen malzeme o kadar az oluyor ki. Bu da o siparişlerden biriydi. Ketçap mayonez de koyulmamisti. Simdi tekrar siparis verdim yine aynı gelirse bu son siparişim olacak maalesef.,10.0,8.0,6.0,1601253555
Şerbeti bir tık daha fazla olabilirdi. Onun dısında vaktinde ve sıcak geldi.,9.0,9.0,8.0,1601253555
Tadı felan yerinde güzel.,10.0,10.0,10.0,1601253555
