comment_text,comment_speed,comment_service,comment_taste,comment_time
Tantuni guzl.,10.0,9.0,9.0,1606340611
Böyle garip bi tadı var mersin tantuni gibi değil ama anrkarada yaşayan mersinli ustalardan daha iyi.,10.0,10.0,10.0,1606254211
Tantuni güzeldi çiğ köfteyi acil değiştirmeniz lazım kum çıktı içinden.,10.0,10.0,7.0,1606254211
Tantuni çok lezzetliydi şiddetle tavsiye ediyorum.,9.0,8.0,9.0,1606167811
Her seferinde zili çalmayın diyorum her seferinde caliyorsunuz müthiş istikrar.,10.0,10.0,9.0,1606167811
Her zamanki gibi 10 numara.,10.0,10.0,10.0,1606167811
Mukemmel.,10.0,10.0,10.0,1606081411
Harika tesekkürler.,10.0,10.0,10.0,1605908611
1. 5 saat oldu elime geçmedi ve sipariş teslim edildi gözüküyor. Rezillik. Getirmeyecekseniz de haber edin.,1.0,1.0,1.0,1605822211
Siparis verdikten 3 dk sonra geldi nasil geldi anlayamadim ama cok tesekkurler.,10.0,10.0,9.0,1605822211
Çiğköfte yerine kısır yemek isterseniz. Doğru adrestesiniz.,5.0,5.0,1.0,1605735811
Her zaman güzel hizmet. Ama ikili menü de tatlı seçeneği son zamanlarda yok lütfen geri gelsin.,10.0,10.0,10.0,1605735811
"Paketleme özenliydi teşekkürler, çiğ köfteye roka ve maydonozun yakıştığını düşünmüyorum bu nedenle tadı biraz kısırı anımsatmış olsada yine de beğendim.. İçli köfte harici fiyatlar makul.",9.0,9.0,7.0,1605649411
İyi.,10.0,10.0,10.0,1605476611
Tantuni çok güzeldi. Çiğ köfte iyi. Midye çok kötü değiştirin bence.,10.0,10.0,8.0,1605390211
10 numara mekan baska yerden cigkofte denemeyin pisma olursunuz fevzi tacer sok selamlar.,10.0,10.0,10.0,1605217411
Bu kadar tuzlu ve özensiz çiğköfte yememiştim.,3.0,3.0,3.0,1605131011
Harikaydi.,10.0,10.0,10.0,1605044611
Güzel.,10.0,10.0,10.0,1604785411
Ömer usta sen bu işin pirisin.,10.0,10.0,10.0,1604699011
Sürekli tantuni yiyorum gayet güzeldi bu siparişte tavuk bayat gibi geldi garipti tadı sertliği sanırım pisirmeyle alakalı olabilir tavuğu degistirmediyseniz.,8.0,9.0,5.0,1604699011
Sizi çok seven biri olarak yazıyorum yemekleri yapanın eli cok lezzetli masallah ama tavuğun kendisi saman gibi. Sadece tavugunuzu da değiştirirseniz gercekten mükemmel.,10.0,10.0,10.0,1604699011
Tantuni güzel ama normal tantuni gibi düşünmeyin kocaman tavun sote gibi lezzeti güzel ancak çiğ köftesi pek başarılı değil.,10.0,10.0,9.0,1604526211
Et tantuni çok iyi. Çok lezzetliydi.,10.0,10.0,10.0,1604353411
Berbat.,1.0,1.0,1.0,1604180611
Çok kötüydü tantuni.,1.0,1.0,1.0,1604180611
10/10 restoran.. Güvenilir.. Neredeyse her gün sipariş veriyorum. Yanına 2 de ufak tulumba koymuşsunuz düşünüp.. Teşekkürler..,10.0,10.0,10.0,1604180611
