comment_text,comment_speed,comment_service,comment_taste,comment_time
Leziz ve çok hızlılar 10 dk da geldi siparişim teşekkür ediyorum.,10.0,10.0,10.0,1606424060
Tantuni dediğinde limon ve acı biber turşusu mutlaka olmaz mı. Olmadı. Hem de notlara yazdığım halde.,9.0,1.0,7.0,1606424060
Çok lezzetliydi. Çok memnun kaldım. Notuma özen gösterdiğiniz için ayrıca teşekkür ederim.,10.0,10.0,10.0,1606337660
Beğenmedim.,1.0,1.0,1.0,1606337660
Beğendik.,9.0,9.0,9.0,1606251260
Teşekkürler.,10.0,10.0,10.0,1605905660
Mersinli ustama teşekkür ederim kolay gelsin.,10.0,10.0,10.0,1605732860
Porsiyon aşırı küçük.,9.0,9.0,9.0,1605732860
Hiç memnun kalmadık. İlk olarak sipariş geldiğinde soğuktu. Gelen şeyin de tantuniyle alakası yoktu. Resmen soğan koymaya kıyamamışlar.,7.0,3.0,3.0,1605732860
Lezzetliydi ancak fiyatına kıyasla çok ufak kalıyor dürümler.,10.0,9.0,10.0,1605473660
Her zaman 10 numara.,10.0,10.0,10.0,1605300860
Beğendik ellerinize sağlık.,10.0,10.0,10.0,1605214460
Ekmek tantuni guzeldi fakat lavas icin ayni seyi soyleyemem. Paketlem sirasinda biberler ve limonlar tantuni tek plastik kap icine koyulmustu. Aslinda plastik israfina neden olmus. Olabildigince az plastik kullanilmasi onerebilirim.,7.0,5.0,5.0,1605128060
 hep çıkarmak istediğiniz malzemeleri işaretleyin butonuna denk gelmiştim herhangi bir butonu tıklamadım içinde hiç malzeme olmadan geldi böyle tantuni isteyen insan mı olur bari teyit etseydiniz yada malzemeler işaretli gelsin istemediğimizi çıkaralım ileri ileri dedim sadece et tantuni geldi.,7.0,7.0,7.0,1605128060
Lezzetli etleri çok yumuşak bundan sonra tantunicim sizsiniz elinize sağlık.,10.0,10.0,10.0,1605041660
Baba bu nasil bir lezzet ya.,10.0,10.0,10.0,1605041660
Yanında limon biber bekliyorduk ama gelmedi. Tavuk ve et yağlıydı.,10.0,8.0,8.0,1605041660
Mükemmel ötesi tantuniler muhteşem lavaşlar elinize sağlık:).,10.0,10.0,10.0,1604782460
Teşekkür ediyorum mersinli ustama.,10.0,10.0,10.0,1604782460
İydi.,7.0,8.0,9.0,1604696060
Teşekkürler herşey güzeldi.,10.0,10.0,10.0,1604350460
Ayranı unuttular ama olsun.,9.0,6.0,9.0,1604004860
İki kişilik servisi tek porsiyonda gönderdiler ayrıca bir ıslak mendil koymuşlar iki kişilik servis için. Dürüm o kadar küçük ki doymak imkansız. Ben 10 yıldır kullanıyorum yemeksepetini böyle hayal kırıklığı yaşamadım. Şiddetle tavsiye etmiyorum.,8.0,3.0,5.0,1603880714
Bölgenin kralları hell olsun süper yapıyorlar...,10.0,10.0,10.0,1603880714
Porsiyonlar keşke biraz daha büyük olsa.,9.0,9.0,9.0,1603880714
Yemek sepetinde yildiz tarafında tek memnun kaldigim yer.. Teşekkür ediyorum.,10.0,10.0,10.0,1603880714
Birazdaha yağlı ve sulu olsa 10 numara olur.,8.0,8.0,8.0,1603880714
Umarim kalitenizi hic bir zaman bozmazsiniz. Ellerinize saglik.,10.0,10.0,10.0,1603880714
Çok hızlı ve lezzetliydi.,10.0,10.0,10.0,1603880714
Gayet hızlı geldi lezzeti de güzeldi fiyata göre iyiydi.,10.0,10.0,10.0,1603880714
 mağazaya ailemle geldim süper lezzetli tantuniler ve sıcakkanlı insanlar tavsiye ediyorum şiddetle.,10.0,10.0,10.0,1603880714
Çok lezzetli ama aşırı küçük.,10.0,7.0,10.0,1603880714
"Muhteşem lezzet, notları dikkate alıyorlar. Ellerinize sağlık.",10.0,10.0,10.0,1603880714
Çok lezzetli ama öyle küçük ki dürümler doyurucu değil malesef.,10.0,8.0,10.0,1603880714
Hic ama hic begenmedik tantuni tadi zerre gelmiyodu anlamadim sebebini gercekten cok lezzetsizdi.,10.0,6.0,2.0,1603880714
Tantuniler cok guzeldi teşekkürler.,10.0,10.0,10.0,1603880714
