comment_text,comment_speed,comment_service,comment_taste,comment_time
İyi çalışmalar.,10.0,10.0,10.0,1606510490
Ellerinize sağlık.,10.0,10.0,10.0,1606424090
"Peperoni pizza istemiştim. İçine konulan şey peperoni değidi, basbayağı ucuz sucuk dilimleriydi maalesef. Midesi hassas ve rahatsız biri olarak yediğim pizza peperoni diye yutturulan sucuk dilimleri yüzünden midemi perişan etti. Peperoni sucuktan farklıdır, bunu anlayacak insanlar bir hayli fazla.",8.0,8.0,5.0,1606424090
Sufle çok güzeldi. Kuryenizin nezaketi ve beyefendiliği için ayrıca teşekkür ederim.,10.0,10.0,10.0,1606424090
Bazen biraz soğuk geliyor ama tadı çok güzelll.,10.0,10.0,10.0,1606337690
Hamuru güzeldi fakat pepperoni pizzada mozerella ve pizza sosu yok denilecek kadar azdı.,9.0,8.0,6.0,1606337690
Kuryeniz çok kibardı teşekkür ederiz.,10.0,10.0,10.0,1606337690
Hızlı ve lezzetli.,8.0,8.0,8.0,1606251290
Çok severek sürekli sipariş verdiğim bir yerdi ama son sefer gelen kurye sipariş alanının küçültüldüğünü söyledi. Artık sipariş veremeyecekmişim. Buna üzüldüm. Umarım eski haline gelir ve tekrar sipariş verebilirim.,10.0,10.0,10.0,1606251290
Pizzalarin ikisinide karnaval istemistik 1isi mozerella peynirli geldi.,10.0,1.0,2.0,1606251290
"I moved to a new neighborhood and so this papa johns location my only option. This is the 4th or 5th time ı have ordered from here, and everytime something is wrong: ı request no mushrooms and there are mushrooms, ı order pepsi and he forgot to bring it, etc. What an adventure every time ı order!",8.0,8.0,8.0,1606251290
Hala inatla büyük boy pizza içine birer adet biber turşusu koymaya devam ediyorsunuz. Biber adeti daha önce her pizza ile birlikte 4 idi. Ailece büyük hayal kırıklığı yaşıyoruz. Ne kadar eş dost akraba varsa arayıp biber adetinin tekrar 1e indirildiğini haber verdik. Çok mutsuzuz.,10.0,10.0,8.0,1606164890
"Mükemmel hizmet, kuryelerin nezaketi için ayrıca teşekkür ederim.",10.0,10.0,10.0,1606164890
Güzeldi özellikle pepperonili pizza bulabilmek çok güzel oldu. Yeni adresimi buldum gibi.,10.0,10.0,9.0,1606164890
Sarımsaklı sosların ücretli yapılmasına üzüldüm. Bazı kaliteli şeyler fark yaratır. Yine de fast food pizza zincirleri içinde malzemelerini daha kaliteli bulduğum için sipariş veriyorum.,10.0,8.0,8.0,1606164890
Elinize sağlık.,10.0,10.0,10.0,1606078490
Buz gibi bir pizza yedim ve papa johnsa yakışmayacak lezzetsizlikte bir yemekti.,1.0,1.0,1.0,1606078490
58 liraya bu kadar kötü bir pizzayı sadece burdan alabilirsin. Tatsız tutsuz ful hamur malzeme var mı yok mu belli değil o kadar lezzetsiz. Boşluk yemiş gibiyim. Sadece midem şişti. Bu kadar. Bilginiz olsun. Olumlu yorum yapanlara da üzüldüm. Neyini beğenmişler acaba.,7.0,8.0,1.0,1606078490
Başarılı papa johns lardan biri ankarada.,10.0,10.0,10.0,1606078490
Elinize sağlık.,10.0,10.0,10.0,1606078490
İçecek unutulmuştu.,9.0,1.0,8.0,1606078490
