comment_text,comment_speed,comment_service,comment_taste,comment_time
Servis hızlı ve dürümler sıcak geldi gerçekten adanası güzeldi artık yeni adresimiz olacak.,10.0,10.0,10.0,1606514016
Her sey çok iyiydi fakat sogansiz istegimi dikkat etmemişler.,10.0,10.0,10.0,1606514016
Süper.,10.0,10.0,10.0,1606514016
Biz burayı hep seviyoruz. Bu sefer de çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1606341216
Güzeldi.,10.0,10.0,10.0,1606254816
Belirlenen vakitte özellikle öğle vaktinde neden geç kalıyorsunuz.,1.0,8.0,9.0,1606254816
Güzel degil.,1.0,1.0,1.0,1606254816
Her zamanki gibi hızlı özenli ve lezzetliydi.,9.0,9.0,10.0,1606168416
Her zaman çok iyi. Şalgamları değişse daha iyi olacak.,10.0,10.0,10.0,1606168416
Lezzet çok iyi... Yani söyleyecek hiçbir şey yok gerçekten harikaydı. Ama dünya üzerinde 120gr olan dürümle doyacak bir insan olduğunu sanmıyorum...,8.0,8.0,10.0,1606168416
Good.,10.0,10.0,10.0,1606168416
Herzamanki gibi mükemmel lezzet.,10.0,10.0,10.0,1606168416
Tesekkur ederim.,8.0,8.0,8.0,1606168416
Elinize sağlık ben yemedim ama :).,10.0,10.0,8.0,1606082016
"Yanında tuz, peçete ve helva için çatal yada kaşık yoktu paket güzel değildi. Lezzetini alamadım.",8.0,1.0,5.0,1606082016
Enfes bir dürüm yedim elinize sağlık.,10.0,10.0,10.0,1605995616
"Adana dürümü yerken adanaya gidip geliyorsunuz, o kadar başarılı.",10.0,10.0,10.0,1605995616
Çok iyi pişman olmazsınız..,10.0,10.0,10.0,1605995616
Çok hızlı servisdi. Lezzetide güzeldi. Şefin eline sağlık.,10.0,10.0,10.0,1605995616
Her seferinde pamuk gibi olan ciğerler bu sefer taş gibiydi... Üzüldüm. Lavaşların da bir kısmını çok sert oldukladı için yiyemedinm.,10.0,8.0,8.0,1605995616
Herşey güzeldi yalnız porsiyonlar büyütülmeli doyurucu değil.,10.0,10.0,10.0,1605909216
Tıka basa et şiş dürüm istedik maalesef etler çiğ geldi.,8.0,8.0,1.0,1605909216
"Herşeu çok lezzetliydi, teşekkürler elinize sağlık.",10.0,10.0,10.0,1605822816
Cimrisiniz nota bir tane daha turşu koyar mısınız dedim koymadınız. Zengin oldunuz mu bir turşuyla.,1.0,1.0,1.0,1605822816
Durumle birlikte gelen ayran yoktu. Tavuk sis cok kuruydu ve tatsizdi.,7.0,1.0,1.0,1605822816
Insan durum soganli yazar yada opsyon koyar.,8.0,6.0,1.0,1605822816
Ciğer dürüm güzeldi ama sular gelmedi.,10.0,10.0,10.0,1605736416
Müthiş daha ne olsun...,10.0,10.0,10.0,1605736416
Özellikle paketci ahmet abiye teşekkür ederim.,10.0,9.0,10.0,1605650016
Adanayı yerken adeta adanaya gidip geldim.,10.0,10.0,10.0,1605650016
Muazzamdı vallaha gece gece.,10.0,10.0,10.0,1605650016
"Teşekkürler, herşey güzeldi.",10.0,10.0,10.0,1605563616
Yine mükemmeldi...,10.0,10.0,10.0,1605563616
Lavaşın biraz kalın olması dışında gayet iyi elinize sağlık.,10.0,10.0,10.0,1605477216
"Gerçekten ikramları, paketin doluluğu, lezzetleri herşey 10 numaraydı teşekkürler.",10.0,10.0,10.0,1605477216
Çok iyi.,10.0,10.0,10.0,1605390816
Yine hızlı ve lezzetli.,10.0,10.0,9.0,1605390816
Ürünüm eksik geldi içecek gönderilmemişti.,7.0,3.0,6.0,1605390816
Adana dürümü doyurucu ver gerçekten güzel sizi üzmez.,10.0,10.0,10.0,1605218016
Adana lavaşı biraz daha güzel olabilir fiyat performansa göre güzel.,10.0,10.0,10.0,1605218016
240 gr adana dürüm söyledim normal tavuk dürüm gönderdiler.,7.0,5.0,1.0,1605218016
Ustam bu seferki etler kuruydu ve azdı. Dürüm içinde domates yedik.,10.0,10.0,7.0,1605131616
Çorba icin keske kasikda koysaydiniz :(.,10.0,1.0,10.0,1604958816
Gayet güzel ama adanaya doymak isteyenler 240 gr söylesin.,10.0,10.0,10.0,1604958816
"Herşey şahane, tüm personelin eline koluna sağlık. Herkese tavsiye ediyorum. :).",10.0,10.0,10.0,1604958816
Başarılı fiyat performansı iyi.,10.0,10.0,9.0,1604958816
Kötü eti çok kötü.,5.0,5.0,5.0,1604872416
Adanası lezzetli ekmekleri tam dürüm pidesi ve hızlılar. Başarılar.,10.0,10.0,10.0,1604872416
"Adana dürüm yine başarılı, yine güzeldi..",10.0,9.0,9.0,1604872416
Guzeldi tam fiyat performans ürün u.,9.0,9.0,9.0,1604786016
Kanat porsiyonları azalmış..,10.0,7.0,8.0,1604786016
1. 5 porsiyon karışık kebap siparişi verdim gayet hızlı geldi lezzette fena değildi ama sunum fevkalade berbattı ilk ve son siparişim oldu bu.,8.0,1.0,5.0,1604786016
Süper adana dürümleri.,10.0,10.0,10.0,1604699616
Bağcılar maha gönderimi açın.,10.0,10.0,10.0,1604699616
Lezzet düşüyor.,9.0,8.0,8.0,1604613216
Adana güzeldi ama doyurucu degil keske 1. 5 porsiyon soyleseymisim.,9.0,9.0,9.0,1604440416
Menülerde yazan tatlılar gelmeditr iliçe yerine bir kaşık irmik helvası göndermişler.,10.0,3.0,10.0,1604440416
Good.,10.0,10.0,10.0,1604440416
Guzel.,10.0,10.0,10.0,1604440417
Şalgam markanız dışında her şey süper.,10.0,10.0,10.0,1604267617
Hem bol hem lezzetli hemde uygun elinize sağlık.,9.0,9.0,9.0,1604267617
Çok sıradan.,7.0,4.0,4.0,1604267617
Çok güzel harika tek sıkıntısı bazen ekmek hafif ıslanabiliyor bu sorunu problem etmem derseniz bulunmaz hint kumaşı.,10.0,10.0,10.0,1604181217
Adanası güzeldi tavuk şiş o kadar iyidegildi.,10.0,9.0,8.0,1604181217
Daha özenli paketlenebilirdi. Paketin birine salatanın sosu komple dökülmüş yiyemedik. Onun haricinde lezzet güzel...,10.0,5.0,10.0,1604094817
Uzun zamandır yediğin en iyi adana dürüm olabilir. Fakat içecek unutulmuştu.,10.0,9.0,10.0,1604094817
On numara.,10.0,10.0,10.0,1604094817
Genel olarak hersey güzeldi. Mezeler daha iyi hale getirilebilir diye dusundugum için 9puan verdim.,9.0,9.0,9.0,1604094817
Tavuk şiş çok güzeldi.,10.0,10.0,10.0,1604008417
Güzeldi ama daha az domates olabilir ve ayran değişmeli artık.,10.0,10.0,10.0,1604008417
Fiyat performansı çok başarılı. Son derece doyurucu ve lezzeti iyi.,10.0,10.0,9.0,1604008417
"İlk defa sipariş verdik, çok lezzetliydi ellerinize sağlık.",9.0,10.0,10.0,1604008417
10 numara 5 yıldız efendim.,10.0,10.0,10.0,1604008417
