comment_text,comment_speed,comment_service,comment_taste,comment_time
Kokoreç harika.,10.0,10.0,10.0,1606515618
Herşeyiyle mükemmel.,10.0,10.0,10.0,1606515618
Her şey çok güzel. Değişmeyen kalite.,10.0,10.0,10.0,1606429218
Valla şaşkınım 25 liraya tam ekmek kokoreç yazıyordu denedim cidden güzel. Madem güzel kokoreç bu fiyata oluyor diğer yerler niye pahalı. Neyse yiyin bence.,10.0,10.0,10.0,1606342818
Tadı çok kötüydü.,1.0,1.0,1.0,1606256418
Bu sefer biraz duru geldi.,10.0,9.0,7.0,1606170018
Paketleme kotuydu 2 corbada yeşilliklerin üstüne dökülmüştü.,8.0,1.0,8.0,1606170018
Soğuk ve çok kötüydü.,1.0,1.0,1.0,1606083618
Aşırı fazla yağlı.,3.0,5.0,4.0,1605997218
Teşekkürler...,10.0,10.0,10.0,1605910818
On numara.,10.0,10.0,10.0,1605651618
Yemekten sonra o kadar lezzetliydiki kağıdı da yedim.,10.0,10.0,10.0,1605651618
Teşekkürler.,10.0,10.0,10.0,1605478818
Gayet hızlı ve lezzetli.,10.0,10.0,10.0,1605478818
Cok hizli geldi. Burger cok lezzetlidi. Kuryeci abide cok kibardi. Hediye pasta icin tesekkurler.,10.0,10.0,10.0,1605306018
Kokoreç pek lezzetli değildi ama kelle paçası hem sıcak hemde lezzetliydi. Ellerinize sağlık.,10.0,10.0,10.0,1605219618
On numara.,10.0,10.0,10.0,1605133218
Sipariş notuna hiç dikkat edilmemiş özellikle iri kıyım kokoreç istememe rağmen çok ince kıyım geldi tuz ve baharat aşırı fazlaydı kokoreç tadını hiç alamadık.,9.0,5.0,1.0,1604960418
Şu kokoreçin içerisinde ki kuyruk yağından vazgeçmiyorsunuz.,8.0,7.0,5.0,1604528418
"Onca yolu, çorba kelimenin tam anlamıyla kaynar halde, bir damla akmadan geldi. Ciğer de çok lezzetliydi, ellerinize emeğinize sağlık. Getiren beye de ayrıca teşekkür ederim. Çok kibar ve beyefendi biri.",10.0,10.0,10.0,1604442018
Kokoreç çok kötüydü beğenmedim.,9.0,1.0,1.0,1604269218
Guzel.,10.0,10.0,10.0,1604010018
Makuldü.,9.0,8.0,8.0,1604010018
Kokoreç diye sattığınız resmen kokorecin yağı inanın yemeğe pqra vermekten çekinmem 500 lirada versem acımam adam gibi yemeğe ancak size dün verilen 30 ye iki gündür içim yanıyo. Yazıktır.,7.0,5.0,1.0,1603885872
Herşey güzel fakat servis ürünlerinde koku var.,9.0,5.0,10.0,1603885872
Kokoreçin ekmeği bile yanıktı lezzetinden bahsetmek anlamsız.,8.0,6.0,3.0,1603885872
Teşekkürler.,9.0,10.0,10.0,1603885872
Efsane çorbalar dolu dolu.,10.0,10.0,10.0,1603885872
Guzeldiii.,10.0,10.0,10.0,1603885872
Sevgilimle yedigimiz son yemek oldu. Elinize sağlık güzeldi.,10.0,10.0,10.0,1603885872
Çorba güzeldi. Sucuklar kötüydü.,4.0,9.0,6.0,1603885872
Asker selamı yolluyorum sizleree..,10.0,10.0,8.0,1603885872
Eşlerinize saglık kokoreç efsane teşekkür ederim notlara uyulduğu için ayrıca teşekkür ederim.,10.0,10.0,10.0,1603885872
"Kelle paça çorbanın yanında verilen yeşillikler güzel. Kokoreçte bildiğiniz gibi, teşekkürler.",10.0,10.0,10.0,1603885872
Kokoreç berbatti.,1.0,1.0,1.0,1603885872
"Karışık çorba söyledim, işkembe biraz kokuyor gibiydi. Kokoreçi iyiydi, ellerinize sağlık.",10.0,9.0,7.0,1603885872
Özellikle iri kıyım istedim acı istedim fakat istediğim gibi gelmedi ve hiç lezzeti yoktu açıkçası berbat hiç kimseye tavsiye etmem.,1.0,1.0,1.0,1603885872
Çok acıkmıştım 2 kişi 3 tane aldık ama 1 er tane yiyince doyduk. Hem sıcak geldi hem lezzetliydi hemde hızlıydı. Öneririm.,10.0,10.0,10.0,1603885872
"Nota turşu istemediğimi belirttiğim halde yollanmış. Tam ekmek istedim ama sadece ekmek tadı aldım gibi, birde ağzımda yağ tadı vardı. Daha önce defalarca yememe rağmen üzdü. Bir de zero seçtiğim halde normal pepsi geldi. O zaman belirtilmeliydi.",10.0,7.0,5.0,1603885872
Güzeldi.,8.0,8.0,8.0,1603885872
Güzel tavsiye ederim.,9.0,9.0,9.0,1603885872
Tam ekmek kokoreçin porsiyonu daha büyük olmalıydı.,10.0,9.0,9.0,1603885872
Servis çok başarılı çorba sıcak ve hızlı geldi elinize sağlık.,10.0,10.0,10.0,1603885872
Kötü.,1.0,1.0,1.0,1603885872
Gönderim saatine dikkat edin lütfen. 21:00 da gönderilsin demiştim 20:30 da geldi.,10.0,10.0,10.0,1603885872
Tek keılımeyle harıkaydı.,10.0,10.0,10.0,1603885872
"Soğuk geldi, muhtemelen bayat olduğu için ekmek ortadan ikiye dağılmıştı, iç malzemesi az ve lezzetsizdi.",7.0,7.0,3.0,1601256126
Hizli sicak ve tadi guzeldi.,10.0,10.0,10.0,1601256126
Lezzet kötü değil ama çok lezzetli değil. Yanında bol miktarda yeşillik gönderiyorlat servis de iyi.,9.0,9.0,7.0,1601256126
15 dakikada geldi. Mercimek çorbası çok lezzetliydi. Üzerine biraz tereyağı dökülse daha güzel olurdu.,10.0,10.0,8.0,1601256126
Gercekten ciger cok guzeldi boldu ici ama sucuk ta normale gore iyiydi o yuzden 10 zaten.,10.0,10.0,10.0,1601256126
Paça mükemmel.,10.0,10.0,10.0,1601256126
İyi.,9.0,9.0,9.0,1601256126
İşkembe çorbası başarılıydı.,9.0,8.0,10.0,1601256126
Çorba güzeldi kokoreç çok kötüydü yiyemedim.,8.0,8.0,4.0,1601256126
Tadı güzeldi işkembe çorbasının.,8.0,8.0,10.0,1601256126
Acısız yazmama rağmen inanılmaz derecede fazla acılı getirmişlerdi.,8.0,8.0,3.0,1601256126
Kelle paça çorbası güzeldi tavsiye ederim.,9.0,8.0,9.0,1601256126
Düşünmeyin çorbada çok iyi :)).,10.0,10.0,10.0,1601256127
Keşke hayatta bazı şeyler de mercimek çorbası kadar güzel olsa :).,10.0,10.0,10.0,1601256127
Çok iyi.,10.0,10.0,10.0,1601256127
Kokorec söyledik ama yağdan başka bisey yoktu.,8.0,8.0,1.0,1601256127
Ben beğenmedim çorbaları açıkçası ellerinize sağlık yinede.,8.0,8.0,4.0,1601256127
Harikasınız çorbanız mükemmel levent beyde cok karizma:).,10.0,10.0,10.0,1601256127
Harikasınız kurye arkadasada teşekkürler.,10.0,10.0,10.0,1601256127
Gerçekten hız da servis de tat da 10 numara teşekkür ederim.,10.0,10.0,10.0,1601256127
Herşey güzel di kurye çok kibar dı.,10.0,10.0,10.0,1601256127
"Çok geç geldi, ve soğuktu.",1.0,1.0,1.0,1601256127
Kaşıksız çorba geldi 1 saat sonra kaşık geldi hani özür mahiyetinde ince bi hareket beklemiştim. Olmadı başaramadık abi.,1.0,1.0,1.0,1601256127
Daha iyi olanilir.,10.0,10.0,7.0,1601256127
Güzeldi.,10.0,10.0,10.0,1601256127
Çorba mükemmeldi ellerinize sağlık kurye arkadaşta cok kibardi siparişimi cok hızlı getirdi favorimsiniz.,10.0,10.0,10.0,1601256127
İyiydi...,8.0,10.0,10.0,1601256127
Mercimek çorbası ortalamaydı ama işkembe gerçekten çok kötüydü.,8.0,8.0,1.0,1601256127
Çorba sıcacıktı ve çok güzeldi elinize saglik.,10.0,10.0,10.0,1601256127
 vasat.,10.0,1.0,1.0,1601256127
2 arnavut ciğeri 1 kola sipariş ettik 2 kokoreç 1 kola getirmişler. Bize başkasının siparişi ile karıştığını söylediler. Tesadüf o ki karıştırdıkları siparişin de 2 ciğeri 1 kolası vardı.,1.0,1.0,1.0,1601256127
Buranın midyelerini tek geçerim.,10.0,10.0,10.0,1601256127
Hayatımda gördüğüm en kötü çorbaydı. Direkt çöpe döktüm. Katı gibi löp löp. Kokoreç için de iri kıyım diye not düşmüştüm bir öncekinin kırıntıları konulmuş kadar ufak parçalardan oluşuyordu. Daha önce de löp löp düşen çorbanız gelmişti unutup yine aldım. Bir daha asla sipariş vermeyeceğim maalesef.,8.0,8.0,1.0,1601256127
Tadı vasatın altında.,5.0,5.0,1.0,1598626381
Rezil bir kokoreçti heryeri yanıktı sipariş ettiğimize pişman olduk çokta geç geldi tam ekmek parası verdik ekmek tam değildi sıkıntı bir işletme.,1.0,1.0,1.0,1598626381
Teşekkürler.,10.0,10.0,10.0,1598626381
Her seyiyle mukemmeldi.,10.0,10.0,10.0,1598626381
50 dk da soğuk geldi kötü bi ekmeğin içine koymayın dediğim her şeyi koymuşlar içeceğimi limonlu istedim onu bile şeftali getirmişler.,1.0,1.0,1.0,1598626381
Biraz yanıktı :(.,9.0,9.0,6.0,1598626381
Kokoreç güzel ve tam ekmek doyurucu.,10.0,10.0,10.0,1598626381
Köfte ve arnavut ciğeri baya güzeldi. Fakat şırdanın tuzu yoktu bu da lezzet eksikliği yaratmış.,10.0,10.0,9.0,1598626382
"Kalite 10 numara, daha iyisini hak ediyor. Teşekkürler...",10.0,10.0,10.0,1598626382
Midyeler kucuktu 1. 5 pahalı ederi 0. 50krs anca ve kokoreçın ıcınde biberler buyuk buyuktu ve urunlerın yanına tursu veya cıgkpfte seklinde ikram koyabılırlerdı. Boş komerece 25 tl verdik direk.,10.0,6.0,9.0,1598626382
İyiydi...,10.0,10.0,10.0,1598626382
Teşekkürler çorbayla çok rahat karnım doydu tadı da gayet güzeldi.,10.0,10.0,10.0,1598626382
