comment_text,comment_speed,comment_service,comment_taste,comment_time
Cola fiyatını ödememe rağmen cola getirmediler.,10.0,5.0,10.0,1606344374
Çok iyi.,10.0,10.0,10.0,1606344374
Asla tavsiye edilecek bi yer degil.,1.0,1.0,1.0,1606171574
Hız sıfır olsa sıfırı işaretleyecektim çok yavaşsınız ama dürüm güzel lütfen birazdaha hızlanın.,1.0,8.0,9.0,1605998774
Çok kötüydü yiyemedim bile attım sakın almayın.,1.0,1.0,1.0,1605998774
"Yemek yağ içindeydi, tadı berbattı. Dipimdeki restauranttan çok geç geldi. Paket özensizdi. Ben yarısında çöpe attım. Kısaca yemeğin arkadaşlar.",1.0,1.0,1.0,1605912374
Çok kötü kullandıkları yağlar ürünler çok kalitesiz midem ağrıdı.,1.0,1.0,1.0,1605912374
Biraz daha geç gelseydi kahvaltının yanında akşam yemeği yiyecektik.,1.0,10.0,8.0,1605825974
Sos fazla olsun diye not düşmüştüm yok gibiydi lütfen notları dikkate alın.,8.0,8.0,6.0,1605825974
Valla iyiydi yani. D.,9.0,8.0,9.0,1605739574
Efsane fiyatı uygun lezzetli ve doyurucu.,10.0,10.0,10.0,1605739574
Hızı ve servisi güzeldi ama yemek çok yağlıydı çok rahatsız oldum.,9.0,8.0,5.0,1605653174
"İtinayla ayrıca sos koyarsanız güzel olur yazmıştım, aksine hic sos yoktu. Bu vasatlık icin teşekkür ederim.",9.0,6.0,6.0,1605653174
Tadı enfesdi.,10.0,10.0,10.0,1605653174
Hayat dürüm mükemmel!,10.0,10.0,10.0,1605480374
Koftesi patatesi bol ve güzeldi teşekkürler:).,10.0,10.0,10.0,1605480374
Aşırı lezzetli aşırı güzrll.,10.0,10.0,10.0,1605480374
Burdan yenmez.,1.0,1.0,1.0,1605307574
Kaşarlı tost istemiştim fakat karışık tost geldi ve patates soğuktu.,8.0,8.0,5.0,1605307574
Lezzet her zamanki gibi harika kadayıf tazeydi beğendim yabancı uyruklu kurye çok tatlı ve kibardı teşekkürler.,10.0,10.0,10.0,1605307574
Güzeldi.,10.0,10.0,10.0,1605221174
"Kuryeye sipariş notunu okuduğu için teşekkür ederim. Dev egeli tostun malzeme bolluğuna yine diyecek bir şey yok, fakat bu sefer çok çok yağlıydı yarısını yiyemedik.",10.0,10.0,7.0,1605221174
Fiyat performans iyi ancak acıkıcağınız saatten 2 saat önce sipariş verin ki denk gelsin xd.,1.0,8.0,5.0,1604961974
Berbattı müşteri kaybettiniz.,1.0,1.0,1.0,1604961974
Lwziz.,10.0,10.0,10.0,1604875574
Daha hızlı olması lazım. Soğuk içeçekle sıcak ürünü aynı poşete koymamanız lazım.,1.0,1.0,7.0,1604789174
Pepsi gayet lezzetliydi. Gerisi icin ayni yorumu yapamiyorum.,6.0,6.0,1.0,1604789174
Tostlarınızın hepsi sucuk kaşardı isimleri farklı olmasına rağmen.,1.0,1.0,1.0,1604702774
Turşusuz dedik turşulu geldi tavuklar zaten çiğ pişmemiş midemi ağrıttı. Değişim için iletişime geçtiğimde ise biz turşusuz gönderdik dediler ve değiştirmediler.,1.0,1.0,1.0,1604702774
Notları okumuyorlar. Turşu koymamalarini söyledim ama hayatımda ilk defa bu kadar turşuyu bir arada gördüm. Turşu haters bilir onun kokusu bile bulaşsa yiyemezsiniz...,10.0,7.0,7.0,1604702775
İçine hiç koymasaydiniz iyiydi berbat.,1.0,1.0,1.0,1604616375
Fiyat-performans olarak tavsiye edilir.,10.0,10.0,10.0,1604616375
Teşekkürler çok lezzetliydi.,10.0,10.0,10.0,1604529975
Biraz daha hızlı olabilirdi.,3.0,8.0,8.0,1604529975
Dürümü sos kazanına düşürmüş gibiydiler. Yedik fakat pek zaman geçmeden hepimiz mideden rahatsızlandık.,1.0,1.0,1.0,1604443575
7 dakikada geldi çok iyi.,10.0,10.0,10.0,1604443575
Berbat sulu bir döner.,1.0,1.0,1.0,1604443575
Ucuz ve lezzetli :).,10.0,10.0,10.0,1604443575
Önceki siparişimde yaşadığım çok fazla deri olması şikyetimi notlar kısmında yazmama rağmen yine bol derili bir dürüm getirdiler.,9.0,10.0,5.0,1604357175
"Gece geç vakitte jokerle söyledim gayet hızlı, sıcak ve lezzetli bir şekilde geldi, ancak hocam ızgara köftenin altında kalan sıcak pilava o plastik/köpük kabın plastiğinin kokusu siniyor pilavın alt kısmını yiyemedim o yüzden, bence kabı değiştirmelisiniz.",10.0,8.0,10.0,1604184375
