comment_text,comment_speed,comment_service,comment_taste,comment_time
Keşke notları okusanız.,10.0,7.0,7.0,1606517921
3lu dürüm lezzetli ve doyurucuydu. Hamuru döneri vs gayet güzeldi.,10.0,10.0,10.0,1606431521
Notları dikkate alırsanız daha güzel olur. Dönerinizi çok beğendik.,8.0,8.0,9.0,1606431521
Popiiiiii.,10.0,10.0,10.0,1606345121
Dürümlerin içinde çok fazla yeşillik vardı.,7.0,6.0,7.0,1606345121
Çok lezzetli.,10.0,10.0,10.0,1606345121
Güzeldi tavsiye ederim.,10.0,10.0,9.0,1606345121
Yenilenmiş daha bi güzel olmuş.,10.0,10.0,10.0,1606345121
Koftenin lezzeti harikaydi pilavda o saate gore cok canliydi sagolsunlar.,8.0,8.0,10.0,1606258721
Hiç beğenmedim.,1.0,1.0,1.0,1606258721
Çok lezzetli dolu dolu aşırı doyurucuydu ellerinize sağlık.,10.0,10.0,10.0,1606258721
Çok sıcak lezzetliydi içine eklenen soğan patates çok güzel olmuş.,10.0,10.0,10.0,1606258721
Soslarını bol koysanız daha lezzetli ürünler sunmuş olursunuz.,10.0,10.0,10.0,1606258721
1 bucuk saatte geldi yemeğim sitede 30-40 dk diyor. Hatay usulü dönerinizi pek begenmedim malesef içinde tüm tüm domates vardı.,1.0,6.0,4.0,1606258721
Döneri her zamanki gibi çok güzeldi fakat köfte bir tık daha geliştirilebilir.,10.0,8.0,10.0,1606258721
Efsane.,10.0,10.0,10.0,1606172321
İyii.,7.0,7.0,7.0,1606172321
Doyurucu 3lü dürüm.,10.0,10.0,10.0,1606172321
Porsiyon bayağı büyüktü gayet doyurucu ve ucuz ellerinize sağlık.,10.0,10.0,10.0,1606172321
Tatdı güzel ve doyurucu.,10.0,10.0,10.0,1606172321
İskenderin yoğurdu bir kaşık bile değildi lezzet güzel salata yok ezme yok pilav yok alacak kişilerin haberi olsun.,10.0,5.0,9.0,1606085921
Bozuk pos ile gelmişti kurye. Karttan çekti ama yarıda kesildiği için çekti mi çekmedi mi emin olamadık nakit ödedim.,8.0,9.0,9.0,1606085921
Fiyat ve lezzet skalası uygun. Gayet lezzetli. Hız konusunda biraz noksan ama o da gece saatlerinde olmasından dolayı olduğunu düşünüyorum. Tavsiye ederim.,6.0,10.0,10.0,1606085921
Yemek biraz soğuktu ama tadı güzeldi.,10.0,10.0,9.0,1605913121
Cheddar peynirli istedim içine koyulmamıştı...,8.0,5.0,10.0,1605913121
Soğuk.,1.0,1.0,1.0,1605913121
3 lü dürüm aşırı doyurucu.,10.0,10.0,10.0,1605913121
"Her şey harikaydı, elinize sağlık. Umarım bu süreci en az hasarla atlatırsınız. Yerli markalarımızın yanında olacağız.",10.0,10.0,10.0,1605826721
Fena değil.,9.0,9.0,7.0,1605826722
Dürümü yerken bir şey bozuk kokuyordu. Salata olabilir et de olabilir ama yiyemedim.,10.0,10.0,1.0,1605826722
Sosu bol olursa güzel oluyor.,9.0,9.0,9.0,1605826722
Peçete ıslak mendil vs yoktu. Lahmacuna hiç benzemiyordu yarım saat bunu mu bekledim dedim her ıssırdığım da.,1.0,1.0,1.0,1605740322
Başarılı.,10.0,10.0,10.0,1605740322
Öğrenciyken en iyi tavuk dönerci burasıydı. Aynı bölgeye taşındım ve 2dir sipariş veriyorum. Hem geç geliyor hem de eski lezzeti yok. 1 buçuk porsiyon tavuk dönerin yanına gönderdikleri salata da çok azdı. İnşallah düzeltirler de arkadaşlarımıza popülerden döner ısmarlarız.,3.0,7.0,7.0,1605740322
Tesekkurler.,10.0,10.0,10.0,1605653922
Güzeldi.,10.0,8.0,7.0,1605653922
Uygun fiyat doyurucu porsiyon hızlı servis.,10.0,10.0,10.0,1605653922
"Ben her gün sizden sipariş veririm, siz yeter ki kaliteli tavuk koyun.",10.0,10.0,8.0,1605653922
Cumhuriyet fenin vazgecilmezi.,8.0,9.0,10.0,1605653922
"3 adet zurna dürüm istedim, 3 adet mandalinadan küçük dürüm geldi. İade ettim, pişman değilim. Bir de arayınca bizde zurna böyle oluyor diyorlar. Yazık...",6.0,1.0,1.0,1605653922
Her seferinde durumlerin icinin duzgun olmasini istedim ama durumlerin ici cok bos sade tafi guzel hic lafim yok ama duzeltilmesi lazim.,1.0,1.0,5.0,1605567522
"24 dk da sipariş teslimi. 70 liralık ürüne... Harikaydı. Sadece biraz soğuktu, daha iyi muhafaza edersiniz müko olur.",10.0,10.0,7.0,1605481122
Son siparişimde menüde olmasına rağmen kola gelmedi.,7.0,6.0,8.0,1605394722
Sipariş veriyorsun eksik geliyor menü de ayran yazıyor ama yok tatlı sipariş verdik yanlış tatlı geldi üstelik çatal bile koymamışlar yani anlayacağınız özenmiyorlar müşteriyle ilgilenmiyorlar biz ne bulursak onu gönderelim mantığı var.,1.0,1.0,1.0,1605394722
Döner çok lezzetli fakat o lavaş neydi öle elimize aldıkça parçalandı.,8.0,7.0,10.0,1605394722
İyiydi.,10.0,9.0,9.0,1605308322
Sipariş cok yavaş geldi 1. 5 saati geçmişti.,1.0,5.0,8.0,1605308322
Abi doymayı özlemişim. Gerçek dönerin de tadını unutmuşuz. Onlar beni tanımaz ama ben aboneleriyimdir :).,10.0,10.0,10.0,1605221922
Porsiyonlar küçülmüş gibiydi :( eskiden bir menüyle doyardık şimdi 2.,7.0,8.0,7.0,1605221922
1. 30 saatte geliyor yemek söylediğimi unuttum.,4.0,5.0,4.0,1605221922
"Kurye efendi bir arkadaştı, tavuk suyu çorbasında tavuk parçaları yeteri miktarda vardı, sadece kıvam olarak tam yeterli bulmadım ama tercih edilir, dürümde kötü değildi aman aman da değildi. Genel olarak tercih edilebilecek bir işletme.",10.0,10.0,8.0,1605221922
Çiğ geldi resmen.,10.0,1.0,1.0,1605135522
1 saatte gelir mi bi dürüm ya? Yazık.,1.0,1.0,1.0,1605135522
Tavuk iskender porsiyonu güzel yemek lezzetli.,10.0,10.0,10.0,1605135522
Plz hurry up im starving.,5.0,6.0,8.0,1605135522
"Berbat bir paketleme, cola ekmeğe sarılmış, tüm poşet salata olmuş. Tavuklu pilav her yere dağılmış. İki tane ana yemek söyledim. İkisi de buz gibiydi. Patatesler taş gibi ve soğuktu. Servis ve lezzet çok kötüydü.",5.0,1.0,1.0,1605049123
Lezzeti çok güzeldi ancak çift lavaş sipariş etmemize rağmen tek lavaş geldi.,8.0,5.0,9.0,1605049123
Güzeldi ama daha iyi olabilir.,10.0,10.0,10.0,1605049123
Güzeldi.,7.0,9.0,8.0,1605049123
Yemek sogukdu ve hic iyi digildi.,9.0,8.0,6.0,1605049123
Karnınızı doyurup öyle sipariş verin gelene kadar acikiyonuz zaten minimum 60 dk.,1.0,3.0,3.0,1604962723
Her zaman ki gibi 10 numara 5.,10.0,10.0,10.0,1604962723
Önceden çok severek yerdim fakat hem 50 dk da geldi hem ekstra söylediğim patates taş gibiydi patateslikten çıkmıştı döner de buz gibi gerçekten hayal kırıklığı.,5.0,4.0,3.0,1604962723
