comment_text,comment_speed,comment_service,comment_taste,comment_time
Efsanesiniz.,10.0,10.0,10.0,1606518086
Baya başarılı.,10.0,10.0,10.0,1606258886
Mükemmel.,10.0,10.0,10.0,1605999686
Hızlı sıcak ve lezzetliydi getirenin ve ustanın eline sağlık.,10.0,10.0,10.0,1605913286
Başarılıydı.,10.0,10.0,10.0,1605826886
Kokorec resmen pişmemiş di çok değişik bir kokusu vardı resmen yiyemedim ve birdaha asla kokarec yemem hala midem bulanıyor.,7.0,1.0,1.0,1605826886
"Notları dikkate aldığınız için teşekkürler, elinize sağlık.",9.0,9.0,9.0,1605740486
Gayet iyi.,9.0,9.0,9.0,1605740486
Her şeyi geçiyorum o kadar hızlı geldi ki hızır as. Le bağlantıları olabilir.,10.0,8.0,8.0,1605654086
Çorbanın tuzunu azaltın.,10.0,10.0,10.0,1605481286
Notlarda cin biber istedim koymamışlardı evimin dibi olmasına rağmen çok geç geldi.,7.0,5.0,7.0,1605308486
Buz gibi geldi. Bütün ürünler. Ayıptır yahu. Hem lezzetsiz hem de soğuktu! Bir daha sipariş vermem!,3.0,1.0,1.0,1605222086
Lezzetli. Cayyolu subesinin de servise acilmasi iyi oldu. Daha hizli geliyor.,9.0,9.0,9.0,1604876486
Güzeldi çabuk geldi.,10.0,10.0,10.0,1604876486
Beğenmedim. Soguk gelmiş.,1.0,1.0,1.0,1604790086
Islak hamburger bozmuş.,10.0,10.0,8.0,1604703686
Çok lezzetli idi ama servis koyulmamıştı. Notları okumaları lazım...,9.0,9.0,9.0,1604703686
10 dkda geldi çok lezzetliydi sadece turşu eksikti.,10.0,10.0,10.0,1604617286
"Çok lezzetliydi, sıcacıktı ve 15 dakika bile geçmeden çok hızlı bir şekilde teslim edildi. Teşekkürler.",10.0,10.0,10.0,1604444486
Soğuktu.,5.0,6.0,8.0,1604444486
Sebezesiz yemenizi tavsiye ederim.,9.0,9.0,9.0,1604271686
Köfte harikaydı ellerinize sağlık ama midye dolma pek hijyenik değildi atmak zorunda kaldım.,10.0,10.0,10.0,1604185286
Kokoreç her zamanki gibi muhteşemdi fakat açtığım 10 midyeden 7si taşlıydı. Ben müessesinizin kalitesine inanıyorum ve ilerleyen siparişlerinizde buna dikkat edeceğinizi biliyorum. İyi çalışmalar dilerim.,10.0,7.0,3.0,1604098886
"Ben hiç beğenmedim, hayal kırıklığı... !",6.0,3.0,2.0,1604098886
Yemekler buz gibi geldi kezzet hiç yok midyeler bayat rezillik!,1.0,1.0,1.0,1604012486
7 dakikada geldi.,10.0,10.0,10.0,1603926086
Gecikti ve paketleme çok özensizdi. Kokoreç ekmeği bayat gibiydi.,1.0,1.0,1.0,1603926086
Lezzeti yerinde ama hazırkarken bu kadar tuz kullanmayın.,8.0,8.0,6.0,1603888340
11 dakikada sıcacık lezzetli bir şekilde geldi. Kurye arkadaşa nakit bulunmamasından ötürü bahşiş veremedim. Hakkını helal etsin. Teşekkürler.,10.0,10.0,10.0,1603888340
Tavsiye ederim.,8.0,8.0,8.0,1603888341
Sebzesiz secilen kokorec 2. Defa sebzeli geliyor. Biraz dikkat ya!,1.0,1.0,1.0,1603888341
Hın.,8.0,8.0,8.0,1603888341
Genel olarak memnun olmakla birlikte hıza verebilsem 12-13 verirdim. Yakında yaşıyorum ama her seferinde en fazla 15 dakikada geliyor. Çok aç olanlara özellikle tavsiye ederim.,10.0,10.0,10.0,1603888341
"Herşey çok güzeldi elinize emeğinize sağlık. Joker olmasına rağmen çok hızlı geldi, sıcak ve gayet lezzetliydi.",10.0,10.0,10.0,1603888341
Islak hamburgerine bayıldığım yerdin. Ne oldu böyle? Sosunuz mu bitti? Uya batırıp çıkarmışsınız sanki.,10.0,8.0,5.0,1603888341
Sıcaktı güzeldi baya keşke sebzesiz söyleseydim çok daha güzel olabilirdi.,10.0,10.0,8.0,1603888341
Her açıdan da iyiydi yani 10 dk da falan geldi. Islak hamburgeri harika. Keşke 5 ıslak hamburger 25 lira kampanyası olsa.,10.0,10.0,10.0,1603888341
Çok kötü lezzeti hızı hijyeni sıfırın altında diyebilirim ilk ve son oldu.,1.0,1.0,1.0,1603888341
Kokoreçin şampiyon lezzet adresi.,10.0,10.0,10.0,1603888341
Evde kesinlikle tek başınıza denemeyin! Pes gerçekten pes her seyiyle rezalet!,1.0,1.0,1.0,1603888341
"Elinize sağlık, teşekkürler.",10.0,10.0,10.0,1603888341
"Kasa fişi teslim edilmedi, kokoreç süper.",9.0,9.0,9.0,1603888341
Her zaman vaktinde ve sıcak geliyor teşekkürler.,9.0,9.0,9.0,1603888341
Işık hızında.,10.0,10.0,10.0,1603888341
"Sipariş açıklamalarını okumuyorlar, iri kıyım kokoreç istiyorsun un ufak gönderip yolluyorlar. Lezzetleri ve hızlı teslimat konusunda diyecek bir söz yok ama biraz daha elektronik sisteme odaklanmaları lazım.",9.0,9.0,9.0,1603888341
İsmi gibi gerçekten şampiyonlar teşekkürler.,10.0,10.0,10.0,1603888341
Bazilarindan sert birseyler cikti :/.,8.0,9.0,7.0,1603888341
Kafamız güzel yanlış sipariş vermişiz ama gayet iyiydi galiba herhalde sanırım ama çok iyi kokoreççi.,10.0,10.0,10.0,1603888341
Kokooo.,9.0,9.0,9.0,1603888341
Daha hızlısı mezarda.,10.0,10.0,10.0,1603888341
Hayatımda yediğim en kötü kokoreç.,8.0,8.0,2.0,1603888341
Rezaletti.,1.0,1.0,1.0,1603888341
Çizgisini bozdu.,7.0,10.0,5.0,1603888341
Lezzeti pek yok güzel ama.,10.0,10.0,8.0,1603888341
Başarılı.,10.0,10.0,10.0,1603888341
