comment_text,comment_speed,comment_service,comment_taste,comment_time
Cilekli magnolya olağanüstü guzeldi. Cilekler krama taptaze. Oxenle hazırlanmış cok belli. Ekinize sagkik. Daha lezzetliddini yemedik. Ailece bayildik. Tejrar sipatis vetecegim bu kezx mutlu cileklinin tadına bakacam. Lokmalar zaten efsana. Bu kadar sıcak getirmeyi nasil başarıyorsunuz helal olsin.,10.0,10.0,10.0,1606345403
1 saat 40 dakik sonra geldi.,1.0,8.0,8.0,1605999803
"Sütlaç siparişi aynı semt içinde 58 dakikada geldi. Bu kadar yoğunluk varsa, ona göre eleman çalıştırılmalı. Nota dikkat edilmemiş, hamsiköy sütlacı daha çok fındıklı olur ayrıca sütlaçta değişik bir koku vardı. Lezzeti vasat altıydı. İlk kez sipariş verdim, bir daha vereceğimi sanmıyorum.",1.0,1.0,3.0,1605567803
Çok başarılı bir işletme.,10.0,10.0,10.0,1605567803
"Siparişim de pepsi de istemiştim, gelmediği gibi para iadesi de yapılmadı. Sütlacın pirinçleri kıtır kıtır pişmemiş ve kuryeniz siparişimi ya sallayarak getirdiği için ya da siz paketleme de hata yaptığınız için sütlacın yarısı dökülmüş vaziyette geldi. Böyle bir çalışma şekli olamaz.",7.0,4.0,4.0,1605481403
"Magnolialar sıcak geldi, yoksa sunumlar çok şeker. Öte yandan tat olaraksa güzeldi, amcak magnoliadan ziyade muhallebi gibiydi.",6.0,6.0,6.0,1605308603
"Fıstık fıstığa benzemiyor, tereyağ kokusu yok, margarin gibi, bayat. İ.",5.0,7.0,2.0,1605135803
Çok hızlı geldi bu yönden takdir ediyorum. 2 ayrı tatlı sipariş ettik. Tek kutuda geldi o yüzden servisten puan kırdım. Tatlının şerbeti kötüydü maalesef. Şerbetli tatlının şerbeti şeffaf renkli olmaz hafif sarıya kaçar. Gerçek şekerle mi yapıldı diye düşündürdü bana.,10.0,9.0,6.0,1605049403
"Lezzetsiz soğuk baklava, sütlaç ve lokma tatlısı. Üçü fe tekrar sipariş edilemeyecek kadar lezzetsiz ve kullanılan çikolata çok kötüydü. Maalesef ilk ve son siparişim olmuş olacak.",5.0,2.0,2.0,1604876603
Joker siparişimdi gayet hızlı ve özenli hazırlanmış şekilde geldi ürünler lezzetli.,10.0,10.0,10.0,1604876603
Gercekten.,1.0,1.0,8.0,1604876603
Eskiden bayıla bayıla yerdim maglerinizi. Şimdi ise kaliteyi biraz düşürdüğünüzü düşünmekteyim. En kısa zamanda eski haline döndürmeniz dileğiyle.,9.0,10.0,5.0,1604703803
Daha iyilerini yemistim ama gayet iyiydi tesekkurler.,10.0,10.0,8.0,1604703803
Son derece güzeldi... Emeğinize ellerinize sağlık...,10.0,10.0,10.0,1604617403
Gerçek tatlıcılarda ayran olurmuş.. Birbirinden lezzetli tatlılar ve hızlı gönderim için teşekkürler. Puanım 10/10.,10.0,10.0,10.0,1604617403
Uzaktan geldiği için geç geldi amenna ama tek. Guzel şey kuryenin güler yuzuydu soğuk baklava soğuk baklava değildi çok enterasan birseydi tavsiye etmiyorum.,6.0,9.0,1.0,1604531003
"Sütlaç, oreo mag, çilekli mag ve karışık çikolatalı mag siparişi verdim. Karışık çikolatalı dışında diğerleri harikaydı. Karışıkta ise neredeyse sadece bisküvi var gibiydi kreması çok azdı. Genel olarak ilk denemede çok memnun kaldım. Teşekkürler servis için.",10.0,10.0,9.0,1603888457
Güzeldi tesekkürler.,10.0,10.0,10.0,1603888457
Güzeldi.,10.0,10.0,10.0,1603888457
Güzeldi.,10.0,10.0,10.0,1603888457
1 saatte teslim edildi.,1.0,7.0,5.0,1603888457
Ellerinize sağlık. Eryamana kadar getirdiniz. Tebrik ederim.,10.0,10.0,10.0,1603888457
Çok lezzetliydi. Tavsiye ederim.,10.0,10.0,10.0,1603888457
"Yani mag ları çok övülmüş ama anlamadım bence ev yapimi muhallebi bildiğimiz hani hatta unu bi tık fazla kaçmış) kremali lezzetli bi muhallebi bekledim bu kadar övgüye, ha bisküvi kurtarmis lezzeti bilemedim tekrar söyler miyim..",10.0,10.0,7.0,1603888457
Geç gelse bile tereyağlı antep baklava çok başarılıydı. Normalde hızı daha düşük vermem gerekiyor fakat kuryenizin kibarlığı ve özrü için :)).,9.0,10.0,10.0,1603888457
"Magnolyalara bayıldık, gerçekten çok lezzetliydi ve de kuryeniz çok kibardı, teşekkür ederiz :).",9.0,10.0,10.0,1603888457
İyiydi.,10.0,10.0,10.0,1603888457
Zaten tatlı yemek istediğimizde aklımıza ilk gelen yersiniz ama yeni magnolialarınız gerçekten çok iyi özellikle şeftalili olan tavsiye ederim ayrıca her zaman ki gibi yolun uzaklığına rağmen eryamana kadar geldiniz çoğu işletme bunu yapmayıp reddetmeyi tercih ediyor bence fazlasıyla hak ediyorsunu.,10.0,10.0,10.0,1603888457
Gecenin ikisinde sipariş verdim çok memnun kaldim bu saatlere kadar tatli getiren tek yer düsünmeden söyleyin derim.,10.0,10.0,10.0,1603888457
Gayet güzel lezzetli.,10.0,10.0,10.0,1603888457
"Lezzeti ve düşünülmüş paketlemesi çok iyiydi. Sadece siparişim biraz geç geldi ama onun için de önden arayıp geç kalacağı bilgisini verdiler anlık yoğunluk yüzünden. Menüsü daha çeşitli olsa daha iyi olurdu, onları da iyi yaparlardı eminim. Siparişlerinizi buradan verin dostlar.",7.0,10.0,10.0,1603888457
"Midye baklava söyledik, fıstıklı baklava geldi. Mesafe olduğundan dakikanın uzaması normal. Ancak soylenilen sipariş gelir, kafaniza göre baklava koymuşsunuz. Tekrar sipariş eder miyiz? Zor.",1.0,1.0,1.0,1603888457
Hız çok yavaş maksimum 45 dakika olan sipariş 1 saat de geldi. Hız konusunda daha dikkatli olmanız gerek. Hizmet güzel ama hizmeti beğendim. Tek sorun hız.,4.0,10.0,10.0,1603888457
Midye baklava mükemmel şöbiyet harika.,10.0,10.0,10.0,1603888457
Sütlaç su gibi.,8.0,8.0,8.0,1603888457
Yarım kilosu 50-60 tlye 7 dilim geldi tanesi 10 tl eder nereden baksanız ve cevizli geldi soğuk baklava benim bildiğim bu fiyata ve içeriği belirtilmemişse fıstıklı olur. Sattığınız fiyata hacıbaba yenir aynı gramajda. Arkadaşıma jest yapayım dedim fıstığın yağından cevizli ekmek gibi oldu.,1.0,1.0,1.0,1601258711
Fena değil.,10.0,10.0,7.0,1601258711
Gerçekten çok lezizdi yorumlar abartılmış fazlasıyla çankayadan etyamana getirmeleri de ayrıca çok daha iyi bir şeydi benim için herşeyiyle 10/10 luk bir sipariş teslimatıydı umarım hep böyle lezziz ve hızlı olursunuz hayırlı işler dilerim.,10.0,10.0,10.0,1601258711
Ben çok beğendim soğuk baklava özellikle çok güzeldi.,10.0,10.0,10.0,1601258711
"Hamsiköy sütlacı güzeldi, biraz sulu sevenler denemeli soğuk baklava ise daha önce çok daha lezzetlisini yediğim için damak tadıma uymadı diyelim. 3 adett biri köşeydi o üzdü kuryeniz geç kaldığı için durumunu kibarca bildirdiğinden tam puanı hakettiniz...",10.0,10.0,8.0,1601258711
"Soğuk baklavanın üzerine pudra şekeri değil de beyaz çikolata daha güzel yakışır bence. Onun dışında kötü diyemem lezzeti için. Ama ben pudra şekerli bir daha tercih etmem, benim damak tadıma uygun değil...",8.0,8.0,7.0,1601258711
Bir bucuk saatte geldi siparis ustelik eksik siparis getirdiler jokerden geldikleri icin tercih etmistik ama tavsiye etmiyorum.,1.0,1.0,1.0,1601258711
Fıstıklı özel baklava ve oreolu mag gayet güzel ve tazeydi fakat çilekli magın çilekleri çürüktü ve bayattı bu konuda işletmenin dikkatli davranmasını öneririm.,9.0,9.0,5.0,1601258711
Sütlü baklavanın kilosu 120 tl olunca cevizli olacağını sanmamıştım.. Cevize alerjim var tadına bile bakamadım.. Üst segment dükkanlarda bile kilosu 100 tl fıstıklı hali.,8.0,5.0,5.0,1601258711
Gayet guzeldi saglikli ev urunu gibiydi yapay degildi ben begendim soguk baklavanin ust kismindaki detaylar daha basarili olabilir teknotum bu.,8.0,9.0,9.0,1601258711
Lezzet fena değildi ama siparişim çok eksik geldi ayrıca kaşık da yoktu.,7.0,1.0,7.0,1601258711
"Çok hızlı, kavanozlar, tatlıların görünümü çok güzel ama tatlılar baya ekşimiş :(.",10.0,10.0,6.0,1601258711
Yediğim açık ara en kötü soğuk baklavaydı. Kesinlikle denemeyin. Bu arada soğuk baklava cevizli olmaz.,8.0,1.0,1.0,1601258711
"İki tane ice tea sipariş etmiştim, bir tane geldi :/.",8.0,7.0,10.0,1601258711
"Hamsiköy sütlaç söyledim ve bana kenarı kırık güveçte geldi bence yapilmamsi gerekn bir şey, soğuk baklavasida heryerde olan lezzetteydi bir daha sipariş verir miyim hayır.",7.0,6.0,4.0,1601258711
Harika hızla getiriyolar ürünler taze ve güzel tatlı yemek isteyince aklıma siz geliyorsunuz. Sütlacı ve baklavası mükemmel.,10.0,10.0,10.0,1601258711
Soğuk baklava iyi ustanın elinde olmazsa kolaylıkla çok kuru veya çok lapa olabilecek bir tatlı. Ama ustanızın eline sağlık kıvamı çok iyiydi. Tebrikler.,10.0,10.0,10.0,1601258711
Magnolya bir harikaydı. Sütlaç tek kelime ile efsaneydi. Herkese tavsiye ederim. Yeni mekanım burası artık.,10.0,10.0,10.0,1601258712
Sütlaç hamsiköy sütlacı değildi. Mug da bayattı. Bir daha kesinlikle yemem.,1.0,1.0,1.0,1601258712
"Ayrıntıya gerek yok, hepsi birbirinden lezzetliydi. Daha önce kesfetseymisim keske. Bundan sonra burasi. Teşekkürler.",8.0,10.0,10.0,1601258712
"Kilosu 90 tl olan bir soğuk baklava içi cevizli olmalı. Aynı zamanda sütlü hamura dönmüş durumdaydı maalesef, tereyağlı fıstklı baklava ise ortalama derecede.",10.0,9.0,3.0,1601258712
"Soğuk baklav, çikolatalı sütlü nuriye tatlısı. Çok lezzetli. Tavsiye ederim. 10 numara. Sütlacınız bana çok tatlı geldi. Üzerindeki fındıklar da çiğ fındık mıydı? Fındıklar yüzünden pirinçler pişmemiş hissi veriyordu. Şeker ölçüsü yarı yarıya azalsa veya tuz biraz daha artsa rahatsız etmezdi.",8.0,7.0,7.0,1598628966
"Çilekler çürümeye yüz tuttuğundan çilekli magin yarısını atmak zorunda kaldım maalesef, sütlaç güzeldi ama çilekli mag hayal kırıklığına uğrattı.",6.0,8.0,5.0,1598628966
Hamsiköy sütlacını beğenmediğim için 3 veriyorum. Pirinçler tam pişmemiş ve sertti ayrıca neredeyse süt gibi çok cıvık bir sütlaç göndermişlerdi.,7.0,3.0,3.0,1598628966
Özellikle soğuk baklavası aşırı iyidi şuana kadar yediğim en iyi tatlı diyebilirim. Düşünmeden sipariş edebilirsiniz.,10.0,10.0,10.0,1598628966
Soğuk baklava harika kesinlikle denemelisiniz magnoliada muhteşem olmuş ellerinize sağlık personelleri güler yüzlü ve hızlı.,10.0,10.0,10.0,1598628966
Berbat.,1.0,1.0,1.0,1598628966
Sütlü baklavası beklemişti tadi bozulmuştu ama havuç dilimi ve fıstıklı özel güzeldi... Fıstıklı özeli sütlü ile aynı kutuya koydukları için sütü ona da gelmişti dolayısıyla onun da bir kısmını yiyemedik...,10.0,7.0,5.0,1598628966
Fıstıklı baklava söyledik hayatımızda hiç görmediğimiz bi tatlı geldi. Onu da yiyemedik kutusuyla çöpe attık. Böyle iş olmaz.,5.0,1.0,1.0,1598628966
Midye baklava tatlısı çok güzeldi ve getiren abiye de tesekkür edeirz.,10.0,10.0,10.0,1598628966
Sütlaçların neredeyse yarısı dışına dökülmüştü. Çok sıvı ve pirinçleri sertti. Üzdü.,3.0,1.0,1.0,1598628966
Sütlü tatlılar hızlı ve lezzetli.,10.0,10.0,8.0,1598628966
Sütlü tatlım markası adı altında mutlu günlerin 2. Şubesi sanırım rezaletten başka bişey değil.,1.0,1.0,1.0,1598628966
"Siparişler başta karıştı, onun dışında lezzet yerindeydi öneririm.",8.0,6.0,9.0,1598628966
Soğuk baklavası güzeldi.,9.0,10.0,9.0,1598628966
Servis ve lezzet çok iyiydi. Hamsiköy sütlacını kesinlikle denemelisiniz!,10.0,10.0,10.0,1595999220
Geceyarısı soğuk baklava yiyesimiz gelince sayenizde havada kalmadı ve gerçekten lezzetli idi teşekkürler elinize sağlık.,10.0,10.0,10.0,1595999220
Sütlaçları hiç tattınızmı? Bir tanesi sütlaç değil pilavdı yediğim en kötü sütlaçtı adı sütlü tatlı olan bi yer için gerçekten üzücü.,4.0,3.0,1.0,1595999220
Tatlılar çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1595999220
Çok beğendik hem fiyat açısından hem lezzeti muhteşemdi.,10.0,10.0,10.0,1595999220
Bir saat bekletip. Eksik sipariş getirmek. Helal.,1.0,1.0,1.0,1595999220
Mükemmel lezzet.. Magnolya ve baklava çok taze ve lezzetliydi. Elinize sağlık. On.. On.. On..,10.0,10.0,10.0,1595999220
Lezzet dışında iyi.,10.0,10.0,7.0,1595999220
Baklava çok kötüydü sütlaç çok kötüydü beğenmedim.,4.0,7.0,3.0,1595999220
Midye baklava siparişi verdim üzerine de fıstık serpseniz daha da iyi olurdu herşey güzel.,9.0,9.0,9.0,1595999220
O kadar tazeydi ki harikasınız mag ve profiterol mükemmeldi ellerinize sağlık.,10.0,10.0,10.0,1595999221
Midye baklava eskiydi yemedik.,9.0,5.0,1.0,1595999221
Midye tatlısı istedim yarısını normal baklava göndermişsiniz keşke hepsini normal gönderseydiniz çünkü midye tatlısı çok bayattı.,8.0,8.0,5.0,1595999221
Profiterol iyiydi gerçekten. Ayrıca ilk açıldığınız zaman supanglede vardı ve çok lezizdi. Umarım tekrar satmaya başlarsınız.,9.0,10.0,10.0,1595999221
Beklettiği için üzülsekte tadına hayran kaldıkeğer daha hızlı teslimat yaparlarsa olay mekan olurlar.,8.0,10.0,10.0,1593369475
"Her biri ayrı ayrı lezzetli, enfesti. Ellerinize sağlık, bol kazançlar.",10.0,10.0,10.0,1593369475
Gerçekten çok hızlısınız sütlaç ve profiterole bayıldık çok lezzetli. Ayrıca çokta kibarsınız teşekkürler.,10.0,10.0,10.0,1593369475
Her ne kadar yiyemesem de güzeldi :).,10.0,10.0,10.0,1593369475
"Supangle, hamsiköy sütlacı, muzlu mag ve oreolu mag çok lezzetliydi. Kavonoz ve kasede olması da çok iyi.",10.0,10.0,10.0,1593369475
Çok lezzetli gerçekten tavsiye ederim.,4.0,8.0,10.0,1593369475
"Kaliteli, hızlı, lezzetli... Kısacası herşey mükemmeldi, harikasınız. Teşekkürler!",10.0,10.0,10.0,1593369475
Çok güzeldi gerçekten iyi yorumları hakediyor.,10.0,10.0,10.0,1593369475
Hayatımda yediğim en lezzetli magdı kesinlikle tavsiye ediyorum.,10.0,10.0,10.0,1593369475
Magnolialardan birisi bozuk çıktı. Onun dışında herşey güzel.,10.0,10.0,1.0,1593369475
Elinize sağlık.,10.0,10.0,10.0,1593369475
Çok leziz.,10.0,10.0,10.0,1593369475
Mag pasta supangle sütlaç hepsi ayrı bi güzeldi ilgi alaka çok iyi ve çok hızlıydı teşekkürler :))).,10.0,10.0,10.0,1593369475
