comment_text,comment_speed,comment_service,comment_taste,comment_time
Kötü her anlamda kötü.,1.0,1.0,1.0,1605827640
Super.,10.0,10.0,10.0,1605568440
Nohut pilavın üstüne su koyup kaynatıp çorba diye getirdiler.,1.0,1.0,1.0,1605568440
Çorbaniz gerçekten çok lezzetli ve çok sıcak geldi ilk defa denedim ve çok memnun kaldım kurye arkadaşa ayrıca teşekkürler çok hızlı geldi ve güler yüzlüydü iyi çalışmalar.,10.0,10.0,10.0,1605050040
Tek kelıme 10 numara.,10.0,10.0,10.0,1604963640
 herzaman efsanesin alibaba.,10.0,10.0,10.0,1604963640
Çorbası ve durumu efsane gecelerin kralı favori mekanimsiniz bundan sonra.,10.0,10.0,10.0,1604963640
Tek kelimeyle bayıldım. Müthiş hızlı ve lezzetliydi. Puanı daha yüksek olmalı. Zamanla yükselir bozmazlarsa tabiki herkese şiddetle tavsiye ederim.,10.0,10.0,10.0,1604963640
Notları okumanız lazım.,9.0,1.0,4.0,1604618040
Kola sekersiz geldi pilav ustu doner soledim icinde pilav yok bravo size ilk ve son siparis.,1.0,1.0,1.0,1604445240
