comment_text,comment_speed,comment_service,comment_taste,comment_time
Köftesi lezzetliydi ama burger köftesinden çok normal köfte gibiydi.,10.0,10.0,8.0,1606519453
Patatesler sıcacıktı. Teşekkür ederiz.,10.0,10.0,10.0,1606519453
Çok lezzetli ve sıcacıktı fiyatları da çok uygun lütfen hep indirimli kalsın.,10.0,10.0,10.0,1606433053
Çok hızlı geldi ve lezzeti çok iyiydi.,10.0,10.0,10.0,1606433053
"Abi burger baya iyidi ve lezzetlidi ama kurye abi o kadar tatlı ve kibar bir insan ki cidden çok kibar biriydi ve baya hızlı geldi,.",10.0,8.0,10.0,1606433053
"Vahdet hamburgeri gayet güzeldi, lezzetliydi. Hızlıydı. Selim abi kurye de gayet kibar bir abiydi.",10.0,10.0,10.0,1606346653
Beklentilerin altında.,9.0,8.0,8.0,1606346653
Hamburger gerçekten harika.,8.0,9.0,10.0,1606346653
Güzeldi elinize sağlık.,10.0,10.0,10.0,1606346653
Güzel bir hamburger.,10.0,10.0,10.0,1606173853
"Karamelize sogan yzmasina ragmen sogani direkt icine atmislardi, koftesi kupkuru rezaletti 1 saatte ancak getirdiler buz gibiydi ove ove bitiremediginiz patateslerin bim patatesinden farki yok vasattttt.",1.0,1.0,1.0,1606087453
Çok güzeldi ama cheeseburger istedim hamburger geldi.,9.0,9.0,9.0,1606001053
Hayırlı işler.,10.0,10.0,10.0,1605914653
Normalde yediğim ev yapımı hamburgerlerden çok daha lezzetliydi. Patates ise ayrıca muhteşemdi. Yanında getirilen sos ise aşırı başarılıydı. Kesinlikle mükemmel.,10.0,10.0,10.0,1605914653
Vaktinde geldi hem patates hem burger sıcak ve lezzetliydi..,10.0,10.0,10.0,1605828253
Tadı oldukça güzeldi ancak hiç bir sos koyulmamıştı.,10.0,8.0,10.0,1605828253
1. 5 saat bekledik mikrodalgada ısıtılmış saçma şeyler geldi.,1.0,1.0,2.0,1605309853
Tavuklar kerbelada yetişmiş kadar kuruydu.,10.0,6.0,6.0,1605223453
Ankarada yediğim en amatör burgerdi.,10.0,8.0,5.0,1605223453
"Normalde asla yorum yapmam ama hayatımda yediğim en en guzel hamburgerdi. Tam olarak aradigim buydu yani. Hiz da hariiikkaa. Sicaciik geldi. Yerken agzim bile yaniyodu siz dusunun.. Hepp boyle guzel bir restoran olarak kalmaniz dilegiyle, cok sevdim sizi. Daimi musterinizim artik.",10.0,10.0,10.0,1605223453
"Gayet lezzetliydi,.",10.0,10.0,10.0,1604877853
Tavuk sepeti söylemiştim her şey çok güzeldi ancak tavuklar bir tık daha fazla olabilirdi miktar olarak onun dışında her şey mükemmel.,10.0,10.0,10.0,1604877853
Normalde kimseye bu kadar acımasız olan birisi değilim yanlız gelen burgerin köftesi orta pişmiş olsun dediğimiz halde dışı yanmiş kurumuş içi ise pişmemiş parasına göre değmez bı burger gelmişti patetesler yağ ficisinda bekletilip tüm yağı emdikten sonra gönderilmiş lütfen işinizi severk yapn.,3.0,2.0,1.0,1604705053
Hamburger ve patates çok iyi.,10.0,10.0,10.0,1604618653
Sosu cok garip bir ozelligi yok cola sekersizdi normal gelmis. Lezzet olarak iyidi.,8.0,7.0,8.0,1604532253
Başarılı değildi. Az-orta pişmiş istemiştim iyi pişmiş bir köfte geldi.,8.0,7.0,6.0,1604532253
Pişirin lütfen pişirin yanmaz.,10.0,10.0,5.0,1604445853
Başarılı.,10.0,10.0,10.0,1604445853
Patatesler kötü köfte ev köftesi hamburger köftesi beklemeyin.,9.0,9.0,5.0,1604445853
Siparişime ketcap eklememe ragmen ketcap yoktu iki farkli hanburgerin hangisinin hangisi oldugu belirtilmemisti.,9.0,4.0,9.0,1604445853
Dev burger mükemmel.,10.0,10.0,10.0,1604273053
Kurye tam kral hayatımda yediğim en iyi burger.,10.0,10.0,10.0,1604100253
4 kişiye 1 tane barbekü sos ıslak peçete ve normal peçete yok hamburgerler tuzlu.,8.0,4.0,5.0,1604100253
1 saatte gelen siparişte söylediğim soslar eksikti. Lezzeti fena değil.,3.0,3.0,7.0,1604100253
"Kurye arkadaşa teşekkür ediyorum gerçekten çok hızlı getirdi. Kuryelerin kazasiz belasiz gelmesi eminim herkes için yemekten daha onemlidir, yolda dikkat edelim, kolay gelsin teşekkürler. :).",10.0,10.0,10.0,1604013853
Çok hızlı geldiyatsıyı kılayım gelene kadar dedim vitir namazına başlayamadan geldi :)kuryeniz de çok ilgiliydi teşekkürler.,10.0,10.0,10.0,1603889707
Burger köftesi güzeldi tavsiye ederim.,10.0,10.0,10.0,1603889707
Çok lezzetliydi.,10.0,10.0,10.0,1603889707
Cok lezzetliydi. Kurye de guler yuzluydu.,10.0,10.0,10.0,1603889707
Sipariş olarak cajun söyledim. İsmini öğrenemediğim güler yüzlü kurye kardeşim siparişi 13 dakikada getirdi. Lezzet olarak ise iyiydi. Ancak tuz miktarı mutlaka azaltılmalı.,10.0,10.0,9.0,1603889707
Cajun sepeti diğer cajunlardan farklıydı. Genel olarak güzeldi.,10.0,10.0,10.0,1603889707
Gayet hızlı geldi ve de lezzetli bir yemek teşekkür ederim.,9.0,9.0,9.0,1603889707
