comment_text,comment_speed,comment_service,comment_taste,comment_time
"Sıcacıktı, cok lezzetliydi. Tesekkürler.",9.0,10.0,10.0,1606522100
Servis çok hizli teşekkür ederim.,10.0,10.0,10.0,1606522100
"Çok kötüydü, lavaş sertti, patates beklemişti, döner ekşimişti, bide 50 dakikada geldi.",5.0,6.0,5.0,1606522100
Mezeler inanilmaz guzel.,9.0,9.0,10.0,1606522100
Hersey harikaydi elinize saglik.,10.0,10.0,10.0,1606435700
Siparişimin 20. Dakikasında sofradaydım. Varın siz düşünün hızını... Teşekkür ederiz.,10.0,10.0,10.0,1606435700
"Harika, notlari cok ciddiye aliyorlar ve buyuk kultur tasiyorlar.",10.0,10.0,10.0,1606435700
Gerçekten harika.,10.0,10.0,10.0,1606435700
Mükemmel.,10.0,10.0,10.0,1606435700
Her şey iyi de çok pahalı ya. Öğrenci indirimi olmalı.,7.0,9.0,8.0,1606435700
Eskiden daha iyiydi.,10.0,10.0,7.0,1606349300
Burdan soyleyin cok lezzetli.,10.0,10.0,10.0,1606349300
Güzeldi.,10.0,10.0,10.0,1606349300
40-45 dakikada geldi ve yemek buz gibiydi. Tekrar ısıtıp yemek zorunda kaldım.,5.0,5.0,1.0,1606349300
Her zamanki gibi harika.,9.0,9.0,10.0,1606349300
On numara bes yıldız tesekkurler...,10.0,10.0,10.0,1606349300
Geç saatte sipariş vermeme rağmen oldukça güzeldi. Kaşar bile donmamıştı. Afiyetle yedim. Teşekkürler. Ufacık bir ekleme yapmak istiyorum:sabah 6ya kadar servis veriyor olmanız müşterinin kararı değildir. Dolayısıyla ben 2de sipariş vererek insanlık suçu işlemedim. Kuryenize bunu iletiniz.,9.0,8.0,9.0,1606349300
Hepsi çok güzeldi. Yanına ikram olarak verdiğiniz çiğ köfte çamur gibiydi. Onu vermeseydiniz lezzet puanı 10 verirdim.,10.0,10.0,9.0,1606349300
Daha önceden söylediğim et döner müthişti. Bu seferki kuruydu. Hiç iyi değildi. Lavaş da çok sertti.,6.0,6.0,3.0,1606349300
Gayet lezetli kaliteli ve hızlı tavsiye ederim.,10.0,10.0,10.0,1606262900
Mikemmel.,10.0,10.0,10.0,1606262900
Sizin özeliniz ney durumun yanındaki ikramlarınız pardon ama bu nasıl bi servis ne patates var ne helva salatayla koymasaydınız.,10.0,1.0,9.0,1606262900
Daha hızlısı yok.,10.0,9.0,9.0,1606262900
Alerji oldum.,1.0,1.0,1.0,1606262900
Uzak olmasına gayet sıcaktı yemek hızlı geldi ve servisi iyi idi.,10.0,10.0,10.0,1606262900
Bu paraya rezil bi lahmacun. Yarısında attım.,1.0,1.0,1.0,1606262900
Elinize sağlık.,10.0,10.0,10.0,1606262900
Çok iyi.,10.0,10.0,10.0,1606262900
"Çiğ köftesi çok kötü, döneri sıradan, patatesler zaten beklemiş. Genel olarak iyi değil.",8.0,6.0,4.0,1606176500
Notlari okuyorlar sagolun.,10.0,10.0,10.0,1606176501
Gayet lezzetli.,8.0,10.0,9.0,1606176501
"Her zamanki gibi hızlı, sıcak ve lezzetli.",10.0,10.0,10.0,1606176501
Notları okuyan abi seni seviyoruz :) mükemmel hız mükemmel lezzet her bakımdan harüka.,10.0,10.0,10.0,1606176501
Lezzetli ssk.,10.0,10.0,10.0,1606176501
"Hızlı geldi sıcaktı, kıymalı pidesi gayet lezzetli.",10.0,10.0,10.0,1606176501
"Kıymalı pideyi çok sevmedim, kıymaları çok dağılıyordu.",10.0,10.0,8.0,1606176501
:)(.,10.0,10.0,10.0,1606176501
Felket.,10.0,10.0,10.0,1606090101
Sos soğan uyumu berbat.,5.0,9.0,1.0,1606090101
Harika lezzetli ve hızlı servis.,10.0,10.0,10.0,1606090101
Süperdi teşekkürler.,10.0,10.0,10.0,1606003701
Mükemmel lezzet çiğköfte ikramları da ayrı bir güzel sonuç olarak çok güzel :).,10.0,10.0,10.0,1606003701
Karışık kebap siparişin de lavaşı not olarak unutulmamasını yazdığım halde yine unutmuşlar. Yavan yavan kebap yedik. Ama kebap tartışılmaz.,10.0,6.0,10.0,1606003701
Tesekkurler her zamanki gibi cok iyiydi. Notlara da dikkat ettigiz icin ayrica tesekkur ederim.,10.0,10.0,10.0,1606003701
"Lezzet, hizmet, hız herşey on numara teşekkürler.",10.0,10.0,10.0,1606003701
"Hersey cok guzeldi, notlari dikkate alinmisti. Ekstre istedigim pilav ve cig kofte de eklenmisti, ellerine saglik.",10.0,10.0,10.0,1606003701
"Hızlı servis, kalite ve lezzet bir arada. Teşekkür ediyorum.",10.0,10.0,10.0,1606003701
Pide lahmacun ebatlarındaydı. Üzdü.,8.0,9.0,7.0,1605917301
