comment_text,comment_speed,comment_service,comment_taste,comment_time
Gecelerin vazgecilmezi.,8.0,9.0,8.0,1606522108
Peçete lü.,10.0,9.0,10.0,1606435708
F/p idare eder.,7.0,7.0,7.0,1606349308
Soğuktu.,8.0,9.0,6.0,1606262908
Kuryeci hızlı getirdigi için teşekkür ederim. Ve tavuk şiş güzeldi.,10.0,10.0,10.0,1606262908
Çok başka ya samimiyet lezzet aile havası.,10.0,10.0,10.0,1606262908
Porsiyon gırtlak dolu.,10.0,10.0,10.0,1606176508
Dürüm ler başarılı fakat burma kadayıf biraz pahalı ve soğuk geldi.,10.0,8.0,7.0,1606090108
Tavuk şiş dürüm söyledim doyurucu ve lezzetli hızlı ulaşım içinde teşekkürler.,10.0,10.0,10.0,1606090108
Elinize saglik.,10.0,10.0,10.0,1606003708
1 buk saat sonra geldi buz gibiydi.,1.0,1.0,1.0,1606003708
İçeçeğim unutulmuştu.,4.0,2.0,5.0,1606003708
Yemek 1. 5 saatte geldi çiğ köfteler birbine girmiş yapışmış 5 dakikalık yere buz gibi geldi.,1.0,5.0,10.0,1606003708
Fena değil.,6.0,6.0,6.0,1605917308
 bu işi bırakın yada konseptinizi değiştirip farklı ascilarla çalışın ilk ve sondu.,3.0,4.0,5.0,1605917308
Geliştirilmeli.,10.0,8.0,8.0,1605917308
Çok yavaş geldi yemek buz gibiydi.,1.0,1.0,5.0,1605917308
Notu okumamışlar :(.,9.0,8.0,9.0,1605830908
Yeni favorimiz tebrikler gece 4 e kadar acık olmasıda cabası.,10.0,10.0,10.0,1605830908
Elinize sağlık müdürüm.,10.0,10.0,10.0,1605571708
Ankarada bu lezzeti bulmak mümkün oda müdürüm dürümdeymiş teşekkür ederim.,10.0,10.0,10.0,1605571708
Adana dürüm çok güzel.,9.0,10.0,10.0,1605571708
Çok güzel herşeyi.,10.0,10.0,10.0,1605571708
Hız sorununu çözmeniz lazım. Gidip restaurantta yediğimde ne kadar lezzetli olduğunu biliyorum ama hızdan dolayı buz gibi geliyor.,1.0,8.0,10.0,1605485308
Teşekkürler.,10.0,10.0,10.0,1605485308
"Adana istedim tavuk geldi, ilk siparişimdi bu duruma ne denir bilmiyorum. Adana parası aldı bi de üç beş kuruşta fazla almış oldu yani...",9.0,4.0,6.0,1605485308
Ellerinize saglık lakin lavaslar bi tık daha yunuşak ve az yanmış olurda cokdaha güzel olur.,10.0,10.0,10.0,1605485308
Beğenerek yiyiyoruz efenm.,10.0,10.0,10.0,1605398908
Dürümler fena değildi.,9.0,9.0,9.0,1605398908
Herzamanki gibi çok iyi özellikle tavuk şiş dürümünüz çok doyurucu tavsiye ederim ayrıca çok hızlı geldi güler yüzlü kurye ve müşteri memnuniyetine önem veriyorlar.,10.0,10.0,8.0,1605398908
Tavuk dürüm çok lezzetliydi hızlı geldi.,10.0,10.0,10.0,1605398909
Bugün 2 adet adana dürüm sipariş ettim fakat birisinin lavaş ekmeği kömür gibi simsiyah geldi keşke diğer ürüne verdiniz önemi buna da verseydiniz baştan sağma yapılmış gibiydi.,7.0,4.0,5.0,1605312509
Tavuk şiş oldukça lezzetliydi.,9.0,7.0,9.0,1605312509
Abartmıyorum net 1 saatte geldi. Geldiğinde buz gibiydi. Bu mecrada 2 kere kötü yorum yaptım sadece. Bütün yemek zevkimi mahvettiğiniz için teşekkür ederim.,1.0,2.0,4.0,1605226109
Çift lavaş söyledik ama her zamanki müdürüm... 10/10.,10.0,10.0,10.0,1605226109
Aramızda 1 bina olmasına rağmen 55 dakikada 1 tane dürüm dönerin gelmeside şaşırtıcı.,1.0,3.0,4.0,1605226109
Biraz geç geldi ve hafif soğumuştu ama müdürüm. Yemekten en keyif aldığım dürümdü.,10.0,10.0,10.0,1605226109
Kıymanın içinde kıkırdak vardı.,1.0,1.0,1.0,1605139709
Güzel.,10.0,10.0,10.0,1605139709
Lütfen şu hız işini çözün lütfen evime 5 dakikalık yere 1 saate yakın geliyor lezzete diyecek birşey yok mükemmel.,6.0,6.0,10.0,1605139709
"Hizli geldi, lezzetliydi ama biraz daha sicak olabilirdi. Asil sorun ayranlardan biri patlamisti haliyle posetin ici ayran dolmustu. Buna dikkat edilirse sevinirim.",10.0,8.0,10.0,1605139709
"Servis çok hızlı, lezzeti ve fiyatı gayet iyi.",10.0,10.0,10.0,1605139709
Elinize saglik kanat muhtesemdi bugun yine isticem.,10.0,10.0,10.0,1605139709
Tavuk biraz az sanki durumlerde.,10.0,7.0,7.0,1605053309
Mükemmel 10 dk da geldi yemin ederim şok oldum.,10.0,10.0,10.0,1605053309
Dayı kitabıma harbü harbüü yapünüüzzz haaaa kirveeeeem.,10.0,10.0,10.0,1605053309
"Hızlı, lezzetli, özenli. Bir insan bir restorandan daha ne bekler ki. Teşekkür ederim.",10.0,10.0,10.0,1605053309
Teşekkür ederim. Özellikle kurye kardeşime.,10.0,10.0,10.0,1605053309
Berbat.,2.0,2.0,2.0,1604966909
5 dakikalık yere 40 dakikada geliyor keşke şu hız olayını çözebilseniz lezzet gayet iyi.,6.0,10.0,10.0,1604966909
En az 20-30 kere yemisimdir bugun ilk defa etin tadi baya kötuydu kokuyodu ve disimi kirdim icinden kemik mi tas mi ne cikti neyse artik gercekten duzeltmeniz gerek bu eti nerden aldiysaniz degistirin.,7.0,5.0,1.0,1604966909
Her zaman yediğim yer lezzet yerinde ama dün ki siparişte beyaz taş yada kemik çıktı biraz daha dikkatli olalım diş gidicekti az kalsın.,10.0,10.0,10.0,1604880509
Kaçıncı siparişim bilmiyorum tavuk şişi o kadar güzel ki kesinlikle tavsiye ederim.,10.0,10.0,10.0,1604880509
"Menüdeki pudingin yanına minimum tutarı aşsın diye bir puding daha eklemiştim ama birisi gözden kaçmış, gece bayağı geç vakitti ondan galiba. Bir sonrakine telafi ederseniz güzel olur teşekkürler :).",10.0,9.0,10.0,1604880509
İlk siparişimde sosunun tadı daha lezzetli ve sıcaktı. Şimdi ise siparişimi 90 dk da getirdiler dürümler soğuk ve lezzetli değildi.,1.0,1.0,1.0,1604880509
Yoğunluktan dolayı biraz uzun sürede geldi. Ancak diğer her şey güzeldi. Kurye arkadaş çok beyefendi idi. Teşekkürler.,5.0,5.0,10.0,1604880509
Serviste çorba biraz dağılmıştı ama lezzeti cok güzeldi. Tavuk dürüm noktasında da normalinde cok daha leziz ve yumuşak oluyordu bu sefer biraz kuru geldi. Genel olarak güzeldi.,8.0,6.0,7.0,1604880509
"Kurye çok beyefendi saygılı. Ancak adana durumlerde adananin içinden küçük beyaz kemik parçacıkları çıkıyor, tas gibi. Bu beni rahatsız ediyor. Umarım bunu engelleyecek tedbirleri alırlar. Yoksa mudurum ile yollarimiz ayrılacak.",9.0,9.0,6.0,1604794109
"1. 30 saat sonra geldi, ve yemek geldikten sonra, kutusu açıp bakıp sanki bir suru kere düşmüş.",1.0,1.0,1.0,1604794109
Lezzetli doyurucu hesaplı. 3 gün üst üste yedik. Aldıkları ücretin her kuruşu helal olsun.,10.0,10.0,10.0,1604707709
Yemekler çok lezzetli!,10.0,9.0,9.0,1604707709
1 saat bekledim. Ciğer dürüm kuruydu ve çok fazla kimyon tadı aldım.,1.0,6.0,6.0,1604707709
Lezzete 9 verdim çünkü kelle paça çorbasının yanında sarımsak sosu da gönderseniz daha iyi olur.,10.0,10.0,9.0,1604707709
"Adana dürümün tescilli mekanı müdürüm. Çok lezzetli ve sıcak geldi, teşekkürler.",10.0,10.0,10.0,1604534909
Lezzeti guzeldi ancak oldukca soguktu.,8.0,6.0,10.0,1604448509
Güzel lezzet.,10.0,10.0,10.0,1604362109
Çok severek sipariş verdiğim bı yerdi ama ne notlar dikkate alınmıştı nede ürünler tam gelmişti. Ayran yoktu urfa istedim adana gelmiş ve tadı bı garipti sadece tavuk gerçekten başarılıydı o kadar gerisi boşa para.,8.0,7.0,7.0,1604362109
Süper.,10.0,10.0,10.0,1604362109
"Eskiden meze de veriyordunuz, artık yoktu?",10.0,1.0,7.0,1604275709
Hız paket servis lezzet falan iyi ama bence doyurucu değil.,10.0,10.0,10.0,1604275709
Birlik şubesine göre eh.,8.0,8.0,8.0,1604275709
Not kısımları okuyun boşuna mı yazıyoruz.,7.0,7.0,9.0,1604189309
Kurye arkadaş post çekmedi diye baya sinirlendi.,2.0,7.0,6.0,1604189309
Fiyatına göre gayet güzeldi.,10.0,9.0,10.0,1604189309
Kuryeci arkadaş çok güler yüzlü birisiydi 20 dakikada getirdi yemegimi ellerinize saglık müdürüm.,10.0,10.0,10.0,1604189309
Güler yüzlü hizmet hızlı teslimat. Birazdan tekrar sipariş edeceğim.,10.0,10.0,9.0,1604102909
Vicdanım bir vermeye el vermedi emek var sonuçta ama 45 dk da geldi gece 2 de yani nası bi yoğunluk bilmiyorum soğuktu ayrıca servisteki turşuyu beğendim dürümler vasattı.,6.0,10.0,6.0,1604102909
Hizmet ve lezzet çok güzeldi. Teşekkür ederim herkese tavsiye ederim.,9.0,9.0,9.0,1604102909
Tavuk şiş dürüm güzeldi fiyatına göre baya başarılı.,8.0,8.0,9.0,1604102909
Guzell.,10.0,10.0,10.0,1604016509
Ali abiye teşekkür ederim çok hızlı geldi.,10.0,10.0,10.0,1604016509
Özellikle sarımsak istedik göndermediler. Çorba geç ve soğuk geldi.,1.0,1.0,1.0,1604016509
Adana tam pişmemişti ve tuhaf kokuyordu. Maalesef bir müşteri kaybettiniz.,8.0,7.0,5.0,1604016509
Eksik göndermişler üstüne göndericem deyip eksiklerini gondermediler.,1.0,1.0,1.0,1604016509
Cok guzel enfes yemek geldı kurye ıyı usta guzel hazırlamıs lezetli.,10.0,10.0,10.0,1603930109
Lezzetli.,10.0,10.0,10.0,1603930109
"Adana sipariş ettim yaklaşık fiyatlar da satılan bazı yerlere göre güzel yenile bilir, servis puanı paket de tuz falan yoktu daha önemlisi kurye arkadaş paketi nasıl getirdi ise hem yemekler hem salata birbirini girmiş şekilde geldi hiç hoş bir şey değildi.",8.0,4.0,8.0,1603930109
Ya çiğer dürüm sipariş ettik kojlenmiş biberi olduğu gibi atmış ağzıma kayış tatdo yanık tadı geldi yandan yollayın soyalım öyle yiyelim yani dikkat edin kardeşim.,8.0,5.0,8.0,1603892364
17 dakikada geldi hız mükemmel servis de çok iyiydi ama adana dürümünüzü çok beğenemedim ekmek kurumuştu ve adana inceydi. Adananız daha yoğun olmalı.,10.0,10.0,6.0,1603892364
Fiyata göre oldukça iyiydi.,10.0,10.0,10.0,1603892364
Söylediğim dürümde özellikle 1 tanesi soğansız olsun dedim hepsı soğanlı gelmiş.,10.0,5.0,5.0,1603892364
Çok hızlı çok sıcak ve çok lezzetli.. Bu bölgede sipariş verdiğim tek yer. Gerçekten tebrikler.,10.0,10.0,10.0,1603892364
Tavuğu çok iyi değil adanası güzel lavaşı iyi.,6.0,6.0,6.0,1603892364
Lavaş biraz yanık adanası güzel.,6.0,7.0,7.0,1603892364
Duzenli siparis veriyorum adana muthis.,10.0,10.0,10.0,1603892364
Paketçi arkadaşımız çok hızlı geldi ve güler yüzlüydü. Yemeğim sıcak ve lezzetliydi yeterince doydum teşekkür ederim.,10.0,10.0,10.0,1603892364
Kurye sinirli agresif.,1.0,1.0,1.0,1603892364
Güzel.,10.0,10.0,9.0,1603892364
Ortalama hızda geldi. Acı biber yollayabilir misiniz demiştim getirmemişler. Malzeme azdı. Ortalama.,7.0,7.0,6.0,1603892364
Adana durum doyurucu araç sıkıntısından biraz geç geldi ama hiç sorun deildi kurye arakadaş çok güler yuzluydu.,10.0,10.0,9.0,1603892364
"22. 10. 2020 tarihinde müdürüm den satın aldığım yemek (1 adet adana kebap1 adet adana dürüm) çok geç geldi ve geldiğinde soğumuş ve lezzetinden eser kalmamıştı. Ayrıca iki adet ayran, parası ödenmesine rağmen gönderilmedi. Telefonla bildirmeme rağmen tekrar dönüş sağlanmadı. Bu ne ilgisizlik!",1.0,1.0,1.0,1603892364
Güzeldi.,8.0,8.0,8.0,1603892364
Yazdığımız notları görmezden gelen bir satıcı.,1.0,3.0,5.0,1603892364
Lavas değil sanki kızarmış odun yiyor gibi hissettik. Bozmuslar yediğim en kotu dürümdü. Kurye arkadaşa kibarligindan dolayı teşekkür ederim.,1.0,1.0,1.0,1603892364
İyiydi.,10.0,10.0,10.0,1603892364
Herşeyiyle çok güzel hızlı geldi teşekkürler.,10.0,10.0,10.0,1603892364
Dürümün içinde tavuktan başka birşey yoktu.,6.0,6.0,7.0,1603892364
Güzel.,10.0,10.0,10.0,1603892364
Adana dürüm iyiydi.,10.0,10.0,10.0,1603892364
Çorba istediğim gibi bol taneli geldi ama bence çorbayı menüden çıkartın kebabı doyurucu ve cok lezzetli tam adana usulü hızlı geldi servisi cok düzenli lavaşı salçalı gayet güzel.,10.0,10.0,10.0,1603892364
Kadayıf tatlıs�� süperdi. Dürümün lavası sertti ve adanası azdı ama ben lezzetli buldum. Lavası değiştirirseniz iyi olur.,8.0,7.0,8.0,1603892364
Teşekkürlerr.,10.0,10.0,10.0,1603892364
"Buuuz gibi geldi, lezzet kötü, servis kötü ilk ve son siparişimdi malesef.",1.0,1.0,1.0,1603892364
Hiç değişmeyen mükemmel lezzet.,10.0,10.0,10.0,1603892364
İyi.,10.0,10.0,10.0,1603892365
Adana gerçekten lezzetli. Teşekkürler.,10.0,10.0,10.0,1603892365
Elinize sağlık.,9.0,8.0,9.0,1603892365
Fiyat performans güzel. Ama kuzu şiş biraz daha pişmiş olursa daha iyi olacak.,10.0,9.0,9.0,1603892365
Rezalet.,7.0,5.0,1.0,1603892365
"Çorbaları çok kötü paketlemişlerdi, resmen yarısı pakete dökülmüş halde geldi.",8.0,1.0,5.0,1603892365
Fazla söze gerek yok.,5.0,1.0,3.0,1603892365
"Porsiyon azdı biraz, içini biraz daha etle doldurun ama güzel lezzeti.",10.0,10.0,9.0,1603892365
1 saati aşkın sürede geldi. Buz gibiydi o yüzden hem servis hem de lezzet de bir hayli kötüydü.,1.0,5.0,5.0,1603892365
Adana yedim. Bence eksiksizdi. Fiyat performansla bu bölgede yiyebileceğiniz en iyi restorant.,8.0,8.0,10.0,1603892365
"Fiyatına göre iyiydi gerçekten. Tek sıkıntı lavaşları, lavaşlar normal lavaş olsa daha iyi olurdu. Normal çiğ köftecilerde kullanılan lavaş. Onun haricinde tadı fena sayılmaz. Servisleri iyi. Hızları güzel.",10.0,8.0,8.0,1603892365
Mükemmelsiniz.,10.0,10.0,10.0,1603892365
Hızlı ve sıcak tükettik. Lezzeti şahane. Güvenlik görevlisi. Servisçi abiye selam kolay gele.,10.0,10.0,10.0,1603892365
Haftda 2-3 kez soylerim kesinlikle nasil tarif etsem oyle pisiriyolar fiyat performans basarili.,8.0,9.0,9.0,1603892365
Basarili.,10.0,10.0,10.0,1603892365
Fiyat-performans olarak 10 üzerinden 10.. Bu fiyata daha iyisini yedim diyen yalan söyler.,10.0,10.0,10.0,1603892365
1 saat 20 dakikada geldi. Onu geçtim param parçaydı lavaş tavuk soğmuştu.,1.0,1.0,1.0,1603892365
Adana dürüm güzel.,10.0,8.0,8.0,1603892365
Adana çok güzeldi ancak şiş tavuk çok kuruydu.,9.0,9.0,8.0,1603892365
Yemekten daha pahalı turşu gönderiyorsunuz allah razı olsun abi.,7.0,10.0,10.0,1603892365
"Ürün yanık geldi, üzülerek düşük puanlıyorum cunku ne yediysem bende durmak istemedi. Ozur dilerim.",10.0,1.0,1.0,1603892365
Gerçekten güzel ve lezzetli.,10.0,10.0,10.0,1603892365
Dikmen bölgesindeki en iyi yerlerden biri bide biberi ve ikram olarak gönderdiği çiğköftesi çok güzel.,10.0,10.0,10.0,1603892365
Beklediğimden çok kötü geldi dürüm inanılmaz soğuktu içerisindeki malzeme yok denecek kadar azdı baştan sağma gibiydi alıştığımız bildiğimiz müdürüme bu sipariş hiç ama hiç yakışmadı..,3.0,3.0,3.0,1603892365
İçinde ki malzeme yok denilecek kadar az ve lezzetsiz sonuçta tavuk ve para ödüyoruz karşılığında yazık.,3.0,3.0,2.0,1603892365
İyiydi.,1.0,8.0,8.0,1603892365
Gayet güzeldi.,9.0,9.0,9.0,1603892365
