comment_text,comment_speed,comment_service,comment_taste,comment_time
Hambuş efsane!,10.0,10.0,10.0,1606527089
Kristy patty cook iyiydi.,10.0,10.0,10.0,1606527089
"Parasının hakkını veren, patatesleri çıtır, inanılmaz doyurucu bir hamburger, tek kelimeyle efsane. Yalnızca bir tavsiye olarak burger içindeki sosun geliştirilmesi yönünde bir yorum bırakıyorum buraya. Teşekkür ederiz :).",10.0,10.0,10.0,1606527089
Teşekkürler moralim bozuktu ama hamburgeriniz biraz olsun dert tasa unutturuyor.,10.0,10.0,10.0,1606527089
Mükemmel ötesiydi herşey. Getiren kurye bile çok efendi yardımseverdi.,10.0,10.0,10.0,1606440689
İyi.,10.0,10.0,10.0,1606440689
Kola unutulmuştu ama lezzet süper patatesler de çıtır.,10.0,7.0,10.0,1606354289
Kullandığınız kutu gıdayla temasa uygun değil ve patatesler kutunun içinde herhangi bir ambalajlama yapılmadan koyulmuş.,9.0,2.0,7.0,1606354289
Buradan 2. Kez söylüyorum bence guzel denemelisiniz.,10.0,10.0,10.0,1606354289
İçinde kullanılan her malzemeye ayrı ayrı bayıldım. Şu ana kadar yediğim en kaliteli ve lezzetli burgerlerden biriydi.,10.0,10.0,10.0,1606267889
"İkinci yorumum, kesinlikle parmak patatesi değiştirmeyin :) şimdi etrafta her mekanda zaten elma dilim patates var. Bu haliyle mükemmel.",10.0,10.0,10.0,1606267889
Harika.,10.0,10.0,10.0,1606267889
"Burgerlerin sırrı oran orantıda saklı :d mükemmel bir cheeseburger yedim, patates kızartmalarınız da çıtır çıtırdı! Ellerinize sağlık :).",10.0,10.0,10.0,1606267889
Hızlı ve çok lezzetli.,10.0,10.0,10.0,1606181489
"Size aradım. Birisi hayır, bu patrik demiş.",10.0,10.0,10.0,1606181489
Aşağıdaki elemanı dinlemeyin ince patatesler çok güzel.,10.0,10.0,10.0,1606181489
Sufle ile kaşık yoktu servis olarak.,10.0,7.0,10.0,1606095089
Yok boyle birsey.,10.0,10.0,10.0,1606095089
Enfes..,10.0,10.0,10.0,1606095089
"Efsane hizmet efsane lezzet, kuryeler normalde hic notu okumaz burada okudular kurye arkadaslar cok iyi.",10.0,10.0,10.0,1606008689
Bende bir esnafim lezzetli ve güzeldi.,10.0,10.0,10.0,1606008689
Bayyyyiliyorum burgerlerine o derece!,10.0,10.0,10.0,1606008689
Patateslerin tadı yoktu boştu ama burger mükemmeldi.,10.0,10.0,10.0,1606008689
"Bakin arkadaslar, ilk siparis verdigimde inanilmazdi hamburger ve patates, fakat ikinci siparisimde ben hayatimda bu kadar kotu bir patates yemedim, elma dilimden inceye gecmisler, sanirim bunu dusunen arkadas cips gibi kitir yapmak istemis ama yenilmiyordu, ve bu hamburgeride etkiliyord..",10.0,10.0,5.0,1606008689
Mükemmel. Patatesler son zamanlarda yediğim en iyi patateslerdi ve gece 3te söylememe rağmen. Hamburger zaten başka bir dünya. Şahsen fiyatının hakkını veriyor.,10.0,10.0,10.0,1606008689
Patateslerim baharat seviyesi cok iyi olmus. Her sipariste daha da iyilesiyorlar. Kurye dostuma selamlar!,10.0,10.0,10.0,1606008689
"Burger bana biraz yağlı gelse de genel olarak lezzetliydi. Aynı zamanda patatesler de çok başarılıydı. Buna ek olarak yemek hızlı geldi ve kurye fazlasıyla kibardı, teşekkür ederim.",10.0,10.0,9.0,1606008689
Hamburger cidden çok güzeldi tek sorun cheddar yerine kaşar koymuşsunuz ama saat geç olduğu için sorun yapamadım.,10.0,10.0,10.0,1605922289
Güzel.,10.0,10.0,10.0,1605922289
Tek kelime ile mükemmel ben ilk defa söyledim ama yani şahane ötesi diyebilirim ellerinize sağlık.. Şiddetle tavsiye ederim..,10.0,10.0,10.0,1605922289
Cheeseburger çok lezzetliydi fakat fiyat için boyutu küçüktü. İyi çalışmalar.,9.0,10.0,9.0,1605835890
Güzel.,10.0,10.0,10.0,1605835890
Güzeldi.,10.0,10.0,10.0,1605835890
Bu nasıl bir hamburgerdir yemeğe kıyamadık.,10.0,10.0,10.0,1605835890
"Menünün en öne çıkan burgeri kruby paty nin imza burgeriniz olması nedeniyle, önce insanın gözünü doyuran, mevcut büyüklüğünden daha büyük bir burger olması gerekiyor. Bunun dışında herşey gayet iyiydi. Elinize sağlık...",9.0,9.0,9.0,1605835890
Harika hamburgerler hızlı ve muhteşem kuryeler. Sadece hamburgerlerdeki tuz oranını 15 azaltabilirsiniz. Bunun haricinde herşey harika.,10.0,10.0,10.0,1605749490
Gerçekten çok iyi.,10.0,10.0,10.0,1605749490
"Biraz pahalı, onun harici mükemmel.",10.0,10.0,10.0,1605749490
"Cok hizli ve sicak geldi, bu paraya yiyebilecegini en iyi hamburger :) gozunuz kapali sipariz verebilirsiniz!",10.0,10.0,10.0,1605749490
Çokkk beğendik ellerinize sağlık.,10.0,10.0,10.0,1605663090
Füme burger ve sufle çok güzeldi.,10.0,10.0,10.0,1605663090
"Patatesleri yumuşamamış, sıcak ve çıtır çıtır leziz bir şekilde geldi( porsiyon olarak gayet fazla ve doyurucu ) hamburgeri gerçekten inanılmaz denemediyseniz mutlaka tavsiye ederim.",10.0,10.0,10.0,1605663090
Her şeyiyle harikaydı. Kuryeniz çok kibar yaaa ponçik deyip sarılasım geldi. Hamburger çok lezzetliydi ve patates çok çıtırdı kesinlikle favori restoranım burası artık.,10.0,10.0,10.0,1605576690
Elinize sağlık.,10.0,10.0,10.0,1605576690
"Hayatimda yedigim en iyi hamburgerdi. Hiz mukkemeldi, kurye cok kibardi, ayrica paketin yanina konulan sekeri cok sevdik. Herkese tavsiye ederim.",9.0,10.0,10.0,1605576690
Açık ara en iyi burgerci.,9.0,9.0,10.0,1605576690
Gercekten tereddutle söylediğim hamburger ve sufle inanılmaz lezzetliydi bundan sonra favorim çok teşekkür ederim böyle bir lezzeti bize sundukları için..,10.0,10.0,10.0,1605576690
50 dakikada geldi. Not okunmadı. Lezzet standart bu kadar çok neyi övülmüş anlamadım :/ hayırlı işler.,1.0,6.0,7.0,1605490290
Spongeboba teşekkür ederiz.,10.0,10.0,9.0,1605490290
