comment_text,comment_speed,comment_service,comment_taste,comment_time
Enfes.,10.0,10.0,10.0,1606433228
Güzeldi.,10.0,10.0,10.0,1606346828
Ellerinize sağlık.,10.0,10.0,10.0,1606087628
Lavaşı beğenmedik.,10.0,10.0,7.0,1606001228
Harika.,10.0,10.0,10.0,1606001228
Kötü.,9.0,1.0,1.0,1605914828
Elinize sağlık.,10.0,9.0,9.0,1605914828
Bulgur pilavı gibi çiğ köfte yollamislardi tam bir rezalet.,1.0,1.0,1.0,1605828428
Yazılan notu dikkate alan güzel mekanlardan.,10.0,10.0,10.0,1605828428
Her zamanki komagene kalitesi. Kurye arkadaş güler yüzlü ve iyiydi.,10.0,9.0,9.0,1605742028
"İçinden kocaman roka sapının da çıkmaması lazım ya, inek sipariş vermiyor bunu..",7.0,7.0,4.0,1605655628
"Lavaş yerine yufka kullanılmıştı, üzülerek söylüyorum ki bu zamana kadar buradan aldığım en kötü çiğköfteydi.",6.0,9.0,4.0,1605655628
Tacolar normalde kutu içerisinde gelmesi gerekirken poşet de gelmişti. Onun haricinde lezzet iyiydi sevdim.,10.0,7.0,10.0,1605655628
Guzeldi.,10.0,10.0,10.0,1605655628
Lavaşı birazcık daha taze olabilseydi 10/10 du.,9.0,8.0,10.0,1605655628
Süper.,10.0,10.0,10.0,1605655628
Çiğ köfte sosu unutulmuştu onun harici her şey iyi.,10.0,10.0,10.0,1605655628
Her daim.,10.0,10.0,10.0,1605569228
300 gr çig kofteye neden 1 nar ekşisi :).,9.0,8.0,9.0,1605569228
"Servisi, lezzeti, hızı çok güzeldi. Kuryeci arkadaş çok kibardı. Devamlı sipariş ettiğim yer zaten. Çok teşekkürler.",10.0,10.0,10.0,1605569228
"Elinize sağlık hızlıydı ve lezzetliydi, indirim günü olunca yoğunluktan karışmış, tatlı eksik gelmişti. Ama arayınca hemen ilgilendiler sorun olmadı çok teşekkür ederim.",10.0,10.0,10.0,1605569228
Sectigimiz malzemelerde eksik vardı.,8.0,8.0,5.0,1605569228
Teşekkür ederiz.,10.0,10.0,10.0,1605482828
Ellerinize sağlık.,10.0,10.0,10.0,1605482828
Gayet hızlı bir şekilde geldi çiğköftesi mükemmel birazcık daha koyulsa daha iyi tafı damağımızda kaldı.,10.0,9.0,10.0,1605482828
Cok gec geldi.,1.0,1.0,1.0,1605396428
Getirmiş olduğunuz poşetin içerisindeki ayranın ağzı açıktı ve dökülmüştü. Özensiz bir paketleme yapılmış teşekürler.,5.0,1.0,7.0,1605396428
Belirtilen süreden daha geç geliyor.,3.0,7.0,8.0,1605310028
İyi.,8.0,9.0,10.0,1605223628
Çok hızlı geldi lezzet de yerindeydi.,10.0,10.0,10.0,1605223628
İyiydi. Ekstra sos için teşekkürler.,10.0,10.0,10.0,1604964429
Güzeldi. Kuryeniz çok iyi.,10.0,9.0,9.0,1604964429
Yanında nar ekşisi koyun lütfenbi de pipet.,8.0,9.0,10.0,1604964429
Acı cok yetersizdi nota rağmen.,9.0,10.0,7.0,1604791629
