food_id,food_name,food_price,food_category,food_score
0e1cfcb2-80d6-49e5-b32e-de7824bc253e,Izgara Köfte,"22,00 TL",Izgaralar,7.0
4b1dee27-821c-4676-9fee-d33547fd423f,Izgara Sucuk Köfte,"24,00 TL",Izgaralar,7.0
c473d81f-89c2-4e8f-8f56-9a31e3fa1cbd,Uykuluk,"30,00 TL",Izgaralar,5.0
c7a296f1-5d42-4dd4-8857-4bfc6cb84cc5,Tavuk Pirzola,"22,00 TL",Izgaralar,5.0
d2116dcf-4f2a-4655-9217-45d342e77f0b,Dana Antrikot,"30,00 TL",Izgaralar,5.0
af87e65b-8988-4f8d-8aab-7de725335575,Çeyrek Ekmek Arası Izgara Köfte,"10,00 TL",Ekmek Arası Ürünler,8.0
363aa5e6-2111-43f8-a49b-a66ac87edb71,Çeyrek Ekmek Arası Kokoreç,"12,00 TL",Ekmek Arası Ürünler,5.0
4ac8f241-854d-4d8e-bb67-7695c58f7ab7,Çeyrek Ekmek Arası Izgara Sucuk,"11,00 TL",Ekmek Arası Ürünler,6.0
10fc2865-35e5-49c8-9b8a-2af25a5282ea,Çeyrek Ekmek Arası Tavuk Pirzola,"10,00 TL",Ekmek Arası Ürünler,6.0
b1be5291-f6cf-4a71-95e3-30c51430a9b2,Çeyrek Ekmek Arası Kuzu Böbrek,"13,00 TL",Ekmek Arası Ürünler,6.0
6083bab4-b0c2-4ab4-8ac0-d552575643b7,Çeyrek Ekmek Arası Kuzu Yürek,"13,00 TL",Ekmek Arası Ürünler,6.0
db945557-f906-482d-8db5-1340b1afe114,Çeyrek Ekmek Arası Antrikot,"14,00 TL",Ekmek Arası Ürünler,6.0
1075800f-d0e7-4f1e-a00b-c0b6f1b10cae,Ekmek Arası Antrikot,"28,00 TL",Ekmek Arası Ürünler,6.0
ac4d98e8-3725-4c85-87b7-16b6e4d938d1,Ekmek Arası Kokoreç,"23,00 TL",Ekmek Arası Ürünler,10.0
ebda47a6-eafb-4e97-82eb-49d02aab31cd,Ekmek Arası Uykuluk,"28,00 TL",Ekmek Arası Ürünler,6.0
9602e4a7-32ce-4ced-b087-08c9854891e6,Ekmek Arası Kuzu Yürek,"26,00 TL",Ekmek Arası Ürünler,6.0
1e076bc1-5a8a-4d7a-8801-115e2a4cd1bf,Ekmek Arası Kuzu Böbrek,"26,00 TL",Ekmek Arası Ürünler,6.0
39547d0b-b7d6-4aab-8269-56c7bcae7d9b,Ekmek Arası Izgara Köfte,"20,00 TL",Ekmek Arası Ürünler,13.0
9c545c91-80c5-4d59-ac91-37bd5ecec281,Ekmek Arası Tavuk Pirzola,"20,00 TL",Ekmek Arası Ürünler,6.0
5e35f29a-632b-4735-9302-8e30a29ba855,Ekmek Arası Izgara Sucuk,"22,00 TL",Ekmek Arası Ürünler,6.0
aa3ad84a-836d-459c-8594-23a94f17007b,Midye Dolma (Adet),"1,50 TL",Yan Ürünler,10.0
45904f96-abe3-4e6e-beab-440d770cddd6,Poşet,"0,25 TL",Poşet,5.0
